entry_occurrence,entry_id,date,display_row,header_description,debit_detail_occurrence,debit_account_code,debit_account_name,debit_amount,debit_detail_description,credit_detail_occurrence,credit_account_code,credit_account_name,credit_amount,credit_detail_description,pairing_semantics,debit_account_code_namespace,debit_etax_account_code,debit_etax_subaccount_id,credit_account_code_namespace,credit_etax_account_code,credit_etax_subaccount_id,debit_department,debit_counterparty,debit_project,credit_department,credit_counterparty,credit_project
1,J-001,2021-04-02,1,商品売上（現金）,1,10A100020-1,現金,100000,現金売上,2,10D100100,商品売上高,100000,商品売上,POSITIONAL_ONLY_NOT_SEMANTIC_PAIRING,NTA_ETAX_STANDARD_KEY,10A100020,1,NTA_ETAX_STANDARD_KEY,10D100100,,,,,,,
2,J-002,2021-04-05,1,事務用品購入（現金・掛） 請求書 BILL-202104-002,1,10E200200,消耗品費,150000,事務用品購入,2,10A100020-1,現金,100000,現金支払,POSITIONAL_ONLY_NOT_SEMANTIC_PAIRING,NTA_ETAX_STANDARD_KEY,10E200200,,NTA_ETAX_STANDARD_KEY,10A100020,1,D01:企画部,,,,,
2,J-002,2021-04-05,2,事務用品購入（現金・掛） 請求書 BILL-202104-002,,,,,,3,10B100040,買掛金,50000,請求書BILL-202104-002に係る買掛金,POSITIONAL_ONLY_NOT_SEMANTIC_PAIRING,,,,NTA_ETAX_STANDARD_KEY,10B100040,,,,,,S002:ひかり文具株式会社,
3,J-003,2021-04-10,1,4月分給与及び法定福利費,1,10E200370,給料手当,80000,給与計上,3,10A100020-3,普通預金,100000,普通預金から支払,POSITIONAL_ONLY_NOT_SEMANTIC_PAIRING,NTA_ETAX_STANDARD_KEY,10E200370,,NTA_ETAX_STANDARD_KEY,10A100020,3,D02:営業部,,,,,
3,J-003,2021-04-10,2,4月分給与及び法定福利費,2,10E200540,法定福利費,20000,法定福利費計上,,,,,,POSITIONAL_ONLY_NOT_SEMANTIC_PAIRING,NTA_ETAX_STANDARD_KEY,10E200540,,,,,D02:営業部,,,,,
4,J-004,2021-04-12,1,商品仕入及び配送費 請求書 BILL-202104-004,1,10E100130,仕入高,70000,商品仕入,3,10B100040,買掛金,60000,請求書BILL-202104-004に係る買掛金,POSITIONAL_ONLY_NOT_SEMANTIC_PAIRING,NTA_ETAX_STANDARD_KEY,10E100130,,NTA_ETAX_STANDARD_KEY,10B100040,,D01:企画部,S003:みどり商事株式会社,P01:春季販売企画,,S003:みどり商事株式会社,
4,J-004,2021-04-12,2,商品仕入及び配送費 請求書 BILL-202104-004,2,10E200870,荷造運賃,30000,配送費,4,10A100020-3,普通預金,40000,普通預金から支払,POSITIONAL_ONLY_NOT_SEMANTIC_PAIRING,NTA_ETAX_STANDARD_KEY,10E200870,,NTA_ETAX_STANDARD_KEY,10A100020,3,D01:企画部,,,,,
5,J-005,2021-04-14,1,標準税率・軽減税率商品の仕入 請求書 BILL-202104-005,1,10E100130,仕入高,164000,標準税率及び軽減税率の商品仕入,2,10B100040,買掛金,164000,請求書BILL-202104-005に係る買掛金,POSITIONAL_ONLY_NOT_SEMANTIC_PAIRING,NTA_ETAX_STANDARD_KEY,10E100130,,NTA_ETAX_STANDARD_KEY,10B100040,,D02:営業部,S004:こもれび食品株式会社,,,S004:こもれび食品株式会社,
6,J-006,2021-04-15,1,請求書 INV-202103-001 一部入金 入金票 RCPT-202104-001,1,10A100020-3,普通預金,100000,一部入金,2,10A100090,売掛金,100000,請求書INV-202103-001の一部清算,POSITIONAL_ONLY_NOT_SEMANTIC_PAIRING,NTA_ETAX_STANDARD_KEY,10A100020,3,NTA_ETAX_STANDARD_KEY,10A100090,,,,,,C001:あおぞら商店,
7,J-008,2021-04-20,1,商品売上（掛） 請求書 INV-202104-008,1,10A100090,売掛金,120000,請求書INV-202104-008に係る売掛金,2,10D100100,商品売上高,120000,商品売上,POSITIONAL_ONLY_NOT_SEMANTIC_PAIRING,NTA_ETAX_STANDARD_KEY,10A100090,,NTA_ETAX_STANDARD_KEY,10D100100,,,C002:つばさ商会,,,,
8,J-009,2021-04-25,1,請求書 BILL-202103-001 支払 支払票 PAY-202104-001,1,10B100040,買掛金,200000,請求書BILL-202103-001の清算,2,10A100020-3,普通預金,200000,普通預金から支払,POSITIONAL_ONLY_NOT_SEMANTIC_PAIRING,NTA_ETAX_STANDARD_KEY,10B100040,,NTA_ETAX_STANDARD_KEY,10A100020,3,,S001:さくら仕入株式会社,,,,
