schema_id,schema_version,structured_column,ordinal,role,hmd_sequence,hmd_level,hmd_type,name_ja,name_en,datatype,multiplicity,owner_class,semantic_path,binding_path,population_rule,required,note
abc-shoten-gl-cor-april-v3,3.0.0,C1,1,occurrence-coordinate,0001,1,C,会計仕訳occurrence,Accounting Entries occurrence,Integer,1..*,$.cor_AccountingEntries,$.cor_AccountingEntries,$.cor_AccountingEntries[C1],root-and-descendant,true,整数1から付番
abc-shoten-gl-cor-april-v3,3.0.0,C2,2,occurrence-coordinate,0137,2,C,仕訳ヘッダーoccurrence,Entry Header occurrence,Integer,0..*,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries[C1].cor_EntryHeader[C2],owner-and-descendant,false,同じAccountingEntries内で整数1から付番
abc-shoten-gl-cor-april-v3,3.0.0,C3,3,occurrence-coordinate,0176,3,C,仕訳明細occurrence,Entry Detail occurrence,Integer,0..*,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3],owner-and-descendant,false,同じEntryHeader内で借貸を区別せず整数1から付番
abc-shoten-gl-cor-april-v3,3.0.0,C4,4,occurrence-coordinate,0360,4,C,勘定科目識別子occurrence,Detail Account Identifier occurrence,Integer,0..*,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailAccountIdentifier[C4],owner-and-descendant,false,同じEntryDetail内で整数1から付番
abc-shoten-gl-cor-april-v3,3.0.0,C5,5,occurrence-coordinate,0375,5,C,補助科目occurrence,Subaccount occurrence,Integer,0..*,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailAccountIdentifier[C4].cor_Subaccount[C5],owner-only,false,同じDetailAccountIdentifier内で整数1から付番
abc-shoten-gl-cor-april-v3,3.0.0,C6,6,occurrence-coordinate,0331,4,C,明細税occurrence,Detail Tax occurrence,Integer,0..*,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailTax[C6],owner-only,false,同じEntryDetail内で整数1から付番
abc-shoten-gl-cor-april-v3,3.0.0,C7,7,occurrence-coordinate,0196,4,C,起因文書occurrence,Originating Document occurrence,Integer,0..*,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_OriginatingDocument[C7],owner-only,false,同じEntryDetail内で整数1から付番
abc-shoten-gl-cor-april-v3,3.0.0,C8,8,row-class,,,,行クラス,Row class,Token,1..1,,,,owner-only,true,UADC Structured Tidyの構造識別子。xBRL factではない
abc-shoten-gl-cor-april-v3,3.0.0,C9,9,value-property,0138,3,A,転記済日付,Date Posted,Date Time,0..1,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_DatePosted,owner-only,false,EntryHeader行だけ
abc-shoten-gl-cor-april-v3,3.0.0,C10,10,value-property,0142,3,A,種別コード,Type Code,Token,0..1,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader.cor_TypeCode,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_TypeCode,owner-only,false,opening又はstandard
