date,entry_occurrence,entry_id,detail_occurrence,account_code,account_name,debit_amount,credit_amount,running_net_debit_positive,running_balance_side,running_balance_amount,detail_description,source_model,source_coordinate,account_code_namespace,etax_account_code,etax_subaccount_id,report_statement,report_section
2021-04-01,,OPEN-202104,1,10A100020-1,現金,100000,,100000,D,100000,開始残高 現金,accounts-period-balances,C1=1;account=1000;C3=1;value=C15;side=C13,NTA_ETAX_STANDARD_KEY,10A100020,1,BS,流動資産
2021-04-01,,OPEN-202104,2,10A100020-3,普通預金,400000,,400000,D,400000,開始残高 普通預金,accounts-period-balances,C1=1;account=1100;C3=1;value=C15;side=C13,NTA_ETAX_STANDARD_KEY,10A100020,3,BS,流動資産
2021-04-01,,OPEN-202104,3,10A100090,売掛金,300000,,300000,D,300000,開始残高 売掛金,accounts-period-balances,C1=1;account=1200;C3=1;value=C15;side=C13,NTA_ETAX_STANDARD_KEY,10A100090,,BS,流動資産
2021-04-01,,OPEN-202104,4,10B100040,買掛金,,200000,-200000,C,200000,開始残高 買掛金,accounts-period-balances,C1=1;account=2000;C3=1;value=C15;side=C13,NTA_ETAX_STANDARD_KEY,10B100040,,BS,流動負債
2021-04-01,,OPEN-202104,5,10C110010,資本金,,600000,-600000,C,600000,開始残高 資本金,accounts-period-balances,C1=1;account=3000;C3=1;value=C15;side=C13,NTA_ETAX_STANDARD_KEY,10C110010,,BS,純資産
2021-04-02,1,J-001,1,10A100020-1,現金,100000,,200000,D,200000,現金売上,accountingEntries,C1=1;C2=1;C3=1,NTA_ETAX_STANDARD_KEY,10A100020,1,BS,流動資産
2021-04-02,1,J-001,2,10D100100,商品売上高,,100000,-100000,C,100000,商品売上,accountingEntries,C1=1;C2=1;C3=2,NTA_ETAX_STANDARD_KEY,10D100100,,PL,売上高
2021-04-05,2,J-002,1,10E200200,消耗品費,150000,,150000,D,150000,事務用品購入,accountingEntries,C1=1;C2=2;C3=1,NTA_ETAX_STANDARD_KEY,10E200200,,PL,販売費及び一般管理費
2021-04-05,2,J-002,2,10A100020-1,現金,,100000,100000,D,100000,現金支払,accountingEntries,C1=1;C2=2;C3=2,NTA_ETAX_STANDARD_KEY,10A100020,1,BS,流動資産
2021-04-05,2,J-002,3,10B100040,買掛金,,50000,-250000,C,250000,請求書BILL-202104-002に係る買掛金,accountingEntries,C1=1;C2=2;C3=3,NTA_ETAX_STANDARD_KEY,10B100040,,BS,流動負債
2021-04-10,3,J-003,1,10E200370,給料手当,80000,,80000,D,80000,給与計上,accountingEntries,C1=1;C2=3;C3=1,NTA_ETAX_STANDARD_KEY,10E200370,,PL,販売費及び一般管理費
2021-04-10,3,J-003,2,10E200540,法定福利費,20000,,20000,D,20000,法定福利費計上,accountingEntries,C1=1;C2=3;C3=2,NTA_ETAX_STANDARD_KEY,10E200540,,PL,販売費及び一般管理費
2021-04-10,3,J-003,3,10A100020-3,普通預金,,100000,300000,D,300000,普通預金から支払,accountingEntries,C1=1;C2=3;C3=3,NTA_ETAX_STANDARD_KEY,10A100020,3,BS,流動資産
2021-04-12,4,J-004,1,10E100130,仕入高,70000,,70000,D,70000,商品仕入,accountingEntries,C1=1;C2=4;C3=1,NTA_ETAX_STANDARD_KEY,10E100130,,PL,売上原価
2021-04-12,4,J-004,2,10E200870,荷造運賃,30000,,30000,D,30000,配送費,accountingEntries,C1=1;C2=4;C3=2,NTA_ETAX_STANDARD_KEY,10E200870,,PL,販売費及び一般管理費
2021-04-12,4,J-004,3,10B100040,買掛金,,60000,-310000,C,310000,請求書BILL-202104-004に係る買掛金,accountingEntries,C1=1;C2=4;C3=3,NTA_ETAX_STANDARD_KEY,10B100040,,BS,流動負債
2021-04-12,4,J-004,4,10A100020-3,普通預金,,40000,260000,D,260000,普通預金から支払,accountingEntries,C1=1;C2=4;C3=4,NTA_ETAX_STANDARD_KEY,10A100020,3,BS,流動資産
2021-04-14,5,J-005,1,10E100130,仕入高,164000,,234000,D,234000,標準税率及び軽減税率の商品仕入,accountingEntries,C1=1;C2=5;C3=1,NTA_ETAX_STANDARD_KEY,10E100130,,PL,売上原価
2021-04-14,5,J-005,2,10B100040,買掛金,,164000,-474000,C,474000,請求書BILL-202104-005に係る買掛金,accountingEntries,C1=1;C2=5;C3=2,NTA_ETAX_STANDARD_KEY,10B100040,,BS,流動負債
2021-04-15,6,J-006,1,10A100020-3,普通預金,100000,,360000,D,360000,一部入金,accountingEntries,C1=1;C2=6;C3=1,NTA_ETAX_STANDARD_KEY,10A100020,3,BS,流動資産
2021-04-15,6,J-006,2,10A100090,売掛金,,100000,200000,D,200000,請求書INV-202103-001の一部清算,accountingEntries,C1=1;C2=6;C3=2,NTA_ETAX_STANDARD_KEY,10A100090,,BS,流動資産
2021-04-20,7,J-008,1,10A100090,売掛金,120000,,320000,D,320000,請求書INV-202104-008に係る売掛金,accountingEntries,C1=1;C2=7;C3=1,NTA_ETAX_STANDARD_KEY,10A100090,,BS,流動資産
2021-04-20,7,J-008,2,10D100100,商品売上高,,120000,-220000,C,220000,商品売上,accountingEntries,C1=1;C2=7;C3=2,NTA_ETAX_STANDARD_KEY,10D100100,,PL,売上高
2021-04-25,8,J-009,1,10B100040,買掛金,200000,,-274000,C,274000,請求書BILL-202103-001の清算,accountingEntries,C1=1;C2=8;C3=1,NTA_ETAX_STANDARD_KEY,10B100040,,BS,流動負債
2021-04-25,8,J-009,2,10A100020-3,普通預金,,200000,160000,D,160000,普通預金から支払,accountingEntries,C1=1;C2=8;C3=2,NTA_ETAX_STANDARD_KEY,10A100020,3,BS,流動資産
