cutoff_date,account_code,account_name,account_type,opening_debit,opening_credit,period_debit,period_credit,ending_debit,ending_credit,account_code_namespace,etax_account_code,etax_subaccount_id,report_statement,report_section
2021-04-30,10A100020-1,現金,Asset,100000,,100000,100000,100000,,NTA_ETAX_STANDARD_KEY,10A100020,1,BS,流動資産
2021-04-30,10A100020-3,普通預金,Asset,400000,,100000,340000,160000,,NTA_ETAX_STANDARD_KEY,10A100020,3,BS,流動資産
2021-04-30,10A100090,売掛金,Asset,300000,,120000,100000,320000,,NTA_ETAX_STANDARD_KEY,10A100090,,BS,流動資産
2021-04-30,10B100040,買掛金,Liability,,200000,200000,274000,,274000,NTA_ETAX_STANDARD_KEY,10B100040,,BS,流動負債
2021-04-30,10C110010,資本金,Equity,,600000,,,,600000,NTA_ETAX_STANDARD_KEY,10C110010,,BS,純資産
2021-04-30,10D100100,商品売上高,Revenue,,,,220000,,220000,NTA_ETAX_STANDARD_KEY,10D100100,,PL,売上高
2021-04-30,10E100130,仕入高,Expense,,,234000,,234000,,NTA_ETAX_STANDARD_KEY,10E100130,,PL,売上原価
2021-04-30,10E200870,荷造運賃,Expense,,,30000,,30000,,NTA_ETAX_STANDARD_KEY,10E200870,,PL,販売費及び一般管理費
2021-04-30,10E200200,消耗品費,Expense,,,150000,,150000,,NTA_ETAX_STANDARD_KEY,10E200200,,PL,販売費及び一般管理費
2021-04-30,10E200370,給料手当,Expense,,,80000,,80000,,NTA_ETAX_STANDARD_KEY,10E200370,,PL,販売費及び一般管理費
2021-04-30,10E200540,法定福利費,Expense,,,20000,,20000,,NTA_ETAX_STANDARD_KEY,10E200540,,PL,販売費及び一般管理費
2021-04-30,TOTAL,合計,,800000,800000,1034000,1034000,1094000,1094000,,,,,
