C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
1,,,GLAccountsPeriodBalances,,,,,,,,,,,,
1,1,,AccountBalance,10A100020-1,現金,D,,,,,,,,,
1,1,1,PeriodBalance,,,,2020,M12,,,,D,,100000,JPY
1,2,,AccountBalance,10A100020-3,普通預金,D,,,,,,,,,
1,2,1,PeriodBalance,,,,2020,M12,,,,D,,400000,JPY
1,3,,AccountBalance,10A100090,売掛金,D,,,,,,,,,
1,3,1,PeriodBalance,,,,2020,M12,,,,D,,300000,JPY
1,4,,AccountBalance,10B100040,買掛金,C,,,,,,,,,
1,4,1,PeriodBalance,,,,2020,M12,,,,C,,200000,JPY
1,5,,AccountBalance,10C110010,資本金,C,,,,,,,,,
1,5,1,PeriodBalance,,,,2020,M12,,,,C,,600000,JPY
