Transaction_ID,Line_ID,Entry_ID,Ledger_Side,Transaction_Date,Description,Ledger_Account_Number,Ledger_Account_Name,Subaccount_Code,Subaccount_Name,Department_Code,Department_Name,Debit_Amount,Credit_Amount,Counterpart_Account_Number,Counterpart_Account_Name,Counterpart_Subaccount_Code,Counterpart_Subaccount_Name,Counterpart_Department_Code,Counterpart_Department_Name,Balance,Month
,,,Opening,2021-04-01,* 月初残高,10A100020,現金及び預金,,,,,0,0,,,,,,,53375078,2021-04
,,,Opening,2021-04-01,* 月初残高,10A100060,受取手形,,,,,0,0,,,,,,,1413087,2021-04
,,,Opening,2021-04-01,* 月初残高,10A100090,売掛金,,,,,0,0,,,,,,,148001174,2021-04
,,,Opening,2021-04-01,* 月初残高,10A100200,電子記録債権,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10A100280,商品,,,,,0,0,,,,,,,84256000,2021-04
,,,Opening,2021-04-01,* 月初残高,10A100610,短期貸付金,,,,,0,0,,,,,,,280000,2021-04
,,,Opening,2021-04-01,* 月初残高,10A210130,構築物,,,,,0,0,,,,,,,36435838,2021-04
,,,Opening,2021-04-01,* 月初残高,10A210410,工具、器具及び備品,,,,,0,0,,,,,,,17360990,2021-04
,,,Opening,2021-04-01,* 月初残高,10A230570,保険積立金,,,,,0,0,,,,,,,27813,2021-04
,,,Opening,2021-04-01,* 月初残高,10B100030,支払手形,,,,,0,0,,,,,,,27253674,2021-04
,,,Opening,2021-04-01,* 月初残高,10B100040,買掛金,,,,,0,0,,,,,,,89117567,2021-04
,,,Opening,2021-04-01,* 月初残高,10B100630,未払金,,,,,0,0,,,,,,,1048186,2021-04
,,,Opening,2021-04-01,* 月初残高,10B100640,未払法人税等,,,,,0,0,,,,,,,2864378,2021-04
,,,Opening,2021-04-01,* 月初残高,10B100650,未払事業所税,,,,,0,0,,,,,,,1862000,2021-04
,,,Opening,2021-04-01,* 月初残高,10B100660,未払消費税等,,,,,0,0,,,,,,,4947100,2021-04
,,,Opening,2021-04-01,* 月初残高,10B100690,預り金,,,,,0,0,,,,,,,901034,2021-04
,,,Opening,2021-04-01,* 月初残高,10B100790,短期借入金,,,,,0,0,,,,,,,7842000,2021-04
,,,Opening,2021-04-01,* 月初残高,10B200080,長期借入金,,,,,0,0,,,,,,,7000000,2021-04
,,,Opening,2021-04-01,* 月初残高,10D100101,電子取引売上高,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10D100102,電子取引以外売上高,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10D100111,電子取引売上値引及び戻り高,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10D100112,電子取引以外売上値引及び戻り高,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E100100,商品期首たな卸高,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E100121,電子取引仕入値引及び戻し高,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E100122,電子取引以外仕入値引及び戻し高,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E100131,電子取引当期商品仕入高,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E100132,電子取引以外当期商品仕入高,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E100140,商品期末たな卸高,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200020,販売手数料,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200050,広告宣伝費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200090,役員報酬,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200130,賞与,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200140,福利厚生費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200150,交際費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200180,通信費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200200,消耗品費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200210,租税公課,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200220,減価償却費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200240,保険料,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200370,給料及び手当,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200520,雑給,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200540,法定福利費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200600,支払報酬,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200690,支払手数料,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200720,地代家賃,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200730,借地借家料,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E200870,運賃,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E201000,修繕維持費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E201040,水道光熱費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E201110,事務用消耗品費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E201120,車両費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E201130,会議費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E201140,諸会費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E201160,図書費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E201230,旅費及び交通費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E201270,雑費,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* 月初残高,10E300020,支払利息,,,,,0,0,,,,,,,0,2021-04
1,1,18,Debit,2021-04-01,旅費,10E201230,旅費及び交通費,,,,,19500,0,10A100020,現金及び預金,,,,,19500,2021-04
1,1,18,Credit,2021-04-01,旅費,10A100020,現金及び預金,,,,,0,19500,10E201230,旅費及び交通費,,,,,53355578,2021-04
2,1,246,Debit,2021-04-01,旅費,10E201230,旅費及び交通費,,,,,10000,0,10A100020,現金及び預金,,,,,29500,2021-04
2,1,246,Credit,2021-04-01,旅費,10A100020,現金及び預金,,,,,0,10000,10E201230,旅費及び交通費,,,,,53345578,2021-04
3,1,19,Debit,2021-04-02,旅費,10E201230,旅費及び交通費,,,,,11000,0,10A100020,現金及び預金,,,,,40500,2021-04
3,1,19,Credit,2021-04-02,旅費,10A100020,現金及び預金,,,,,0,11000,10E201230,旅費及び交通費,,,,,53334578,2021-04
4,1,68,Debit,2021-04-02,トイレットペーパー他,10E201270,雑費,,,,,2970,0,10A100020,現金及び預金,,,,,2970,2021-04
4,1,68,Credit,2021-04-02,トイレットペーパー他,10A100020,現金及び預金,,,,,0,2970,10E201270,雑費,,,,,53331608,2021-04
5,1,122,Debit,2021-04-02,証明書発行手数料,10E200180,通信費,,,,,1050,0,10A100020,現金及び預金,,,,,1050,2021-04
5,1,122,Credit,2021-04-02,証明書発行手数料,10A100020,現金及び預金,,,,,0,1050,10E200180,通信費,,,,,53330558,2021-04
6,1,142,Debit,2021-04-02,高速代,10E201120,車両費,,,,,2458,0,10A100020,現金及び預金,,,,,2458,2021-04
6,1,142,Credit,2021-04-02,高速代,10A100020,現金及び預金,,,,,0,13384,10E201120,車両費,,,,,53317174,2021-04
6,2,142,Debit,2021-04-02,駐車代,10E201120,車両費,,,,,591,0,10A100020,現金及び預金,,,,,3049,2021-04
6,3,142,Debit,2021-04-02,ガソリン代,10E201120,車両費,,,,,4620,0,10A100020,現金及び預金,,,,,7669,2021-04
6,4,142,Debit,2021-04-02,洗車券代,10E201120,車両費,,,,,5715,0,10A100020,現金及び預金,,,,,13384,2021-04
7,1,41,Debit,2021-04-03,結婚式会費,10E200150,交際費,,,,,12000,0,10A100020,現金及び預金,,,,,12000,2021-04
7,1,41,Credit,2021-04-03,結婚式会費,10A100020,現金及び預金,,,,,0,12000,10E200150,交際費,,,,,53305174,2021-04
8,1,134,Debit,2021-04-03,用紙,10E201110,事務用消耗品費,,,,,15600,0,10A100020,現金及び預金,,,,,15600,2021-04
8,1,134,Credit,2021-04-03,用紙,10A100020,現金及び預金,,,,,0,15600,10E201110,事務用消耗品費,,,,,53289574,2021-04
9,1,310,Debit,2021-04-04,ガソリン代,10E201120,車両費,,,,,6486,0,10A100020,現金及び預金,,,,,19870,2021-04
9,1,310,Credit,2021-04-04,ガソリン代,10A100020,現金及び預金,,,,,0,17401,10E201120,車両費,,,,,53272173,2021-04
9,2,310,Debit,2021-04-04,高速代,10E201120,車両費,,,,,9715,0,10A100020,現金及び預金,,,,,29585,2021-04
9,3,310,Debit,2021-04-04,駐車代,10E201120,車両費,,,,,1200,0,10A100020,現金及び預金,,,,,30785,2021-04
10,1,76,Debit,2021-04-05,制服代,10E200140,福利厚生費,,,,,56000,0,10B100630,未払金,,,,,56000,2021-04
10,1,76,Credit,2021-04-05,制服代,10B100630,未払金,,,,,0,56000,10E200140,福利厚生費,,,,,1104186,2021-04
11,1,133,Debit,2021-04-05,税理士報酬,10E200600,支払報酬,,,,,139710,0,10A100020,現金及び預金,20,みずほ 本店,,,139710,2021-04
11,1,133,Credit,2021-04-05,税理士報酬,10A100020,現金及び預金,20,みずほ 本店,,,0,139710,10E200600,支払報酬,,,,,53132463,2021-04
12,1,139,Debit,2021-04-05,制服代,10E200140,福利厚生費,,,,,55630,0,10B100630,未払金,,,,,111630,2021-04
12,1,139,Credit,2021-04-05,制服代,10B100630,未払金,,,,,0,55630,10E200140,福利厚生費,,,,,1159816,2021-04
13,1,254,Debit,2021-04-05,4月5日伝票No190株式会社 渡辺産業,10A100020,現金及び預金,50,福岡 北九州,,,2380294,0,10A100090,売掛金,22,㈱渡辺産業,,,55512757,2021-04
13,1,254,Credit,2021-04-05,4月5日伝票No190株式会社 渡辺産業,10A100090,売掛金,22,㈱渡辺産業,,,0,2380294,10A100020,現金及び預金,50,福岡 北九州,,,145620880,2021-04
13,2,254,Debit,2021-04-05,4月5日伝票No190株式会社 渡辺産業,10E200690,支払手数料,,,,,507,0,10A100090,売掛金,22,㈱渡辺産業,,,507,2021-04
13,2,254,Credit,2021-04-05,4月5日伝票No190株式会社 渡辺産業,10A100090,売掛金,22,㈱渡辺産業,,,0,507,10E200690,支払手数料,,,,,145620373,2021-04
14,1,255,Debit,2021-04-05,4月5日伝票No191佐々木販売株式会社,10A100020,現金及び預金,20,みずほ 本店,,,1206280,0,10A100090,売掛金,26,佐々木販売㈱,,,56719037,2021-04
14,1,255,Credit,2021-04-05,4月5日伝票No191佐々木販売株式会社,10A100090,売掛金,26,佐々木販売㈱,,,0,1206280,10A100020,現金及び預金,20,みずほ 本店,,,144414093,2021-04
14,2,255,Debit,2021-04-05,4月5日伝票No191佐々木販売株式会社,10E200690,支払手数料,,,,,377,0,10A100090,売掛金,26,佐々木販売㈱,,,884,2021-04
14,2,255,Credit,2021-04-05,4月5日伝票No191佐々木販売株式会社,10A100090,売掛金,26,佐々木販売㈱,,,0,377,10E200690,支払手数料,,,,,144413716,2021-04
15,1,256,Debit,2021-04-05,4月5日伝票No192岩下物産株式会社,10A100020,現金及び預金,30,三井 名古屋,,,1419759,0,10A100090,売掛金,27,岩下物産㈱,,,58138796,2021-04
15,1,256,Credit,2021-04-05,4月5日伝票No192岩下物産株式会社,10A100090,売掛金,27,岩下物産㈱,,,0,1419759,10A100020,現金及び預金,30,三井 名古屋,,,142993957,2021-04
15,2,256,Debit,2021-04-05,4月5日伝票No192岩下物産株式会社,10E200690,支払手数料,,,,,481,0,10A100090,売掛金,27,岩下物産㈱,,,1365,2021-04
15,2,256,Credit,2021-04-05,4月5日伝票No192岩下物産株式会社,10A100090,売掛金,27,岩下物産㈱,,,0,481,10E200690,支払手数料,,,,,142993476,2021-04
16,1,10,Debit,2021-04-06,ガソリン代,10E201120,車両費,,,,,4224,0,10A100020,現金及び預金,,,,,35009,2021-04
16,1,10,Credit,2021-04-06,ガソリン代,10A100020,現金及び預金,,,,,0,4224,10E201120,車両費,,,,,58134572,2021-04
17,1,42,Debit,2021-04-06,昼食代 フロンティホテル,10E200150,交際費,,,,,4650,0,10A100020,現金及び預金,,,,,16650,2021-04
17,1,42,Credit,2021-04-06,昼食代 フロンティホテル,10A100020,現金及び預金,,,,,0,4650,10E200150,交際費,,,,,58129922,2021-04
18,1,84,Debit,2021-04-06,切手代,10E200180,通信費,,,,,70000,0,10A100020,現金及び預金,,,,,71050,2021-04
18,1,84,Credit,2021-04-06,切手代,10A100020,現金及び預金,,,,,0,70000,10E200180,通信費,,,,,58059922,2021-04
19,1,106,Debit,2021-04-06,食事代 ホテルララダ2名,10E200150,交際費,,,,,5372,0,10A100020,現金及び預金,,,,,22022,2021-04
19,1,106,Credit,2021-04-06,食事代 ホテルララダ2名,10A100020,現金及び預金,,,,,0,36020,10E200150,交際費,,,,,58023902,2021-04
19,2,106,Debit,2021-04-06,飲食代 スナック北新地,10E200150,交際費,,,,,30648,0,10A100020,現金及び預金,,,,,52670,2021-04
20,1,110,Debit,2021-04-06,タクシー代,10E201230,旅費及び交通費,,,,,2290,0,10A100020,現金及び預金,,,,,42790,2021-04
20,1,110,Credit,2021-04-06,タクシー代,10A100020,現金及び預金,,,,,0,2290,10E201230,旅費及び交通費,,,,,58021612,2021-04
21,1,123,Debit,2021-04-06,切手代,10E200180,通信費,,,,,40000,0,10A100020,現金及び預金,,,,,111050,2021-04
21,1,123,Credit,2021-04-06,切手代,10A100020,現金及び預金,,,,,0,40000,10E200180,通信費,,,,,57981612,2021-04
22,1,124,Debit,2021-04-06,収入印紙,10E200210,租税公課,,,,,6000,0,10A100020,現金及び預金,,,,,6000,2021-04
22,1,124,Credit,2021-04-06,収入印紙,10A100020,現金及び預金,,,,,0,6000,10E200210,租税公課,,,,,57975612,2021-04
23,1,147,Debit,2021-04-06,ガソリン代,10E201120,車両費,,,,,5126,0,10B100630,未払金,,,,,40135,2021-04
23,1,147,Credit,2021-04-06,ガソリン代,10B100630,未払金,,,,,0,5126,10E201120,車両費,,,,,1164942,2021-04
24,1,156,Debit,2021-04-06,出張旅費,10E201230,旅費及び交通費,,,,,7500,0,10A100020,現金及び預金,,,,,50290,2021-04
24,1,156,Credit,2021-04-06,出張旅費,10A100020,現金及び預金,,,,,0,7500,10E201230,旅費及び交通費,,,,,57968112,2021-04
25,1,236,Debit,2021-04-06,ゴルフプレー代2名,10E200150,交際費,,,,,26500,0,10A100020,現金及び預金,,,,,79170,2021-04
25,1,236,Credit,2021-04-06,ゴルフプレー代2名,10A100020,現金及び預金,,,,,0,26500,10E200150,交際費,,,,,57941612,2021-04
26,1,305,Debit,2021-04-06,資金移動,10A100020,現金及び預金,40,三菱東京 梅田,,,1000000,0,10A100020,現金及び預金,20,みずほ 本店,,,58941612,2021-04
26,1,305,Credit,2021-04-06,資金移動,10A100020,現金及び預金,20,みずほ 本店,,,0,1000000,10A100020,現金及び預金,40,三菱東京 梅田,,,57941612,2021-04
27,1,20,Debit,2021-04-07,旅費,10E201230,旅費及び交通費,,,,,39000,0,10A100020,現金及び預金,,,,,89290,2021-04
27,1,20,Credit,2021-04-07,旅費,10A100020,現金及び預金,,,,,0,39000,10E201230,旅費及び交通費,,,,,57902612,2021-04
28,1,21,Debit,2021-04-07,JR代,10E201230,旅費及び交通費,,,,,69500,0,10A100020,現金及び預金,,,,,158790,2021-04
28,1,21,Credit,2021-04-07,JR代,10A100020,現金及び預金,,,,,0,69500,10E201230,旅費及び交通費,,,,,57833112,2021-04
29,1,22,Debit,2021-04-07,旅費,10E201230,旅費及び交通費,,,,,50000,0,10A100020,現金及び預金,,,,,208790,2021-04
29,1,22,Credit,2021-04-07,旅費,10A100020,現金及び預金,,,,,0,50000,10E201230,旅費及び交通費,,,,,57783112,2021-04
30,1,43,Debit,2021-04-07,手土産代 阿部商事,10E200150,交際費,,,,,6630,0,10A100020,現金及び預金,,,,,85800,2021-04
30,1,43,Credit,2021-04-07,手土産代 阿部商事,10A100020,現金及び預金,,,,,0,6630,10E200150,交際費,,,,,57776482,2021-04
31,1,56,Debit,2021-04-07,旅費,10E201230,旅費及び交通費,,,,,21500,0,10A100020,現金及び預金,,,,,230290,2021-04
31,1,56,Credit,2021-04-07,旅費,10A100020,現金及び預金,,,,,0,21500,10E201230,旅費及び交通費,,,,,57754982,2021-04
32,1,57,Debit,2021-04-07,JR代,10E201230,旅費及び交通費,,,,,97800,0,10A100020,現金及び預金,,,,,328090,2021-04
32,1,57,Credit,2021-04-07,JR代,10A100020,現金及び預金,,,,,0,97800,10E201230,旅費及び交通費,,,,,57657182,2021-04
33,1,58,Debit,2021-04-07,旅費,10E201230,旅費及び交通費,,,,,70000,0,10A100020,現金及び預金,,,,,398090,2021-04
33,1,58,Credit,2021-04-07,旅費,10A100020,現金及び預金,,,,,0,70000,10E201230,旅費及び交通費,,,,,57587182,2021-04
34,1,69,Debit,2021-04-07,お茶代,10E201270,雑費,,,,,1332,0,10A100020,現金及び預金,,,,,4302,2021-04
34,1,69,Credit,2021-04-07,お茶代,10A100020,現金及び預金,,,,,0,4171,10E201270,雑費,,,,,57583011,2021-04
34,2,69,Debit,2021-04-07,コーヒー代,10E201270,雑費,,,,,2839,0,10A100020,現金及び預金,,,,,7141,2021-04
35,1,102,Debit,2021-04-07,手土産代 阿部商店,10E200150,交際費,,,,,1050,0,10A100020,現金及び預金,,,,,86850,2021-04
35,1,102,Credit,2021-04-07,手土産代 阿部商店,10A100020,現金及び預金,,,,,0,1050,10E200150,交際費,,,,,57581961,2021-04
36,1,50,Debit,2021-04-08,高速代,10E201120,車両費,,,,,1200,0,10A100020,現金及び預金,,,,,41335,2021-04
36,1,50,Credit,2021-04-08,高速代,10A100020,現金及び預金,,,,,0,1200,10E201120,車両費,,,,,57580761,2021-04
37,1,143,Debit,2021-04-08,ガソリン代,10E201120,車両費,,,,,7135,0,10A100020,現金及び預金,,,,,48470,2021-04
37,1,143,Credit,2021-04-08,ガソリン代,10A100020,現金及び預金,,,,,0,7135,10E201120,車両費,,,,,57573626,2021-04
38,1,33,Debit,2021-04-10,家賃支払い,10E200720,地代家賃,,,,,320000,0,10A100020,現金及び預金,10,北海道 駅前,,,320000,2021-04
38,1,33,Credit,2021-04-10,家賃支払い,10A100020,現金及び預金,10,北海道 駅前,,,0,320000,10E200720,地代家賃,,,,,57253626,2021-04
38,2,33,Debit,2021-04-10,電話代,10E200180,通信費,,,,,164130,0,10A100020,現金及び預金,10,北海道 駅前,,,275180,2021-04
38,2,33,Credit,2021-04-10,電話代,10A100020,現金及び預金,10,北海道 駅前,,,0,164130,10E200180,通信費,,,,,57089496,2021-04
39,1,85,Debit,2021-04-10,電話代,10E200180,通信費,,,,,129188,0,10A100020,現金及び預金,30,三井 名古屋,,,404368,2021-04
39,1,85,Credit,2021-04-10,電話代,10A100020,現金及び預金,30,三井 名古屋,,,0,129188,10E200180,通信費,,,,,56960308,2021-04
40,1,112,Debit,2021-04-10,電話代,10E200180,通信費,,,,,246816,0,10A100020,現金及び預金,40,三菱東京 梅田,,,651184,2021-04
40,1,112,Credit,2021-04-10,電話代,10A100020,現金及び預金,40,三菱東京 梅田,,,0,246816,10E200180,通信費,,,,,56713492,2021-04
41,1,129,Debit,2021-04-10,家賃支払い,10E200720,地代家賃,,,,,399000,0,10A100020,現金及び預金,30,三井 名古屋,,,719000,2021-04
41,1,129,Credit,2021-04-10,家賃支払い,10A100020,現金及び預金,30,三井 名古屋,,,0,399000,10E200720,地代家賃,,,,,56314492,2021-04
42,1,149,Debit,2021-04-10,食事代 うどん亭4名,10E200150,交際費,,,,,5760,0,10A100020,現金及び預金,,,,,92610,2021-04
42,1,149,Credit,2021-04-10,食事代 うどん亭4名,10A100020,現金及び預金,,,,,0,5760,10E200150,交際費,,,,,56308732,2021-04
43,1,157,Debit,2021-04-10,航空券代,10E201230,旅費及び交通費,,,,,22200,0,10A100020,現金及び預金,50,福岡 北九州,,,420290,2021-04
43,1,157,Credit,2021-04-10,航空券代,10A100020,現金及び預金,50,福岡 北九州,,,0,22200,10E201230,旅費及び交通費,,,,,56286532,2021-04
44,1,162,Debit,2021-04-10,会議 食事代,10E201130,会議費,,,,,24995,0,10A100020,現金及び預金,,,,,24995,2021-04
44,1,162,Credit,2021-04-10,会議 食事代,10A100020,現金及び預金,,,,,0,24995,10E201130,会議費,,,,,56261537,2021-04
45,1,167,Debit,2021-04-10,家賃支払い,10E200720,地代家賃,,,,,630000,0,10A100020,現金及び預金,50,福岡 北九州,,,1349000,2021-04
45,1,167,Credit,2021-04-10,家賃支払い,10A100020,現金及び預金,50,福岡 北九州,,,0,630000,10E200720,地代家賃,,,,,55631537,2021-04
45,2,167,Debit,2021-04-10,電話代,10E200180,通信費,,,,,166012,0,10A100020,現金及び預金,50,福岡 北九州,,,817196,2021-04
