Account_Code,Account_Name,Beginning_Balance
111,現金,38046565
121,当座預金,6858774
131,普通預金,3093094
143,定期預金,3333230
148,定期積金,2043415
150,受取手形,1413087
159,貸倒引当金,14974729
152,売掛金,148001174
161,有価証券,23142
171,商品,84256000
183,短期貸付金,280000
191,仮払消費税等,50286
244,差入保証金,21843
213,構築物,36435838
216,工具器具備品,17360990
232,電話加入権,9320
248,保険積立金,27813
249,敷金,57156
301,支払手形,27253674
312,買掛金,89117567
337,賞与引当金,582480
322,未払金,1048186
328,未払法人税等,2864378
327,未払事業税等,1862000
336,未払消費税等,4947100
326,預り金,901034
321,短期借入金,7842000
335,仮受消費税等,119056
341,長期借入金,7000000
359,退職給付引当金,337839
360,役員退任慰労金,400455
421,資本準備金,19749720
431,利益準備金,131058
432,別途積立金,87918
437,繰越利益剰余金,90222
411,資本金,162002311
