partner_type,partner_code,opening_balance
C,1,7773379
C,2,22749858
C,3,3171957
C,4,3204039
C,5,4236292
C,6,2853335
C,7,2505213
C,8,0
C,9,3550972
C,10,79746
C,11,8150240
C,12,18107337
C,13,3584039
C,14,24831788
C,19,2502031
C,20,3026114
C,21,3435410
C,22,3260460
C,23,0
C,24,45774
C,25,7435051
C,26,3344590
C,27,2308749
C,28,13333567
C,29,0
C,30,4511233
S,1,7927786
S,2,2945370
S,3,12369871
S,4,2322465
S,5,8748717
S,6,8822945
S,7,8927265
S,8,1037534
S,9,4368829
S,10,7657962
S,11,10333658
S,12,820184
S,13,3356408
S,14,6621184
S,15,2857389
