Document_ID,Document_Number,Document_Type,Partner_Type,Partner_Code,Document_Month,Transaction_ID,Line_ID,Line_Number,Item_Code,Item_Description,Quantity,Unit,Unit_Price,Net_Amount,Tax_Category,Tax_Rate,Tax_Amount,Gross_Amount,Tax_Rounding,Amount_Basis
DOC-20210228-0001,,売上請求書,C,1,2021-02,4000,1,1,AR-DEMO-01,家庭用品（デモ明細）,1,式,1742666,1584242,売上10%,10,158424,1742666,floor,document-rate-total-tax-floor-reference-demo
DOC-20210228-0001,,売上請求書,C,1,2021-02,4000,1,2,AR-DEMO-02,生活消耗品（デモ明細）,1,式,980250,907639,売上8%,8,72611,980250,floor,document-rate-total-tax-floor-reference-demo
DOC-20210228-0001,,売上請求書,C,1,2021-02,4000,1,3,AR-DEMO-03,日用雑貨（デモ明細）,1,式,544583,495076,売上10%,10,49507,544583,floor,document-rate-total-tax-floor-reference-demo
DOC-20210228-0002,,売上請求書,C,1,2021-02,4001,1,1,AR-DEMO-01,家庭用品（デモ明細）,1,式,1061,965,売上10%,10,96,1061,floor,document-rate-total-tax-floor-reference-demo
DOC-20210228-0002,,売上請求書,C,1,2021-02,4001,1,2,AR-DEMO-02,生活消耗品（デモ明細）,1,式,570,528,売上8%,8,42,570,floor,document-rate-total-tax-floor-reference-demo
DOC-20210228-0002,,売上請求書,C,1,2021-02,4001,1,3,AR-DEMO-03,日用雑貨（デモ明細）,1,式,354,322,売上10%,10,32,354,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0001,,売上請求書,C,1,2021-03,4002,1,1,AR-DEMO-01,家庭用品（デモ明細）,1,式,1936665,1760605,売上10%,10,176060,1936665,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0001,,売上請求書,C,1,2021-03,4002,1,2,AR-DEMO-02,生活消耗品（デモ明細）,1,式,1556927,1441600,売上8%,8,115327,1556927,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0001,,売上請求書,C,1,2021-03,4002,1,3,AR-DEMO-03,日用雑貨（デモ明細）,1,式,949346,863042,売上10%,10,86304,949346,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0002,,売上請求書,C,1,2021-03,4003,1,1,AR-DEMO-01,家庭用品（デモ明細）,1,式,1031,938,売上10%,10,93,1031,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0002,,売上請求書,C,1,2021-03,4003,1,2,AR-DEMO-02,生活消耗品（デモ明細）,1,式,534,495,売上8%,8,39,534,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0002,,売上請求書,C,1,2021-03,4003,1,3,AR-DEMO-03,日用雑貨（デモ明細）,1,式,420,382,売上10%,10,38,420,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0003,,売上請求書,C,1,2021-03,4004,1,1,AR-DEMO-01,家庭用品（デモ明細）,1,式,31716,29367,売上8%,8,2349,31716,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0003,,売上請求書,C,1,2021-03,4004,1,2,AR-DEMO-02,生活消耗品（デモ明細）,1,式,14371,13065,売上10%,10,1306,14371,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0003,,売上請求書,C,1,2021-03,4004,1,3,AR-DEMO-03,日用雑貨（デモ明細）,1,式,12885,11931,売上8%,8,954,12885,floor,document-rate-total-tax-floor-reference-demo
DOC-20210228-0003,,売上請求書,C,2,2021-02,4005,1,1,AR-DEMO-01,家庭用品（デモ明細）,1,式,6847099,6339907,売上8%,8,507192,6847099,floor,document-rate-total-tax-floor-reference-demo
