month,structured_fact_rows,source_rows,journal_posting_rows,vouchers,source_debit,source_credit,journal_debit,journal_credit,ledger_debit,ledger_credit,trial_debit,trial_credit,debit_mismatch,credit_mismatch
2021-04,2337,112,164,62,18503340,18503340,18503340,18503340,18503340,18503340,18503340,18503340,0,0
2021-05,2242,108,158,60,17747120,17747120,17747120,17747120,17747120,17747120,17747120,17747120,0,0
2021-06,2104,100,148,56,16119470,16119470,16119470,16119470,16119470,16119470,16119470,16119470,0,0
2021-07,2190,105,154,59,18165300,18165300,18165300,18165300,18165300,18165300,18165300,18165300,0,0
2021-08,2173,105,154,58,18580160,18580160,18580160,18580160,18580160,18580160,18580160,18580160,0,0
2021-09,2155,103,152,58,17727320,17727320,17727320,17727320,17727320,17727320,17727320,17727320,0,0
2021-10,2195,106,154,58,16968870,16968870,16968870,16968870,16968870,16968870,16968870,16968870,0,0
2021-11,2183,104,154,59,16870220,16870220,16870220,16870220,16870220,16870220,16870220,16870220,0,0
2021-12,2312,111,162,61,19374970,19374970,19374970,19374970,19374970,19374970,19374970,19374970,0,0
2022-01,2177,104,154,59,18540940,18540940,18540940,18540940,18540940,18540940,18540940,18540940,0,0
2022-02,2175,104,152,57,16499550,16499550,16499550,16499550,16499550,16499550,16499550,16499550,0,0
2022-03,2096,109,160,61,16665220,16665220,16665220,16665220,16665220,16665220,16665220,16665220,0,0
