schema_id,direction,structured_column,ordinal,role,sequence,level,type,name_ja,name_en,datatype,multiplicity,semantic_path,binding_path,occurrence_rule,source_binding_id,source_column,transformation,required,note
xbrl-gl-next-ae-cn-v1,structured-output,C1,1,value,0138,3,A,転記済日付,Date Posted,Date Time,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,repeat-on-detail-row,PCA_Cn_SEMANTIC_PATH_BINDING,C1,identity,true,EntryHeader value repeated on each explicit EntryDetail occurrence
xbrl-gl-next-ae-cn-v1,structured-output,C2,2,value,0150,3,A,仕訳識別子,Entry ID,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,repeat-on-detail-row,PCA_Cn_SEMANTIC_PATH_BINDING,C2,identity,true,Stable journal voucher identifier
xbrl-gl-next-ae-cn-v1,structured-output,C3,3,occurrence,0176,3,C,【仕訳明細】,Entry Detail,String,0..*,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,explicit-occurrence-id,PCA_Cn_SEMANTIC_PATH_BINDING,,derive-entry-detail-occurrence,true,Occurrence identity is distinct from semantic values
xbrl-gl-next-ae-cn-v1,structured-output,C4,4,value,0385,4,A,貸借区分コード,Debit/Credit Indicator,Token,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DebitCreditIndicator,detail-selector,PCA_Cn_SEMANTIC_PATH_BINDING,,identity,true,D or C selects the EntryDetail occurrence
xbrl-gl-next-ae-cn-v1,structured-output,C5,5,value,0361,5,A,主勘定科目コード,Account Number,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailAccountIdentifier.cor_AccountNumber,detail-selector,PCA_Cn_SEMANTIC_PATH_BINDING,"C8|C19",side-aware,true,Debit and credit PCA columns map by the C4 selector
xbrl-gl-next-ae-cn-v1,structured-output,C6,6,value,0362,5,A,主勘定科目説明,Account Description,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailAccountIdentifier.cor_AccountDescription,detail-selector,PCA_Cn_SEMANTIC_PATH_BINDING,"C9|C20",side-aware,false,Display label remains separate from account identity
xbrl-gl-next-ae-cn-v1,structured-output,C7,7,value,0377,6,A,補助勘定科目コード,Subaccount ID,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,department-occurrence,PCA_Cn_SEMANTIC_PATH_BINDING,"C6|C17",side-aware,false,Department occurrence selected explicitly
xbrl-gl-next-ae-cn-v1,structured-output,C8,8,value,0376,6,A,補助勘定科目説明,Subaccount Description,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,department-occurrence,PCA_Cn_SEMANTIC_PATH_BINDING,"C7|C18",side-aware,false,Department description
xbrl-gl-next-ae-cn-v1,structured-output,C9,9,value,0377,6,A,補助勘定科目コード,Subaccount ID,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_SubaccountID,auxiliary-account-occurrence,PCA_Cn_SEMANTIC_PATH_BINDING,"C10|C21",side-aware,false,Auxiliary-account occurrence selected explicitly
xbrl-gl-next-ae-cn-v1,structured-output,C10,10,value,0376,6,A,補助勘定科目説明,Subaccount Description,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_SubaccountDescription,auxiliary-account-occurrence,PCA_Cn_SEMANTIC_PATH_BINDING,"C11|C22",side-aware,false,Auxiliary-account description
