Ledger_Account_Number,Level,Type,Ledger_Account_Number,Parent,Category,eTax_Category,eTax_Account_Name,Beginning_Balance,Total_Debit,Total_Credit,Ending_Balance,seq
1000,1,A,1000,BS,Assets,Assets,Demo Cash,600000,89150,0,689150,1
1010,1,A,1010,BS,Assets,Assets,Demo Petty Cash,120000,153050,0,273050,2
1100,1,A,1100,BS,Assets,Assets,Demo Central Ordinary Deposit,17049930,12858140,29744550,163520,3
1110,1,A,1110,BS,Assets,Assets,Demo North Current Deposit,20425970,12822390,32606620,641740,4
1120,1,A,1120,BS,Assets,Assets,Demo Harbor Ordinary Deposit,16688910,13581020,30169930,100000,5
1200,1,A,1200,BS,Assets,Assets,Demo Accounts Receivable,1500000,59051430,26560690,33990740,6
1210,1,A,1210,BS,Assets,Assets,Demo Notes Receivable,800000,34600,0,834600,7
1300,1,A,1300,BS,Assets,Assets,Demo Inventory,1200000,57510,0,1257510,8
1400,1,A,1400,BS,Assets,Assets,Demo Prepaid Expenses,300000,6423780,0,6723780,9
1410,1,A,1410,BS,Assets,Assets,Demo Advances Paid,250000,70740,0,320740,10
1420,1,A,1420,BS,Assets,Assets,Demo Temporary Payments,150000,166960,0,316960,11
1430,1,A,1430,BS,Assets,Assets,Demo Input Tax Receivable,400000,21070,0,421070,12
1500,1,A,1500,BS,Assets,Assets,Demo Equipment,2000000,114040,0,2114040,13
1510,1,A,1510,BS,Assets,Assets,Demo Vehicles,1200000,133420,0,1333420,14
1520,1,A,1520,BS,Assets,Assets,Demo Software,700000,50040,0,750040,15
1590,1,A,1590,BS,Assets,Assets,Demo Accumulated Depreciation,900000,0,127930,1027930,16
2000,1,A,2000,BS,Liabilities,Liabilities,Demo Accounts Payable,3423720,21518690,18144970,50000,17
2010,1,A,2010,BS,Liabilities,Liabilities,Demo Notes Payable,600000,0,105070,705070,18
2100,1,A,2100,BS,Liabilities,Liabilities,Demo Accrued Payables,11150830,11100830,0,50000,19
2110,1,A,2110,BS,Liabilities,Liabilities,Demo Payroll Withholding,6159250,6109250,0,50000,20
2120,1,A,2120,BS,Liabilities,Liabilities,Demo Output Tax Payable,450000,0,163390,613390,21
2130,1,A,2130,BS,Liabilities,Liabilities,Demo Temporary Receipts,120000,0,40470,160470,22
2200,1,A,2200,BS,Liabilities,Liabilities,Demo Short-term Loans,6572000,6522000,0,50000,23
2300,1,A,2300,BS,Liabilities,Liabilities,Demo Long-term Loans,2500000,0,154870,2654870,24
2400,1,A,2400,BS,Liabilities,Liabilities,Demo Unearned Revenue,350000,0,113970,463970,25
3000,1,A,3000,BS,Equity,Equity,Demo Capital,5000000,0,78940,5078940,26
3100,1,A,3100,BS,Equity,Equity,Demo Retained Earnings,26159010,0,68330,26227340,27
8000,1,A,8000,BS,Clearing / temporary,Clearing / temporary,Demo Suspense,50000,1239330,0,1289330,57
8010,1,A,8010,BS,Clearing / temporary,Clearing / temporary,Demo Clearing,50000,0,1725850,1775850,58
