name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,element_name,English_Label
　Balance Sheet,,,5.0,Balance Sheet,,T,1,10_000000,,Balance Sheet
　　Assets,,Assets,,Assets,,T,2,10A000010,AssetsAbstract,Assets
　　　Current assets,,Current assets,,Current assets,,T,3,10A100010,CurrentAssetsAbstract,Current assets
　　　　Cash and deposits,0.0,Current assets,,Cash and deposits,,1,4,10A100020,CashAndDeposits,Cash and deposits
　　　　Notes and accounts receivable - trade,0.0,Current assets,,Notes and accounts receivable - trade,,1,4,10A100030,NotesAndAccountsReceivableTrade,Notes and accounts receivable - trade
　　　　　Allowance for doubtful accounts,0.0,Current assets,,Allowance for doubtful accounts,,1,5,10A100040,AllowanceForDoubtfulAccountsNotesAndAccountsReceivableTrade,Allowance for doubtful accounts
"　　　　　Notes and accounts receivable - trade, net",0.0,Current assets,,"Notes and accounts receivable - trade, net",,1,5,10A100050,NotesAndAccountsReceivableTradeNet,"Notes and accounts receivable - trade, net"
　　　　Notes receivable - trade,0.0,Current assets,,Notes receivable - trade,,1,4,10A100060,NotesReceivableTrade,Notes receivable - trade
　　　　　Allowance for doubtful accounts,0.0,Current assets,,Allowance for doubtful accounts,,1,5,10A100070,AllowanceForDoubtfulAccountsNotesReceivableTrade,Allowance for doubtful accounts
"　　　　　Notes receivable - trade, net",0.0,Current assets,,"Notes receivable - trade, net",,1,5,10A100080,NotesReceivableTradeNet,"Notes receivable - trade, net"
　　　　Accounts receivable - trade,0.0,Current assets,,Accounts receivable - trade,,1,4,10A100090,AccountsReceivableTrade,Accounts receivable - trade
　　　　　Allowance for doubtful accounts,0.0,Current assets,,Allowance for doubtful accounts,,1,5,10A100100,AllowanceForDoubtfulAccountsAccountsReceivableTrade,Allowance for doubtful accounts
"　　　　　Accounts receivable - trade, net",0.0,Current assets,,"Accounts receivable - trade, net",,1,5,10A100110,AccountsReceivableTradeNet,"Accounts receivable - trade, net"
　　　　Accounts receivable from subsidiaries and associates - trade,0.0,Current assets,,Accounts receivable from subsidiaries and associates - trade,,1,4,10A100120,AccountsReceivableFromSubsidiariesAndAffiliatesTrade,Accounts receivable from subsidiaries and associates - trade
　　　　Accounts receivable - installment,0.0,Current assets,,Accounts receivable - installment,,1,4,10A100130,AccountsReceivableInstallment,Accounts receivable - installment
　　　　Accounts receivable - development business,0.0,Current assets,,Accounts receivable - development business,,1,4,10A100140,AccountsReceivableDevelopmentBusiness,Accounts receivable - development business
　　　　Accounts receivable - real estate business,0.0,Current assets,,Accounts receivable - real estate business,,1,4,10A100150,AccountsReceivableRealEstateBusiness,Accounts receivable - real estate business
　　　　Accounts receivable - completed service contracts,0.0,Current assets,,Accounts receivable - completed service contracts,,1,4,10A100160,AccountsReceivableCompletedOperation,Accounts receivable - completed service contracts
　　　　Accounts receivable - due from franchised stores,0.0,Current assets,,Accounts receivable - due from franchised stores,,1,4,10A100170,AccountsReceivableDueFromFranchisedStores,Accounts receivable - due from franchised stores
　　　　Trade notes and accounts receivable,0.0,Current assets,,Trade notes and accounts receivable,,1,4,10A100180,NotesAndOperatingAccountsReceivableCA,Trade notes and accounts receivable
　　　　Trade accounts receivable,0.0,Current assets,,Trade accounts receivable,,1,4,10A100190,OperatingAccountsReceivableCA,Trade accounts receivable
　　　　Electronically recorded monetary claims - operating,0.0,Current assets,,Electronically recorded monetary claims - operating,,1,4,10A100200,ElectronicallyRecordedMonetaryClaimsOperatingCA,Electronically recorded monetary claims - operating
　　　　Operating loans,0.0,Current assets,,Operating loans,,1,4,10A100210,OperatingLoansCA,Operating loans
　　　　Securities - trading and matured within one year,,Current assets,,Securities - trading and matured within one year,,T,4,10A100220,abstract,Securities - trading and matured within one year
　　　　　Securities,0.0,Current assets,,Securities,,1,5,10A100230,ShortTermInvestmentSecurities,Securities
　　　　Shares of parent,0.0,Current assets,,Shares of parent,,1,4,10A100240,StocksOfParentCompanyCA,Shares of parent
　　　　Money held in trust,0.0,Current assets,,Money held in trust,,1,4,10A100250,MoneyHeldInTrustCA,Money held in trust
　　　　Operational investment securities,0.0,Current assets,,Operational investment securities,,1,4,10A100260,OperationalInvestmentSecuritiesCA,Operational investment securities
　　　　Inventories,0.0,Current assets,,Inventories,,1,4,10A100270,Inventories,Inventories
　　　　　Merchandise,0.0,Current assets,,Merchandise,,1,5,10A100280,Merchandise,Merchandise
　　　　　　Goods in transit,0.0,Current assets,,Goods in transit,,1,6,10A100290,Merchandise,Goods in transit
"　　　　　Finished goods, by-products and scraps",,Current assets,,"Finished goods, by-products and scraps",,T,5,10A100300,abstract,"Finished goods, by-products and scraps"
　　　　　　Finished goods,0.0,Current assets,,Finished goods,,1,6,10A100310,FinishedGoods,Finished goods
　　　　　　By-product,0.0,Current assets,,By-product,,1,6,10A100320,ByProduct,By-product
　　　　　Merchandise and finished goods,0.0,Current assets,,Merchandise and finished goods,,1,5,10A100330,MerchandiseAndFinishedGoods,Merchandise and finished goods
　　　　　Semi-finished goods,0.0,Current assets,,Semi-finished goods,,1,5,10A100340,SemiFinishedGoods,Semi-finished goods
　　　　　Raw materials and materials,,Current assets,,Raw materials and materials,,T,5,10A100350,abstract,Raw materials and materials
　　　　　　Raw materials,0.0,Current assets,,Raw materials,,1,6,10A100360,RawMaterials,Raw materials
　　　　　　Raw materials and supplies,0.0,Current assets,,Raw materials and supplies,,1,6,10A100370,RawMaterialsAndSupplies,Raw materials and supplies
　　　　　　Raw materials in transit,0.0,Current assets,,Raw materials in transit,,1,6,10A100380,RawMaterialsInTransit,Raw materials in transit
　　　　　Work in process and partly-finished work,,Current assets,,Work in process and partly-finished work,,T,5,10A100390,abstract,Work in process and partly-finished work
　　　　　　Work in process,0.0,Current assets,,Work in process,,1,6,10A100400,WorkInProcess,Work in process
　　　　　　Partly-finished work,0.0,Current assets,,Partly-finished work,,1,6,10A100410,PartlyFinishedWork,Partly-finished work
