name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,element_name,English_Label
　Profit and Loss,,,5.0,Profit and Loss,,T,1,10_000000,,Profit and Loss
　　Revenue from operating activities,,Net sales,,Revenue from operating activities,,T,2,10D100010,RevenueFromOperatingActivitiesAbstract,Revenue from operating activities
　　　Net sales,,Net sales,,Net sales,,T,3,10D100020,NetSalesAbstract,Net sales
　　　　Net sales,0.0,Net sales,,Net sales,,1,4,10D100030,NetSales,Net sales
　　　Operating revenue,,Net sales,,Operating revenue,,T,3,10D100040,OperatingRevenue2Abstract,Operating revenue
　　　　Operating revenue,0.0,Net sales,,Operating revenue,,1,4,10D100050,OperatingRevenue1,Operating revenue
　　　Operating revenue,,Net sales,,Operating revenue,,T,3,10D100060,OperatingRevenue2Abstract,Operating revenue
　　　　Operating revenue,0.0,Net sales,,Operating revenue,,1,4,10D100070,OperatingRevenue2,Operating revenue
　　　　Gross operating revenue,0.0,Net sales,,Gross operating revenue,,1,4,10D100080,GrossOperatingRevenue,Gross operating revenue
　　　Revenue from operating activities - detail,,Net sales,,Revenue from operating activities - detail,,T,3,10D100090,RevenueFromOperatingActivitiesDetailAbstract,Revenue from operating activities - detail
　　　　Gross sales,0.0,Net sales,,Gross sales,,T,4,10D100100,GrossSalesRevOA,Gross sales
　　　　　Gross sales from electronic transactions,0.0,Net sales,,Gross sales from electronic transactions,,T,5,10D100103,,Gross sales from electronic transactions
　　　　　　Sales from electronic transactions,0.0,Net sales,,Sales from electronic transactions,,0,6,10D100101,,Sales from electronic transactions
　　　　　　Sales allowance and returns from electronic transactions from electronic transactions,0.0,Net sales,,Sales allowance and returns from electronic transactions from electronic transactions,,0,6,10D100111,,Sales allowance and returns from electronic transactions from electronic transactions
　　　　Sales allowance and returns,0.0,Net sales,,Sales allowance and returns,,0,4,10D100110,SalesAllowanceAndReturnsRevOA,Sales allowance and returns
　　　　　Gross sales from traditional transactions,0.0,Net sales,,Gross sales from traditional transactions,,T,5,10D100104,,Gross sales from traditional transactions
　　　　　　Sales from traditional transactions,0.0,Net sales,,Sales from traditional transactions,,0,6,10D100102,,Sales from traditional transactions
　　　　　　Sales allowance and returns from traditional transactions,0.0,Net sales,,Sales allowance and returns from traditional transactions,,0,6,10D100112,,Sales allowance and returns from traditional transactions
　　　　Net sales of goods,0.0,Net sales,,Net sales of goods,,1,4,10D100120,NetSalesOfGoodsRevOA,Net sales of goods
　　　　Net sales of finished goods,0.0,Net sales,,Net sales of finished goods,,1,4,10D100130,NetSalesOfFinishedGoodsRevOA,Net sales of finished goods
　　　　Net sales of merchandise and finished goods,0.0,Net sales,,Net sales of merchandise and finished goods,,1,4,10D100140,NetSalesOfMerchandiseAndFinishedGoodsRevOA,Net sales of merchandise and finished goods
　　　　Sales of semi-finished goods,0.0,Net sales,,Sales of semi-finished goods,,1,4,10D100150,SalesOfSemiFinishedGoodsRevOA,Sales of semi-finished goods
　　　　Sales of raw materials,0.0,Net sales,,Sales of raw materials,,1,4,10D100160,SalesOfRawMaterialsRevOA,Sales of raw materials
　　　　Sales of by-products,0.0,Net sales,,Sales of by-products,,1,4,10D100170,SalesOfByProductsRevOA,Sales of by-products
　　　　Sales of scraps,0.0,Net sales,,Sales of scraps,,1,4,10D100180,SalesOfScrapsRevOA,Sales of scraps
　　　　Service revenue,0.0,Net sales,,Service revenue,,1,4,10D100190,ServiceRevenueRevOA,Service revenue
　　　　Service sales,0.0,Net sales,,Service sales,,1,4,10D100200,ServiceSalesRevOA,Service sales
　　　　Installment sales,0.0,Net sales,,Installment sales,,1,4,10D100210,InstallmentSalesRevOA,Installment sales
　　　　Real estate sales,0.0,Net sales,,Real estate sales,,1,4,10D100220,RealEstateSalesRevOA,Real estate sales
　　　　Sales in development business,0.0,Net sales,,Sales in development business,,1,4,10D100230,SalesOnDevelopmentBusinessRevOA,Sales in development business
　　　　Sales in real estate business,0.0,Net sales,,Sales in real estate business,,1,4,10D100240,SalesOnRealEstateBusinessRevOA,Sales in real estate business
　　　　Sales in leasing business,0.0,Net sales,,Sales in leasing business,,1,4,10D100250,SalesOnLeaseBusinessRevOA,Sales in leasing business
　　　　Sales in residential property sales business,0.0,Net sales,,Sales in residential property sales business,,1,4,10D100260,SalesOnSellingBusinessRevOA,Sales in residential property sales business
　　　　Sales in other businesses,0.0,Net sales,,Sales in other businesses,,1,4,10D100270,SalesOnOtherBusinessRevOA,Sales in other businesses
　　　　Leasing business revenue,0.0,Net sales,,Leasing business revenue,,1,4,10D100280,LeaseBusinessRevenueRevOA,Leasing business revenue
　　　　Leasing business revenue,0.0,Net sales,,Leasing business revenue,,1,4,10D100290,LeaseBusinessRevenueSpecificRevOA,Leasing business revenue
　　　　Lease revenue,0.0,Net sales,,Lease revenue,,1,4,10D100300,RentIncomeRevOA,Lease revenue
　　　　Real estate lease revenue,0.0,Net sales,,Real estate lease revenue,,1,4,10D100310,RentIncomeOfRealEstateRevOA,Real estate lease revenue
　　　　Real estate income,0.0,Net sales,,Real estate income,,1,4,10D100320,RealEstateIncomeRevOA,Real estate income
　　　　Commission income,0.0,Net sales,,Commission income,,1,4,10D100330,CommissionIncomeRevOA,Commission income
　　　　Processing income,0.0,Net sales,,Processing income,,1,4,10D100340,ProcessingIncomeRevOA,Processing income
　　　　Royalty income,0.0,Net sales,,Royalty income,,1,4,10D100350,RoyaltyIncomeRevOA,Royalty income
　　　　Consulting income,0.0,Net sales,,Consulting income,,1,4,10D100360,ConsultingIncomeRevOA,Consulting income
　　　　Income from franchised stores,0.0,Net sales,,Income from franchised stores,,1,4,10D100370,IncomeFromFranchisedStoresRevOA,Income from franchised stores
　　　　Dividends from subsidiaries and associates,0.0,Net sales,,Dividends from subsidiaries and associates,,1,4,10D100380,DividendsFromSubsidiariesAndAffiliatesRevOA,Dividends from subsidiaries and associates
　　　　Dividend income,0.0,Net sales,,Dividend income,,1,4,10D100390,DividendsIncomeRevOA,Dividend income
　　　　Commissions from subsidiaries and associates,0.0,Net sales,,Commissions from subsidiaries and associates,,1,4,10D100400,CommissionsFromSubsidiariesAndAffiliatesRevOA,Commissions from subsidiaries and associates
　　　　Interest on loans receivable from subsidiaries and associates,0.0,Net sales,,Interest on loans receivable from subsidiaries and associates,,1,4,10D100410,InterestOnLoansToSubsidiariesAndAffiliatesRevOA,Interest on loans receivable from subsidiaries and associates
　　　　Interest on securities of subsidiaries and associates,0.0,Net sales,,Interest on securities of subsidiaries and associates,,1,4,10D100420,InterestOnSecuritiesOfSubsidiariesAndAffiliatesRevOA,Interest on securities of subsidiaries and associates
　　　　Management fee income,0.0,Net sales,,Management fee income,,1,4,10D100430,ManagementFeeIncomeRevOA,Management fee income
　　　　Consulting fee income,0.0,Net sales,,Consulting fee income,,1,4,10D100440,ConsultingFeeIncomeRevOA,Consulting fee income
　　　　Trademark fee income,0.0,Net sales,,Trademark fee income,,1,4,10D100450,TrademarkFeeIncomeRevOA,Trademark fee income
　　　　Asset rental income,0.0,Net sales,,Asset rental income,,1,4,10D100460,AssetRentalIncomeRevOA,Asset rental income
　　　　Completed service contracts,0.0,Net sales,,Completed service contracts,,1,4,10D100470,ContractsCompletedRevOA,Completed service contracts
　　　　Construction sales,0.0,Net sales,,Construction sales,,1,4,10D100480,ConstructionSalesRevOA,Construction sales
　　　　Sales of software development,0.0,Net sales,,Sales of software development,,1,4,10D100490,SalesOfSoftwareDevelopmentRevOA,Sales of software development
　　　　Sales of information service,0.0,Net sales,,Sales of information service,,1,4,10D100500,SalesOfInformationServiceRevOA,Sales of information service
　　　　Sales of maintenance service,0.0,Net sales,,Sales of maintenance service,,1,4,10D100510,SalesOfMaintenanceServiceRevOA,Sales of maintenance service
　　　　Annual fee income,0.0,Net sales,,Annual fee income,,1,4,10D100520,AnnualFeeIncomeRevOA,Annual fee income
　　　　Warehouse income,0.0,Net sales,,Warehouse income,,1,4,10D100530,WarehouseIncomeRevOA,Warehouse income
　　　　Warehousing fee income,0.0,Net sales,,Warehousing fee income,,1,4,10D100540,WarehousingFeeIncomeRevOA,Warehousing fee income
　　　　Stevedoring income,0.0,Net sales,,Stevedoring income,,1,4,10D100550,StevedoringIncomeRevOA,Stevedoring income
　　　　Transportation income,0.0,Net sales,,Transportation income,,1,4,10D100560,TransportationIncomeRevOA,Transportation income
　　　　Miscellaneous transportation income,0.0,Net sales,,Miscellaneous transportation income,,1,4,10D100570,MiscellaneousTransportationIncomeRevOA,Miscellaneous transportation income
　　　　Production income,0.0,Net sales,,Production income,,1,4,10D100580,ProductionIncomeRevOA,Production income
　　　　Income from broadcasting business,0.0,Net sales,,Income from broadcasting business,,1,4,10D100590,IncomeFromBroadcastingBusinessRevOA,Income from broadcasting business
　　　　Income from television business,0.0,Net sales,,Income from television business,,1,4,10D100600,IncomeFromTelevisionBusinessRevOA,Income from television business
　　　　Income from radio business,0.0,Net sales,,Income from radio business,,1,4,10D100610,IncomeFromRadioBusinessRevOA,Income from radio business
　　　　Rental sales,0.0,Net sales,,Rental sales,,1,4,10D100620,RentalSalesRevOA,Rental sales
　　　　Sales of goods on consignment,0.0,Net sales,,Sales of goods on consignment,,1,4,10D100630,SalesOfGoodsOnConsignmentRevOA,Sales of goods on consignment
　　　　Indent sales,0.0,Net sales,,Indent sales,,1,4,10D100640,IndentSalesRevOA,Indent sales
　　　　Other sales,0.0,Net sales,,Other sales,,1,4,10D100650,OtherSalesRevOA,Other sales
　　　　Other business revenue,0.0,Net sales,,Other business revenue,,1,4,10D100660,OtherBusinessRevenue1RevOA,Other business revenue
　　　　Other business revenue,0.0,Net sales,,Other business revenue,,1,4,10D100670,OtherBusinessRevenue2RevOA,Other business revenue
　　　　Other operating revenue,0.0,Net sales,,Other operating revenue,,1,4,10D100680,OtherOperatingRevenue1RevOA,Other operating revenue
　　　　Other operating revenue,0.0,Net sales,,Other operating revenue,,1,4,10D100690,OtherOperatingRevenue2RevOA,Other operating revenue
　　　　Other revenue,0.0,Net sales,,Other revenue,,1,4,10D100700,OtherRevenue1RevOA,Other revenue
　　　　Other revenue,0.0,Net sales,,Other revenue,,1,4,10D100710,OtherRevenue2RevOA,Other revenue
　　　　Other,0.0,Net sales,,Other,,1,4,10D100720,OtherRevOA,Other
　　　　Financial revenue,,Net sales,,Financial revenue,,T,4,10D100730,FinancialRevenueAbstract,Financial revenue
　　　　　Financial revenue,0.0,Net sales,,Financial revenue,,1,5,10D100740,FinancialRevenue,Financial revenue
　　　　　Financing revenue,0.0,Net sales,,Financing revenue,,1,5,10D100750,FinancingRevenueRevOA,Financing revenue
　　　　　Lease revenue,0.0,Net sales,,Lease revenue,,1,5,10D100760,LeaseRevenueRevOA,Lease revenue
　　　　　Revenue from operational investment securities,0.0,Net sales,,Revenue from operational investment securities,,1,5,10D100770,RevenueFromOperationalInvestmentSecuritiesRevOA,Revenue from operational investment securities
　　　　　Revenue from agency services of installment purchase,0.0,Net sales,,Revenue from agency services of installment purchase,,1,5,10D100780,RevenueFromAgencyServicesOfInstallmentPurchaseRevOA,Revenue from agency services of installment purchase
　　　　　Revenue from credit card business,0.0,Net sales,,Revenue from credit card business,,1,5,10D100790,CreditCardRevenueRevOA,Revenue from credit card business
　　　　　Revenue from installment sales finance business,0.0,Net sales,,Revenue from installment sales finance business,,1,5,10D100800,PerItemRevenueRevOA,Revenue from installment sales finance business
　　　　　Discount revenue,0.0,Net sales,,Discount revenue,,1,5,10D100810,DiscountRevenueRevOA,Discount revenue
　　　　　Revenue from credit guarantee,0.0,Net sales,,Revenue from credit guarantee,,1,5,10D100820,RevenueFromCreditGuaranteeRevOA,Revenue from credit guarantee
　　　　　Income from investment partnership management,0.0,Net sales,,Income from investment partnership management,,1,5,10D100830,IncomeFromPartnershipManagementRevOA,Income from investment partnership management
　　　　　Name transfer fee income,0.0,Net sales,,Name transfer fee income,,1,5,10D100840,NameTransferFeeRevOA,Name transfer fee income
　　　　　Loan agency revenue,0.0,Net sales,,Loan agency revenue,,1,5,10D100850,LoanAgencyRevenueRevOA,Loan agency revenue
　　　　　Proceeds from purchased receivables,0.0,Net sales,,Proceeds from purchased receivables,,1,5,10D100860,CollectionFromPurchasedReceivableRevOA,Proceeds from purchased receivables
　　　　　Interest on collateral money for securities borrowed,0.0,Net sales,,Interest on collateral money for securities borrowed,,1,5,10D100870,InterestOnCollateralMoneyForSecuritiesBorrowedRevOA,Interest on collateral money for securities borrowed
　　　　　Charge on securities loaned,0.0,Net sales,,Charge on securities loaned,,1,5,10D100880,ChargeOnSecuritiesLoanedRevOA,Charge on securities loaned
　　　　　Interest on loans on margin transaction,0.0,Net sales,,Interest on loans on margin transaction,,1,5,10D100890,InterestOnLoansOnMarginTransactionRevOA,Interest on loans on margin transaction
　　　　　Interest on bond financing,0.0,Net sales,,Interest on bond financing,,1,5,10D100900,InterestOnBondFinancingRevOA,Interest on bond financing
　　　　　Interest on general loans,0.0,Net sales,,Interest on general loans,,1,5,10D100910,InterestOnGeneralLoansRevOA,Interest on general loans
　　　　　Gain on investments,0.0,Net sales,,Gain on investments,,1,5,10D100920,GainOnInvestmentRevOA,Gain on investments
　　　　　Other financial revenue,0.0,Net sales,,Other financial revenue,,1,5,10D100930,OtherFinancialRevenueRevOA,Other financial revenue
　　COS and expenses from operating activities,,Cost of sales,,COS and expenses from operating activities,,T,2,10E100010,COSAndExpensesFromOperatingActivitiesAbstract,COS and expenses from operating activities
　　　Cost of sales,,Cost of sales,,Cost of sales,,T,3,10E100020,CostOfSalesAbstract,Cost of sales
　　　　Cost of sales,0.0,Cost of sales,,Cost of sales,,1,4,10E100030,CostOfSales,Cost of sales
　　　Operating expenses,,Cost of sales,,Operating expenses,,T,3,10E100040,OperatingExpensesAbstract,Operating expenses
　　　　Operating expenses,0.0,Cost of sales,,Operating expenses,,1,4,10E100050,OperatingExpenses,Operating expenses
　　　Operating cost,,Cost of sales,,Operating cost,,T,3,10E100060,OperatingCostAbstract,Operating cost
　　　　Operating cost,0.0,Cost of sales,,Operating cost,,1,4,10E100070,OperatingCost,Operating cost
　　　COS and expenses from operating activities - detail,,Cost of sales,,COS and expenses from operating activities - detail,,T,3,10E100080,COSAndExpensesFromOperatingActivitiesDetailAbstract,COS and expenses from operating activities - detail
　　　　Cost of goods sold,,Cost of sales,,Cost of goods sold,,T,4,10E100090,CostOfGoodsSoldAbstract,Cost of goods sold
　　　　　Beginning merchandise inventory,0.0,Cost of sales,,Beginning merchandise inventory,,1,5,10E100100,BeginningGoodsCOS,Beginning merchandise inventory
　　　　　Total purchase of goods,0.0,Cost of sales,,Total purchase of goods,,T,5,10E100110,TotalPurchaseOfGoods,Total purchase of goods
　　　　　　Total purchase of goods from electronic transactions,0.0,Cost of sales,,Total purchase of goods from electronic transactions,,T,6,10E100113,,Total purchase of goods from electronic transactions
　　　　　　　Total purchase of goods from electronic transactions,0.0,Cost of sales,,Total purchase of goods from electronic transactions,,0,7,10E100111,,Total purchase of goods from electronic transactions
　　　　　　　Cost of purchased goods from electronic transactions,0.0,Cost of sales,,Cost of purchased goods from electronic transactions,,0,7,10E100131,,Cost of purchased goods from electronic transactions
　　　　　　　Purchase allowance and returns from electronic transactions,0.0,Cost of sales,,Purchase allowance and returns from electronic transactions,,0,7,10E100121,,Purchase allowance and returns from electronic transactions
