JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02
712,1,2021-07,2021-07-01,56,Travel Expenses,10E201230,Travel and transportation expenses,19800,Q5,Standard 10%,1800,,,,,10A100020,Cash and deposits,19800,00,Exempt,0,,,,
713,1,2021-07,2021-07-01,66,Lease Payments,10E200730,Rent expenses on land and buildings,209850,Q5,Standard 10%,19077,,,,,10A100020,Cash and deposits,209850,00,Exempt,0,20,Mizuho Main Branch,,
714,1,2021-07,2021-07-01,70,Battery Cost,10E201270,Miscellaneous expenses,458,Q5,Standard 10%,41,,,,,10A100020,Cash and deposits,458,00,Exempt,0,,,,
715,1,2021-07,2021-07-01,79,Prize Cost,10E200140,Welfare expenses,35077,Q5,Standard 10%,3188,,,,,10A100020,Cash and deposits,35077,00,Exempt,0,,,,
716,1,2021-07,2021-07-01,116,Lease Payments,10E200730,Rent expenses on land and buildings,84000,Q5,Standard 10%,7636,,,,,10A100020,Cash and deposits,84000,00,Exempt,0,40,Mitsubishi Tokyo Umeda,,
717,1,2021-07,2021-07-02,32,Office Supplies Expense,10E201110,Office supplies expenses,2233,Q5,Standard 10%,203,,,,,10B100630,Accounts payable - other,2233,00,Exempt,0,,,,
718,1,2021-07,2021-07-02,142,Car wash,10E201120,Vehicle expenses,2458,Q5,Standard 10%,223,,,,,10A100020,Cash and deposits,24205,00,Exempt,0,,,,
718,2,2021-07,2021-07-02,142,Gasoline Cost,10E201120,Vehicle expenses,6229,Q5,Standard 10%,566,,,,,,,0,,,0,,,,
718,3,2021-07,2021-07-02,142,Highway Toll,10E201120,Vehicle expenses,3086,Q5,Standard 10%,280,,,,,,,0,,,0,,,,
718,4,2021-07,2021-07-02,142,Highway Toll,10E201120,Vehicle expenses,477,Q5,Standard 10%,43,,,,,,,0,,,0,,,,
718,5,2021-07,2021-07-02,142,Highway Toll,10E201120,Vehicle expenses,8097,Q5,Standard 10%,736,,,,,,,0,,,0,,,,
718,6,2021-07,2021-07-02,142,Gasoline Cost,10E201120,Vehicle expenses,3858,Q5,Standard 10%,350,,,,,,,0,,,0,,,,
719,1,2021-07,2021-07-02,151,Meal Cost Dining Sai 2 People,10E200150,Entertainment expenses,6143,Q5,Standard 10%,558,,,,,10A100020,Cash and deposits,15055,00,Exempt,0,,,,
719,2,2021-07,2021-07-02,151,Meal Cost Italian Restaurant Penne 4 People,10E200150,Entertainment expenses,8912,Q5,Standard 10%,810,,,,,,,0,,,0,,,,
720,1,2021-07,2021-07-03,19,Travel Expenses,10E201230,Travel and transportation expenses,10450,Q5,Standard 10%,950,,,,,10A100020,Cash and deposits,10450,00,Exempt,0,,,,
721,1,2021-07,2021-07-03,80,Taxi Fare,10E201230,Travel and transportation expenses,6500,Q5,Standard 10%,590,,,,,10A100020,Cash and deposits,6500,00,Exempt,0,,,,
722,1,2021-07,2021-07-03,134,Paper,10E201110,Office supplies expenses,13780,Q5,Standard 10%,1252,,,,,10A100020,Cash and deposits,13780,00,Exempt,0,,,,
723,1,2021-07,2021-07-04,10,Gasoline Cost,10E201120,Vehicle expenses,7320,Q5,Standard 10%,665,,,,,10A100020,Cash and deposits,7320,00,Exempt,0,,,,
724,1,2021-07,2021-07-04,41,Wedding fee,10E200150,Entertainment expenses,12000,Q5,Standard 10%,1090,,,,,10A100020,Cash and deposits,12000,00,Exempt,0,,,,
725,1,2021-07,2021-07-04,73,Food and drink fee cafe maintre,10E200150,Entertainment expenses,14630,Q5,Standard 10%,1330,,,,,10A100020,Cash and deposits,14630,00,Exempt,0,,,,
