Transaction_Date,Description,Ledger_Account_Number,Ledger_Account_Name,Subaccount_Code,Subaccount_Name,Department_Code,Department_Name,Debit_Amount,Credit_Amount,Counterpart_Account_Number,Counterpart_Account_Name,Counterpart_Subaccount_Code,Counterpart_Subaccount_Name,Counterpart_Department_Code,Counterpart_Department_Name,Balance,Month
2022-01-01,* beginning-of-month balance,10A100020,Cash and deposits,,,,,0,0,,,,,,,314348080,2022-01
2022-01-01,* beginning-of-month balance,10E201230,Travel and transportation expenses,,,,,0,0,,,,,,,9896123,2022-01
2022-01-01,* beginning-of-month balance,10E200180,Communication expenses,,,,,0,0,,,,,,,9929652,2022-01
2022-01-01,* beginning-of-month balance,10E201120,Vehicle expenses,,,,,0,0,,,,,,,5617052,2022-01
2022-01-01,* beginning-of-month balance,10E201270,Miscellaneous expenses,,,,,0,0,,,,,,,4342686,2022-01
2022-01-01,* beginning-of-month balance,10E201110,Office supplies expenses,,,,,0,0,,,,,,,1147431,2022-01
2022-01-01,* beginning-of-month balance,10E200150,Entertainment expenses,,,,,0,0,,,,,,,3250843,2022-01
2022-01-01,* beginning-of-month balance,10E200600,Fee expenses,,,,,0,0,,,,,,,1257390,2022-01
2022-01-01,* beginning-of-month balance,10B100630,Accounts payable - other,,,,,0,0,,,,,,,44233294,2022-01
2022-01-01,* beginning-of-month balance,10E200140,Welfare expenses,,,,,0,0,,,,,,,4300467,2022-01
2022-01-01,* beginning-of-month balance,10A100090,Accounts receivable - trade,,,,,0,0,,,,,,,100587762,2022-01
2022-01-01,* beginning-of-month balance,10E200690,Commission expenses,,,,,0,0,,,,,,,108770,2022-01
2022-01-01,* beginning-of-month balance,10E200210,Taxes and dues,,,,,0,0,,,,,,,239000,2022-01
2022-01-01,* beginning-of-month balance,10E200720,Rent expenses on land and buildings,,,,,0,0,,,,,,,31011000,2022-01
2022-01-01,* beginning-of-month balance,10E201130,Meeting expenses,,,,,0,0,,,,,,,255434,2022-01
2022-01-01,* beginning-of-month balance,10B100690,Deposits received,,,,,0,0,,,,,,,3004745,2022-01
2022-01-01,* beginning-of-month balance,10A100060,Notes receivable - trade,,,,,0,0,,,,,,,99483765,2022-01
2022-01-01,* beginning-of-month balance,10B100040,Accounts payable - trade,,,,,0,0,,,,,,,283818433,2022-01
2022-01-01,* beginning-of-month balance,10B100030,Notes payable - trade,,,,,0,0,,,,,,,22696150,2022-01
2022-01-01,* beginning-of-month balance,10E201140,Membership fee,,,,,0,0,,,,,,,1044000,2022-01
2022-01-01,* beginning-of-month balance,10E200520,Other salaries,,,,,0,0,,,,,,,3790337,2022-01
2022-01-01,* beginning-of-month balance,10E200050,Advertising expenses,,,,,0,0,,,,,,,1604200,2022-01
2022-01-01,* beginning-of-month balance,10E201040,Utilities expenses,,,,,0,0,,,,,,,5413937,2022-01
2022-01-01,* beginning-of-month balance,10E300020,Interest expenses,,,,,0,0,,,,,,,1050085,2022-01
2022-01-01,* beginning-of-month balance,10E200200,Supplies expenses,,,,,0,0,,,,,,,2287250,2022-01
2022-01-01,* beginning-of-month balance,10E201160,Book expenses,,,,,0,0,,,,,,,224838,2022-01
2022-01-01,* beginning-of-month balance,10E200020,Sales commission,,,,,0,0,,,,,,,20000267,2022-01
2022-01-01,* beginning-of-month balance,10E200090,Remuneration for directors (and other officers),,,,,0,0,,,,,,,57023342,2022-01
2022-01-01,* beginning-of-month balance,10E201000,Repair and maintenance expenses,,,,,0,0,,,,,,,301650,2022-01
2022-01-01,* beginning-of-month balance,10E200870,Freight costs,,,,,0,0,,,,,,,37366207,2022-01
2022-01-01,* beginning-of-month balance,10E200240,Insurance expenses,,,,,0,0,,,,,,,2869380,2022-01
2022-01-01,* beginning-of-month balance,10E200730,Rent expenses on land and buildings,,,,,0,0,,,,,,,2350800,2022-01
2022-01-01,* beginning-of-month balance,10E200540,Legal welfare expenses,,,,,0,0,,,,,,,7008962,2022-01
2022-01-01,* beginning-of-month balance,10D100102,Sales from traditional transactions,,,,,0,0,,,,,,,488573833,2022-01
2022-01-01,* beginning-of-month balance,10D100112,Sales allowance and returns from traditional transactions,,,,,0,0,,,,,,,981876,2022-01
2022-01-01,* beginning-of-month balance,10D100111,Sales allowance and returns from electronic transactions from electronic transactions,,,,,0,0,,,,,,,285568,2022-01
2022-01-01,* beginning-of-month balance,10E100132,Cost of purchased goods from traditional transactions,,,,,0,0,,,,,,,243815339,2022-01
2022-01-01,* beginning-of-month balance,10E100131,Cost of purchased goods from electronic transactions,,,,,0,0,,,,,,,131337416,2022-01
2022-01-01,* beginning-of-month balance,10A100610,Short-term loans receivable,,,,,0,0,,,,,,,470000,2022-01
2022-01-01,* beginning-of-month balance,10A230570,Insurance funds,,,,,0,0,,,,,,,1152813,2022-01
2022-01-01,* beginning-of-month balance,10B100790,Short-term borrowings,,,,,0,0,,,,,,,1960500,2022-01
2022-01-01,* beginning-of-month balance,10E200370,Salaries and allowances,,,,,0,0,,,,,,,5515630,2022-01
2022-01-01,* beginning-of-month balance,10D100101,Sales from electronic transactions,,,,,0,0,,,,,,,128134183,2022-01
2022-01-01,* beginning-of-month balance,10B100640,Income taxes payable,,,,,0,0,,,,,,,0,2022-01
2022-01-01,* beginning-of-month balance,10B100650,Accrued business office tax,,,,,0,0,,,,,,,0,2022-01
2022-01-01,* beginning-of-month balance,10B100660,Accrued consumption taxes,,,,,0,0,,,,,,,0,2022-01
2022-01-01,* beginning-of-month balance,10E200130,Bonuses,,,,,0,0,,,,,,,11082000,2022-01
2022-01-01,* beginning-of-month balance,10A100200,Electronically recorded monetary claims - operating,,,,,0,0,,,,,,,40000,2022-01
2022-01-01,* beginning-of-month balance,10A100280,Merchandise,,,,,0,0,,,,,,,1146999,2022-01
2022-01-01,* beginning-of-month balance,10E100140,Ending merchandise inventory,,,,,0,0,,,,,,,0,2022-01
2022-01-01,* beginning-of-month balance,10A210130,Structures,,,,,0,0,,,,,,,36435838,2022-01
2022-01-01,* beginning-of-month balance,10E200220,Depreciation,,,,,0,0,,,,,,,0,2022-01
2022-01-01,* beginning-of-month balance,10B200080,Long-term borrowings,,,,,0,0,,,,,,,7000000,2022-01
2022-01-01,* beginning-of-month balance,10E100100,Beginning merchandise inventory,,,,,0,0,,,,,,,0,2022-01
2022-01-01,Travel Expenses,10A100020,Cash and deposits,,,,,0,19500,10E201230,Travel and transportation expenses,,,,,314328580,2022-01
2022-01-01,Travel Expenses,10E201230,Travel and transportation expenses,,,,,19500,0,10A100020,Cash and deposits,,,,,9915623,2022-01
2022-01-02,Travel Expenses,10A100020,Cash and deposits,,,,,0,11000,10E201230,Travel and transportation expenses,,,,,314317580,2022-01
2022-01-02,Travel Expenses,10E201230,Travel and transportation expenses,,,,,11000,0,10A100020,Cash and deposits,,,,,9926623,2022-01
2022-01-03,Paper,10B100630,Accounts payable - other,,,,,0,8400,10E201110,Office supplies expenses,,,,,44241694,2022-01
2022-01-03,Paper,10E201110,Office supplies expenses,,,,,8400,0,10B100630,Accounts payable - other,,,,,1155831,2022-01
2022-01-04,Lease Payments,10A100020,Cash and deposits,40,Mitsubishi Tokyo Umeda,,,0,84000,10E200730,Rent expenses on land and buildings,,,,,314233580,2022-01
2022-01-04,Lease Payments,10E200730,Rent expenses on land and buildings,,,,,84000,0,10A100020,Cash and deposits,40,Mitsubishi Tokyo Umeda,,,2434800,2022-01
2022-01-04,Lease Payments,10A100020,Cash and deposits,20,Mizuho Main Branch,,,0,209850,10E200730,Rent expenses on land and buildings,,,,,314023730,2022-01
2022-01-04,Lease Payments,10E200730,Rent expenses on land and buildings,,,,,209850,0,10A100020,Cash and deposits,20,Mizuho Main Branch,,,2644650,2022-01
2022-01-05,Inspection Fee,10A100020,Cash and deposits,,,,,0,31200,10E201120,Vehicle expenses,,,,,313992530,2022-01
2022-01-05,Inspection Fee,10E201120,Vehicle expenses,,,,,31200,0,10A100020,Cash and deposits,,,,,5648252,2022-01
2022-01-05,"January 5th Slip No. 406 Watanabe Industries Co., Ltd.",10A100020,Cash and deposits,50,Fukuoka Kitakyushu,,,2137952,0,10A100090,Accounts receivable - trade,22,"Watanabe Industries Co., Ltd.",,,316130482,2022-01
2022-01-05,"January 5th Slip No. 406 Watanabe Industries Co., Ltd.",10A100090,Accounts receivable - trade,22,"Watanabe Industries Co., Ltd.",,,0,2137952,10A100020,Cash and deposits,50,Fukuoka Kitakyushu,,,98449810,2022-01
2022-01-05,"January 5th Slip No. 406 Watanabe Industries Co., Ltd.",10A100090,Accounts receivable - trade,22,"Watanabe Industries Co., Ltd.",,,0,472,10E200690,Commission expenses,,,,,98449338,2022-01
