Ledger_Account_Number,Level,Type,Ledger_Account_Number,Parent,Category,eTax_Category,eTax_Account_Name,Beginning_Balance,Total_Debit,Total_Credit,Ending_Balance,seq
10D100010,1,T,10D100010,10_000000,Revenue,Net Sales,Operating Revenues,0,27578463,370417795,342839332,2
10D100090,2,T,10D100090,10D100010,Revenue,Net Sales,Breakdown of Operating Revenues,0,27578463,370417795,342839332,10
10D100100,3,T,10D100100,10D100090,Revenue,Net Sales,Gross Sales,0,27578463,370417795,342839332,11
10D100103,4,T,10D100103,10D100100,Revenue,Net Sales,Electronic Transaction Gross Sales,0,149368,107653320,107503952,12
10D100104,4,T,10D100104,10D100100,Revenue,Net Sales,Non-electronic Transaction Gross Sales,0,27429095,262764475,235335380,16
10E100010,1,T,10E100010,10_000000,Expenses,Cost of Sales,Operating Expenses and Cost of Sales,0,223274920,12618480,210656440,101
10E100080,2,T,10E100080,10E100010,Expenses,Cost of Sales,Breakdown of Operating Expenses and Cost of Sales,0,223274920,12618480,210656440,108
10E100090,3,T,10E100090,10E100080,Expenses,Cost of Sales,Cost of Merchandise Sold,0,223274920,12618480,210656440,109
10E100100,4,1,10E100100,10E100090,Expenses,Cost of Sales,Beginning Merchandise Inventory,0,0,0,0,110
10E100110,4,T,10E100110,10E100090,Expenses,Cost of Sales,Gross Purchases,0,223274920,12618480,210656440,111
10E100113,5,T,10E100113,10E100110,Expenses,Cost of Sales,Electronic Transaction Gross Purchases,0,77668417,5459985,72208432,112
10E100114,5,T,10E100114,10E100110,Expenses,Cost of Sales,Non-electronic Transaction Gross Purchases,0,145606503,7158495,138448008,116
10E100140,4,1,10E100140,10E100090,Expenses,Cost of Sales,Ending Merchandise Inventory,0,0,0,0,122
10E200010,1,T,10E200010,10_000000,Expenses,"Selling, General and Administrative Expenses","Selling, General and Administrative Expenses",0,153903053,1731430,152171623,334
10E200020,2,1,10E200020,10E200010,Expenses,"Selling, General and Administrative Expenses",Sales Commissions,0,12776067,0,12776067,335
10E200050,2,1,10E200050,10E200010,Expenses,"Selling, General and Administrative Expenses",Advertising Expenses,0,1029700,0,1029700,338
10E200090,2,1,10E200090,10E200010,Expenses,"Selling, General and Administrative Expenses",Directors' Compensation,0,10320000,0,10320000,342
