Ledger_Account_Number,Level,Type,Ledger_Account_Number,Parent,Category,eTax_Category,eTax_Account_Name,Beginning_Balance,Total_Debit,Total_Credit,Ending_Balance,seq
10D100010,1,T,10D100010,10_000000,Revenue,Net sales,Revenue from operating activities,0,1267444,852595939,851328495,2
10D100090,2,T,10D100090,10D100010,Revenue,Net sales,Revenue from operating activities - detail,0,1267444,852595939,851328495,10
10D100100,3,T,10D100100,10D100090,Revenue,Net sales,Gross sales,0,1267444,852595939,851328495,11
10D100103,4,T,10D100103,10D100100,Revenue,Net sales,Gross sales from electronic transactions,0,285568,250215331,249929763,12
10D100104,4,T,10D100104,10D100100,Revenue,Net sales,Gross sales from traditional transactions,0,981876,602380608,601398732,16
10E100010,1,T,10E100010,10_000000,Expenses,Cost of sales,COS and expenses from operating activities,0,576397673,63801969,512595704,101
10E100080,2,T,10E100080,10E100010,Expenses,Cost of sales,COS and expenses from operating activities - detail,0,576397673,63801969,512595704,108
10E100090,3,T,10E100090,10E100080,Expenses,Cost of sales,Cost of goods sold,0,576397673,63801969,512595704,109
10E100100,4,1,10E100100,10E100090,Expenses,Cost of sales,Beginning merchandise inventory,0,63013226,0,63013226,110
10E100110,4,T,10E100110,10E100090,Expenses,Cost of sales,Total purchase of goods,0,513384447,776423,512608024,111
10E100113,5,T,10E100113,10E100110,Expenses,Cost of sales,Total purchase of goods from electronic transactions,0,179343533,314029,179029504,112
10E100114,5,T,10E100114,10E100110,Expenses,Cost of sales,Total purchase of goods from traditional transactions,0,334040914,462394,333578520,116
10E100140,4,1,10E100140,10E100090,Expenses,Cost of sales,Ending merchandise inventory,0,0,63025546,-63025546,122
10E200010,1,T,10E200010,10_000000,Expenses,"Selling, general and administrative expenses","Selling, general and administrative expenses",0,310475889,3367993,307107896,334
10E200020,2,1,10E200020,10E200010,Expenses,"Selling, general and administrative expenses",Sales commission,0,27081267,0,27081267,335
10E200050,2,1,10E200050,10E200010,Expenses,"Selling, general and administrative expenses",Advertising expenses,0,2178700,0,2178700,338
10E200090,2,1,10E200090,10E200010,Expenses,"Selling, general and administrative expenses",Remuneration for directors (and other officers),0,20640000,0,20640000,342
10E200130,2,1,10E200130,10E200010,Expenses,"Selling, general and administrative expenses",Bonuses,0,11082000,0,11082000,346
10E200140,2,1,10E200140,10E200010,Expenses,"Selling, general and administrative expenses",Welfare expenses,0,5585786,0,5585786,347
10E200150,2,1,10E200150,10E200010,Expenses,"Selling, general and administrative expenses",Entertainment expenses,0,4258344,0,4258344,348
10E200180,2,1,10E200180,10E200010,Expenses,"Selling, general and administrative expenses",Communication expenses,0,13260677,0,13260677,351
10E200200,2,1,10E200200,10E200010,Expenses,"Selling, general and administrative expenses",Supplies expenses,0,6735986,3367993,3367993,353
10E200210,2,1,10E200210,10E200010,Expenses,"Selling, general and administrative expenses",Taxes and dues,0,267000,0,267000,354
10E200220,2,1,10E200220,10E200010,Expenses,"Selling, general and administrative expenses",Depreciation,0,2239924,0,2239924,355
10E200240,2,1,10E200240,10E200010,Expenses,"Selling, general and administrative expenses",Insurance expenses,0,3825840,0,3825840,357
10E200370,2,1,10E200370,10E200010,Expenses,"Selling, general and administrative expenses",Salaries and allowances,0,62235612,0,62235612,370
10E200520,2,1,10E200520,10E200010,Expenses,"Selling, general and administrative expenses",Other salaries,0,4582962,0,4582962,385
10E200540,2,1,10E200540,10E200010,Expenses,"Selling, general and administrative expenses",Legal welfare expenses,0,11174629,0,11174629,387
10E200600,2,1,10E200600,10E200010,Expenses,"Selling, general and administrative expenses",Fee expenses,0,1676520,0,1676520,393
10E200690,2,1,10E200690,10E200010,Expenses,"Selling, general and administrative expenses",Commission expenses,0,144833,0,144833,402
10E200720,2,1,10E200720,10E200010,Expenses,"Selling, general and administrative expenses",Rent expenses on land and buildings,0,41358000,0,41358000,405
10E200730,2,1,10E200730,10E200010,Expenses,"Selling, general and administrative expenses",Rent expenses on land and buildings,0,3526200,0,3526200,406
10E200870,2,1,10E200870,10E200010,Expenses,"Selling, general and administrative expenses",Freight costs,0,51396860,0,51396860,420
10E201000,2,1,10E201000,10E200010,Expenses,"Selling, general and administrative expenses",Repair and maintenance expenses,0,337350,0,337350,433
10E201040,2,1,10E201040,10E200010,Expenses,"Selling, general and administrative expenses",Utilities expenses,0,7070997,0,7070997,437
10E201110,2,1,10E201110,10E200010,Expenses,"Selling, general and administrative expenses",Office supplies expenses,0,1528632,0,1528632,444
10E201120,2,1,10E201120,10E200010,Expenses,"Selling, general and administrative expenses",Vehicle expenses,0,7546928,0,7546928,445
10E201130,2,1,10E201130,10E200010,Expenses,"Selling, general and administrative expenses",Meeting expenses,0,330419,0,330419,446
10E201140,2,1,10E201140,10E200010,Expenses,"Selling, general and administrative expenses",Membership fee,0,1392000,0,1392000,447
10E201160,2,1,10E201160,10E200010,Expenses,"Selling, general and administrative expenses",Book expenses,0,299784,0,299784,449
10E201230,2,1,10E201230,10E200010,Expenses,"Selling, general and administrative expenses",Travel and transportation expenses,0,12971976,0,12971976,456
10E201270,2,1,10E201270,10E200010,Expenses,"Selling, general and administrative expenses",Miscellaneous expenses,0,5746663,0,5746663,460
10E300010,1,T,10E300010,10_000000,Expenses,Non-operating expenses,Non-operating expenses,0,1691768,0,1691768,543
10E300020,2,1,10E300020,10E300010,Expenses,Non-operating expenses,Interest expenses,0,1691768,0,1691768,544
