Account_Code,Account_Name,Beginning_Balance
111,Cash,52505892
121,Checking account deposits,9465403
131,Ordinary deposits,4268602
143,Time deposits,4600000
148,Installment savings,2820000
150,Notes receivable,77631436
159,Allowance for doubtful accounts,822674000
152,Accounts receivable,8130812723
161,Marketable securities,1271350
171,Merchandise inventory,63013226
183,Short-term loans receivable,480000
191,Provisional consumption tax receivable,2762581
244,Security deposits paid,1200000
213,Structures,2001693400
216,"Tools, furniture and fixtures",953769200
232,Telephone subscription rights,512000
248,Insurance deposits,1528000
249,Lease deposits,3140000
301,Notes payable,52251735
312,Accounts payable,264051101
337,Provision for bonuses,32000000
322,Accrued expenses,57584692
328,Corporate taxes payable,2864378
327,Enterprise taxes payable,1862000
336,Consumption tax payable,4947100
326,Deposits received,2309575
321,Short-term borrowings,7842000
335,Provisional consumption tax payable,6540636
341,Long-term borrowings,14000000
359,Provision for retirement benefits,18560000
360,Directors' retirement benefits,22000000
421,Capital reserve,1085000000
431,Legal retained earnings reserve,7200000
432,Special reserve,4830000
437,Retained earnings carried forward,4956596
411,Capital stock,8900000000
