Journal_Document_Link_ID,Transaction_ID,Line_ID,Document_ID,Relationship_Type,Link_Amount,Recognition_Basis
JDL-202102-REF-BF-AR-001-1-AR,RB001,1,DOC-INV-202102-REF-BF-AR-001-1-AR,INVOICE,600000,explicit control-account line
JDL-202102-REF-BF-AP-001-2-AP,RB002,2,DOC-INV-202102-REF-BF-AP-001-2-AP,INVOICE,1200000,explicit control-account line
JDL-202103-REF-BF-AR-SET-001-2-AR,RB003,2,DOC-SET-202103-REF-BF-AR-SET-001-2-AR,SETTLEMENT,100000,explicit control-account line
JDL-202103-REF-BF-AP-SET-001-1-AP,RB004,1,DOC-SET-202103-REF-BF-AP-SET-001-1-AP,SETTLEMENT,200000,explicit control-account line
JDL-202103-REF-BF-AR-002-1-AR,RB005,1,DOC-INV-202103-REF-BF-AR-002-1-AR,INVOICE,1000000,explicit control-account line
JDL-202103-REF-BF-AP-002-2-AP,RB006,2,DOC-INV-202103-REF-BF-AP-002-2-AP,INVOICE,2423720,explicit control-account line
JDL-202104-900050-2-AR,1,2,DOC-INV-202104-900050-2-AR,INVOICE,427020,explicit control-account line
JDL-202104-900001-2-AR,2,2,DOC-INV-202104-900001-2-AR,INVOICE,355310,explicit control-account line
JDL-202104-900012-2-AR,3,2,DOC-INV-202104-900012-2-AR,INVOICE,555650,explicit control-account line
JDL-202104-900017-2-AP,4,2,DOC-SET-202104-900017-2-AP,SETTLEMENT,336970,explicit control-account line
JDL-202104-900006-1-AP,5,1,DOC-INV-202104-900006-1-AP,INVOICE,367850,explicit control-account line
JDL-202104-900010-2-AR,6,2,DOC-INV-202104-900010-2-AR,INVOICE,228470,explicit control-account line
JDL-202104-900027-2-AP,8,2,DOC-SET-202104-900027-2-AP,SETTLEMENT,110390,explicit control-account line
JDL-202104-900056-1-AP,10,1,DOC-INV-202104-900056-1-AP,INVOICE,222250,explicit control-account line
JDL-202104-900045-1-AP,9,1,DOC-INV-202104-900045-1-AP,INVOICE,95580,explicit control-account line
JDL-202104-900020-2-AR,11,2,DOC-INV-202104-900020-2-AR,INVOICE,65230,explicit control-account line
JDL-202104-900028-2-AR,12,2,DOC-INV-202104-900028-2-AR,INVOICE,290830,explicit control-account line
JDL-202104-900004-1-AR,14,1,DOC-SET-202104-900004-1-AR,SETTLEMENT,200680,explicit control-account line
JDL-202104-900035-1-AP,15,1,DOC-INV-202104-900035-1-AP,INVOICE,181350,explicit control-account line
JDL-202104-900003-1-AP,16,1,DOC-SET-202104-900003-1-AP,SETTLEMENT,298830,explicit control-account line
JDL-202104-900060-2-AR,18,2,DOC-INV-202104-900060-2-AR,INVOICE,227480,explicit control-account line
JDL-202104-900026-1-AP,19,1,DOC-INV-202104-900026-1-AP,INVOICE,78360,explicit control-account line
JDL-202104-900044-1-AR,20,1,DOC-SET-202104-900044-1-AR,SETTLEMENT,489180,explicit control-account line
JDL-202104-900031-2-AR,21,2,DOC-INV-202104-900031-2-AR,INVOICE,372520,explicit control-account line
JDL-202104-900033-1-AR,22,1,DOC-SET-202104-900033-1-AR,SETTLEMENT,341050,explicit control-account line
JDL-202104-900049-1-AP,24,1,DOC-SET-202104-900049-1-AP,SETTLEMENT,146320,explicit control-account line
JDL-202104-900014-1-AR,25,1,DOC-SET-202104-900014-1-AR,SETTLEMENT,270050,explicit control-account line
JDL-202104-900034-2-AR,26,2,DOC-INV-202104-900034-2-AR,INVOICE,280970,explicit control-account line
JDL-202104-900046-1-AR,27,1,DOC-SET-202104-900046-1-AR,SETTLEMENT,254860,explicit control-account line
JDL-202104-900046-3-AR,27,3,DOC-SET-202104-900046-3-AR,SETTLEMENT,33980,explicit control-account line
JDL-202104-900046-4-AR,27,4,DOC-SET-202104-900046-4-AR,SETTLEMENT,135930,explicit control-account line
JDL-202104-900007-2-AP,29,2,DOC-SET-202104-900007-2-AP,SETTLEMENT,106280,explicit control-account line
JDL-202104-900051-2-AR,30,2,DOC-INV-202104-900051-2-AR,INVOICE,496230,explicit control-account line
JDL-202104-900023-1-AR,32,1,DOC-SET-202104-900023-1-AR,SETTLEMENT,323360,explicit control-account line
JDL-202104-900032-2-AR,34,2,DOC-INV-202104-900032-2-AR,INVOICE,104340,explicit control-account line
JDL-202104-900036-1-AP,35,1,DOC-INV-202104-900036-1-AP,INVOICE,68760,explicit control-account line
JDL-202104-900055-1-AP,36,1,DOC-SET-202104-900055-1-AP,SETTLEMENT,87280,explicit control-account line
JDL-202104-900015-1-AP,38,1,DOC-SET-202104-900015-1-AP,SETTLEMENT,479460,explicit control-account line
JDL-202104-900016-1-AP,41,1,DOC-INV-202104-900016-1-AP,INVOICE,241670,explicit control-account line
JDL-202104-900021-1-AP,42,1,DOC-SET-202104-900021-1-AP,SETTLEMENT,189620,explicit control-account line
JDL-202104-900025-1-AP,43,1,DOC-INV-202104-900025-1-AP,INVOICE,187410,explicit control-account line
JDL-202104-900040-2-AR,44,2,DOC-INV-202104-900040-2-AR,INVOICE,164790,explicit control-account line
JDL-202104-900002-2-AR,45,2,DOC-INV-202104-900002-2-AR,INVOICE,152170,explicit control-account line
JDL-202104-900041-2-AR,46,2,DOC-INV-202104-900041-2-AR,INVOICE,97700,explicit control-account line
JDL-202104-900009-1-AP,48,1,DOC-SET-202104-900009-1-AP,SETTLEMENT,206960,explicit control-account line
JDL-202104-900042-2-AR,51,2,DOC-INV-202104-900042-2-AR,INVOICE,70700,explicit control-account line
JDL-202104-900057-2-AP,52,2,DOC-SET-202104-900057-2-AP,SETTLEMENT,122790,explicit control-account line
JDL-202104-900022-2-AR,54,2,DOC-INV-202104-900022-2-AR,INVOICE,545850,explicit control-account line
JDL-202104-900061-1-AP,55,1,DOC-SET-202104-900061-1-AP,SETTLEMENT,174850,explicit control-account line
JDL-202104-900053-1-AR,56,1,DOC-SET-202104-900053-1-AR,SETTLEMENT,326610,explicit control-account line
JDL-202104-900013-1-AR,57,1,DOC-SET-202104-900013-1-AR,SETTLEMENT,151030,explicit control-account line
JDL-202104-900047-2-AP,59,2,DOC-SET-202104-900047-2-AP,SETTLEMENT,338130,explicit control-account line
JDL-202104-900054-1-AR,61,1,DOC-SET-202104-900054-1-AR,SETTLEMENT,163850,explicit control-account line
JDL-202104-900062-2-AR,62,2,DOC-INV-202104-900062-2-AR,INVOICE,525670,explicit control-account line
JDL-202105-900121-2-AR,2,2,DOC-INV-202105-900121-2-AR,INVOICE,440700,explicit control-account line
JDL-202105-900086-2-AR,6,2,DOC-INV-202105-900086-2-AR,INVOICE,535390,explicit control-account line
JDL-202105-900101-2-AR,9,2,DOC-INV-202105-900101-2-AR,INVOICE,266140,explicit control-account line
JDL-202105-900094-1-AR,10,1,DOC-SET-202105-900094-1-AR,SETTLEMENT,467140,explicit control-account line
JDL-202105-900091-2-AR,11,2,DOC-INV-202105-900091-2-AR,INVOICE,124120,explicit control-account line
JDL-202105-900095-1-AP,12,1,DOC-INV-202105-900095-1-AP,INVOICE,350590,explicit control-account line
JDL-202105-900100-2-AR,13,2,DOC-INV-202105-900100-2-AR,INVOICE,536790,explicit control-account line
JDL-202105-900092-2-AR,14,2,DOC-INV-202105-900092-2-AR,INVOICE,569760,explicit control-account line
JDL-202105-900111-2-AR,15,2,DOC-INV-202105-900111-2-AR,INVOICE,311690,explicit control-account line
JDL-202105-900066-1-AP,16,1,DOC-INV-202105-900066-1-AP,INVOICE,51360,explicit control-account line
JDL-202105-900068-2-AR,17,2,DOC-INV-202105-900068-2-AR,INVOICE,91250,explicit control-account line
JDL-202105-900075-1-AP,18,1,DOC-INV-202105-900075-1-AP,INVOICE,379290,explicit control-account line
