JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03,Data_Scope,Document_ID,Document_Type,Document_Number,Related_Document_ID,Related_Document_Type,Related_Document_Number,Settlement_Scheduled_Month
487,,,,,,94,2021-06-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,1.0,,,,,,,,,,Tea Cost,10E201270,Miscellaneous expenses,,,,3150,286,S10,Standard 10%,10A100020,Cash and deposits,,,,3150,0,O,Exempt,,,,,,,,,,,,,,
487,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,,,,,,,,,
487,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
488,,,,,,106,2021-06-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,1.0,,,,,,,,,,Meal Cost Yamabiko 4 People,10E200150,Entertainment expenses,,,,7267,660,S10,Standard 10%,10A100020,Cash and deposits,,,,27896,0,O,Exempt,,,,,,,,,,,,,,
488,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,,,,,,,,,
488,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
488,2.0,,,,,,,,,,Food and drink fee Snack Kitashinchi,10E200150,Entertainment expenses,,,,20629,1875,S10,Standard 10%,,,,,,,,,,,,,,,,,,,,,,,
488,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,,,,,,,,,
489,,,,,,147,2021-06-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,5416,492,S10,Standard 10%,10B100630,Accounts payable - other,,,,5988,0,O,Exempt,,,,,,,,,,,,,,
489,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,,,,,,,,,
489,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
489,2.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,572,52,S10,Standard 10%,,,,,,,,,,,,,,,,,,,,,,,
489,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,,,,,,,,,
490,,,,,,10,2021-06-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,4224,384,S10,Standard 10%,10A100020,Cash and deposits,,,,4224,0,O,Exempt,,,,,,,,,,,,,,
490,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
490,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
491,,,,,,18,2021-06-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,21700,1972,S10,Standard 10%,10A100020,Cash and deposits,,,,21700,0,O,Exempt,,,,,,,,,,,,,,
491,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
491,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
492,,,,,,42,2021-06-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,1.0,,,,,,,,,,Lunch Cost Cafe Angel 3 People,10E200150,Entertainment expenses,,,,3420,310,S10,Standard 10%,10A100020,Cash and deposits,,,,3420,0,O,Exempt,,,,,,,,,,,,,,
492,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,,,,,,,,,
492,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
493,,,,,,56,2021-06-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,32600,2963,S10,Standard 10%,10A100020,Cash and deposits,,,,32600,0,O,Exempt,,,,,,,,,,,,,,
493,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,,,,,,,,,
493,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
494,,,,,,77,2021-06-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,1.0,,,,,,,,,,Golf Play Fee,10E200150,Entertainment expenses,,,,6800,618,S10,Standard 10%,10A100020,Cash and deposits,,,,6800,0,O,Exempt,,,,,,,,,,,,,,
494,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
494,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
495,,,,,,19,2021-06-04,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,15000,1363,S10,Standard 10%,10A100020,Cash and deposits,,,,15000,0,O,Exempt,,,,,,,,,,,,,,
495,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
495,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
496,,,,,,161,2021-06-04,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,7500,681,S10,Standard 10%,10A100020,Cash and deposits,,,,7500,0,O,Exempt,,,,,,,,,,,,,,
496,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,,,,,,,,,
496,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
497,,,,,,94,2021-06-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,1.0,,,,,,,,,,"June 5th Slip No. 230 Watanabe Industries Co., Ltd.",10A100020,Cash and deposits,,,,1041464,0,O,Exempt,10A100090,Accounts receivable - trade,,,,1041464,0,O,Exempt,,,,,,,reporting,DOC-20210605-0001,Receipt,,DOC-20210430-0029,Sales invoice,,
497,1.0,,1.0,,,,,,,,,,,50,Fukuoka Kitakyushu,sub-account,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,1.0,,,,1.0,,,,,,,,,,,,,,,,,,22,"Watanabe Industries Co., Ltd.",sub-account,,,,,,,,,,,,,,,,,,
497,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,,,,
497,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
497,2.0,,,,,,,,,,"June 5th Slip No. 230 Watanabe Industries Co., Ltd.",10E200690,Commission expenses,,,,0,42,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,0,0,O,Exempt,,,,,,,reporting,,Receipt,,,,,
497,2.0,,,,1.0,,,,,,,,,,,,,,,,,,22,"Watanabe Industries Co., Ltd.",sub-account,,,,,,,,,,,,,,,,,,
497,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,,,,,,,,,
497,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
498,,,,,,95,2021-06-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,1.0,,,,,,,,,,"June 5th Slip No. 231 Sasaki Sales Co., Ltd.",10A100020,Cash and deposits,,,,976504,0,O,Exempt,10A100090,Accounts receivable - trade,,,,976504,0,O,Exempt,,,,,,,reporting,DOC-20210605-0002,Receipt,,DOC-20210430-0009,Sales invoice,,
498,1.0,,1.0,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,1.0,,,,1.0,,,,,,,,,,,,,,,,,,26,"Sasaki Sales Co., Ltd.",sub-account,,,,,,,,,,,,,,,,,,
498,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,,,,
498,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
498,2.0,,,,,,,,,,"June 5th Slip No. 231 Sasaki Sales Co., Ltd.",10E200690,Commission expenses,,,,0,42,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,0,0,O,Exempt,,,,,,,reporting,,Receipt,,,,,
498,2.0,,,,1.0,,,,,,,,,,,,,,,,,,26,"Sasaki Sales Co., Ltd.",sub-account,,,,,,,,,,,,,,,,,,
498,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,,,,,,,,,
498,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
499,,,,,,96,2021-06-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1.0,,,,,,,,,,"June 5th Slip No. 232 Iwashita Trading Co., Ltd.",10A100020,Cash and deposits,,,,883909,0,O,Exempt,10A100090,Accounts receivable - trade,,,,883909,0,O,Exempt,,,,,,,reporting,DOC-20210605-0003,Receipt,,DOC-20210430-0018,Sales invoice,,
499,1.0,,1.0,,,,,,,,,,,30,Mitsui Nagoya,sub-account,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1.0,,,,1.0,,,,,,,,,,,,,,,,,,27,"Iwashita Trading Co., Ltd.",sub-account,,,,,,,,,,,,,,,,,,
499,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,,,,
499,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
500,,,,,,133,2021-06-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1.0,,,,,,,,,,Tax Accountant Fee,10E200600,Fee expenses,,,,139710,12700,S10,Standard 10%,10A100020,Cash and deposits,,,,139710,0,O,Exempt,,,,,,,,,,,,,,
500,1.0,,,,1.0,,,,,,,,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,,,,,,,,,
500,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,,,,,,,,,
500,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
501,,,,,,20,2021-06-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,1.0,,,,,,,,,,Airline Ticket Cost,10E201230,Travel and transportation expenses,,,,41000,3727,S10,Standard 10%,10A100020,Cash and deposits,,,,41000,0,O,Exempt,,,,,,,,,,,,,,
501,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
501,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
502,,,,,,84,2021-06-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,1.0,,,,,,,,,,Postage Cost,10E200180,Communication expenses,,,,4000,363,S10,Standard 10%,10A100020,Cash and deposits,,,,4000,0,O,Exempt,,,,,,,,,,,,,,
502,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,,,,,,,,,
502,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
503,,,,,,110,2021-06-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,1.0,,,,,,,,,,Taxi Fare,10E201230,Travel and transportation expenses,,,,2290,208,S10,Standard 10%,10A100020,Cash and deposits,,,,2290,0,O,Exempt,,,,,,,,,,,,,,
503,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,,,,,,,,,
503,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
504,,,,,,122,2021-06-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,1.0,,,,,,,,,,Certificate issuance fee,10E200180,Communication expenses,,,,1050,95,S10,Standard 10%,10A100020,Cash and deposits,,,,1050,0,O,Exempt,,,,,,,,,,,,,,
504,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,,,,,,,,,
504,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
505,,,,,,142,2021-06-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,6267,569,S10,Standard 10%,10A100020,Cash and deposits,,,,9459,0,O,Exempt,,,,,,,,,,,,,,
505,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,,,,,,,,,
505,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
505,2.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,1572,142,S10,Standard 10%,,,,,,,,,,,,,,,,,,,,,,,
505,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,,,,,,,,,
505,3.0,,,,,,,,,,Parking Fee,10E201120,Vehicle expenses,,,,620,56,S10,Standard 10%,,,,,,,,,,,,,,,,,,,,,,,
505,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,,,,,,,,,
505,4.0,,,,,,,,,,Car wash,10E201120,Vehicle expenses,,,,1000,90,S10,Standard 10%,,,,,,,,,,,,,,,,,,,,,,,
505,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,,,,,,,,,
506,,,,,,22,2021-06-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,50000,4545,S10,Standard 10%,10A100020,Cash and deposits,,,,50000,0,O,Exempt,,,,,,,,,,,,,,
506,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
506,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
507,,,,,,58,2021-06-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,70000,6363,S10,Standard 10%,10A100020,Cash and deposits,,,,70000,0,O,Exempt,,,,,,,,,,,,,,
507,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,,,,,,,,,
507,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
508,,,,,,69,2021-06-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,1.0,,,,,,,,,,Battery Cost,10E201270,Miscellaneous expenses,,,,1332,121,S10,Standard 10%,10A100020,Cash and deposits,,,,3090,0,O,Exempt,,,,,,,,,,,,,,
508,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,,,,,,,,,
508,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
508,2.0,,,,,,,,,,"Detergent, etc.",10E201270,Miscellaneous expenses,,,,1758,159,S10,Standard 10%,,,,,,,,,,,,,,,,,,,,,,,
