entry_key,source_row,occurrence,sequence,level,type,name,semantic_path,concept_namespace,binding_path,unit,value,month,voucher
"[""20211101"",""900414""]",,"[""20211101"",""900414""]",1,2,header,entryDatePosted,cor:entryDatePosted,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",,2021-11-01,2021-11,900414
"[""20211101"",""900414""]",,"[""20211101"",""900414""]",2,2,header,entryId,cor:entryId,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",,900414,2021-11,900414
"[""20211101"",""900414""]",740,740-D,3,3,detail,amountOfTaxes,cor:amountOfTaxes,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailTax"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",iso4217:JPY,0,2021-11,900414
"[""20211101"",""900414""]",740,740-D,4,3,detail,taxCategory,cor:taxCategory,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailTax"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",,00,2021-11,900414
"[""20211101"",""900414""]",740,740-D,5,3,detail,accountNumber,cor:accountNumber,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",,1100,2021-11,900414
"[""20211101"",""900414""]",740,740-D,6,3,detail,accountDescription,cor:accountDescription,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",,Demo Central Ordinary Deposit,2021-11,900414
"[""20211101"",""900414""]",740,740-D,7,3,detail,subaccountDescription,cor:subaccountDescription,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]"",""d_cor_subaccount"":""department""}",,Demo Sales,2021-11,900414
"[""20211101"",""900414""]",740,740-D,8,3,detail,subaccountDescription,cor:subaccountDescription,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]"",""d_cor_subaccount"":""auxiliary-account""}",,Demo Central Bank,2021-11,900414
"[""20211101"",""900414""]",740,740-D,9,3,detail,subaccountId,cor:subaccountId,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]"",""d_cor_subaccount"":""department""}",,D01,2021-11,900414
"[""20211101"",""900414""]",740,740-D,10,3,detail,subaccountId,cor:subaccountId,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]"",""d_cor_subaccount"":""auxiliary-account""}",,B001,2021-11,900414
"[""20211101"",""900414""]",740,740-D,11,3,detail,type,cor:type,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]"",""d_cor_subaccount"":""department""}",,department,2021-11,900414
"[""20211101"",""900414""]",740,740-D,12,3,detail,type,cor:type,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]"",""d_cor_subaccount"":""auxiliary-account""}",,auxiliary-account,2021-11,900414
"[""20211101"",""900414""]",740,740-D,13,3,detail,detailDescription,cor:detailDescription,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",,Synthetic demo customer receipt 900414,2021-11,900414
"[""20211101"",""900414""]",740,740-D,14,3,detail,monetaryAmount,cor:monetaryAmount,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",iso4217:JPY,70310,2021-11,900414
"[""20211101"",""900414""]",740,740-D,15,3,detail,debitCreditIndicator,cor:debitCreditIndicator,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""740-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",,D,2021-11,900414
"[""20211101"",""900414""]",740,740-C,16,3,detail,amountOfTaxes,cor:amountOfTaxes,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailTax"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",iso4217:JPY,0,2021-11,900414
"[""20211101"",""900414""]",740,740-C,17,3,detail,taxCategory,cor:taxCategory,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailTax"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",,00,2021-11,900414
"[""20211101"",""900414""]",740,740-C,18,3,detail,accountNumber,cor:accountNumber,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",,1200,2021-11,900414
"[""20211101"",""900414""]",740,740-C,19,3,detail,accountDescription,cor:accountDescription,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",,Demo Accounts Receivable,2021-11,900414
"[""20211101"",""900414""]",740,740-C,20,3,detail,subaccountDescription,cor:subaccountDescription,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]"",""d_cor_subaccount"":""department""}",,Demo Sales,2021-11,900414
"[""20211101"",""900414""]",740,740-C,21,3,detail,subaccountDescription,cor:subaccountDescription,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]"",""d_cor_subaccount"":""auxiliary-account""}",,Demo Customer Cobalt,2021-11,900414
"[""20211101"",""900414""]",740,740-C,22,3,detail,subaccountId,cor:subaccountId,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]"",""d_cor_subaccount"":""department""}",,D01,2021-11,900414
"[""20211101"",""900414""]",740,740-C,23,3,detail,subaccountId,cor:subaccountId,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]"",""d_cor_subaccount"":""auxiliary-account""}",,C003,2021-11,900414
"[""20211101"",""900414""]",740,740-C,24,3,detail,type,cor:type,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]"",""d_cor_subaccount"":""department""}",,department,2021-11,900414
"[""20211101"",""900414""]",740,740-C,25,3,detail,type,cor:type,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailAccountIdentifier"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]"",""d_cor_subaccount"":""auxiliary-account""}",,auxiliary-account,2021-11,900414
"[""20211101"",""900414""]",740,740-C,26,3,detail,detailDescription,cor:detailDescription,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",,Synthetic demo customer receipt 900414,2021-11,900414
"[""20211101"",""900414""]",740,740-C,27,3,detail,monetaryAmount,cor:monetaryAmount,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",iso4217:JPY,70310,2021-11,900414
"[""20211101"",""900414""]",740,740-C,28,3,detail,debitCreditIndicator,cor:debitCreditIndicator,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""740-C"",""d_cor_entryHeader"":""[\""20211101\"",\""900414\""]""}",,C,2021-11,900414
"[""20211101"",""900425""]",,"[""20211101"",""900425""]",29,2,header,entryDatePosted,cor:entryDatePosted,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_entryHeader"":""[\""20211101\"",\""900425\""]""}",,2021-11-01,2021-11,900425
"[""20211101"",""900425""]",,"[""20211101"",""900425""]",30,2,header,entryId,cor:entryId,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_entryHeader"":""[\""20211101\"",\""900425\""]""}",,900425,2021-11,900425
"[""20211101"",""900425""]",741,741-D,31,3,detail,amountOfTaxes,cor:amountOfTaxes,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailTax"":""1"",""d_cor_entryDetail"":""741-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900425\""]""}",iso4217:JPY,28105,2021-11,900425
"[""20211101"",""900425""]",741,741-D,32,3,detail,taxCategory,cor:taxCategory,https://www.xbrl.or.jp/taxonomy/xbrl-gl-next/experimental/cor/2026-12-31,"{""d_cor_accountingEntries"":""1"",""d_cor_detailTax"":""1"",""d_cor_entryDetail"":""741-D"",""d_cor_entryHeader"":""[\""20211101\"",\""900425\""]""}",,Q5,2021-11,900425
