JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03
2589,,,,,,66,2022-03-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2589,1.0,,,,,,,,,,Tissue and other,10E201270,Miscellaneous expenses,,,,4298.0,390.0,S10,Standard 10%,10A100020,Cash and deposits,,,,4298.0,0.0,O,Exempt,,,,,,
2589,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2589,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2590,,,,,,164,2022-03-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2590,1.0,,,,,,,,,,Office Supplies,10E201110,Office supplies expenses,,,,7350.0,668.0,S10,Standard 10%,10A100020,Cash and deposits,,,,7350.0,0.0,O,Exempt,,,,,,
2590,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
2590,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2591,,,,,,19,2022-03-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2591,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,38400.0,3490.0,S10,Standard 10%,10A100020,Cash and deposits,,,,38400.0,0.0,O,Exempt,,,,,,
2591,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2591,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2592,,,,,,41,2022-03-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2592,1.0,,,,,,,,,,Wedding fee,10E200150,Entertainment expenses,,,,14286.0,1298.0,S10,Standard 10%,10A100020,Cash and deposits,,,,23810.0,0.0,O,Exempt,,,,,,
2592,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2592,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2592,2.0,,,,,,,,,,Congratulatory money,10E200150,Entertainment expenses,,,,9524.0,865.0,S10,Standard 10%,,,,,,,,,,,,,,,
2592,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2593,,,,,,56,2022-03-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
