Ledger_Account_Number,Level,Type,Ledger_Account_Number,Parent,Category,eTax_Category,eTax_Account_Name,Beginning_Balance,Total_Debit,Total_Credit,Ending_Balance,seq
10A100020,1,A,10A100020,BS,資産,流動資産,普通預金,97003047,1272106342,1266473248,102636141,1
10A100040,1,A,10A100040,BS,資産,流動資産,貸倒引当金,1758018,0,0,1758018,2
10A100060,1,A,10A100060,BS,資産,流動資産,受取手形,59534189,410622583,377728504,92428268,3
10A100090,1,A,10A100090,BS,資産,流動資産,売掛金,98170353,852595939,876320012,74446280,4
10A100200,1,A,10A100200,BS,資産,流動資産,電子記録債権,0,40000,0,40000,5
10A100230,1,A,10A100230,BS,資産,流動資産,有価証券,1271350,0,0,1271350,6
10A100280,1,A,10A100280,BS,資産,流動資産,商品,63013226,63025546,63013226,63025546,7
10A100610,1,A,10A100610,BS,資産,流動資産,短期貸付金,480000,600000,680000,400000,8
10A100800,1,A,10A100800,BS,資産,流動資産,差入保証金,1200000,0,0,1200000,9
10A100850,1,A,10A100850,BS,資産,流動資産,仮払消費税等,2762581,0,0,2762581,10
10A210130,1,A,10A210130,BS,資産,有形固定資産,構築物,3280000,0,164000,3116000,11
10A210410,1,A,10A210410,BS,資産,有形固定資産,工具、器具及び備品,4779810,0,955962,3823848,12
10A220190,1,A,10A220190,BS,資産,無形固定資産,電話加入権,512000,0,0,512000,13
10A230570,1,A,10A230570,BS,資産,投資その他の資産,保険積立金,1528000,1500000,0,3028000,14
10A230650,1,A,10A230650,BS,資産,投資その他の資産,敷金,3140000,0,0,3140000,15
10B100030,1,A,10B100030,BS,負債,流動負債,支払手形,52251735,167107676,178292810,63436869,16
10B100040,1,A,10B100040,BS,負債,流動負債,買掛金,64051101,520507266,513384447,56928282,17
10B100320,1,A,10B100320,BS,負債,流動負債,賞与引当金,2021000,11082000,11082000,2021000,18
10B100630,1,A,10B100630,BS,負債,流動負債,未払金,7584692,95513260,96837971,8909403,19
10B100640,1,A,10B100640,BS,負債,流動負債,未払法人税等,2864378,2864378,5004173,5004173,20
10B100660,1,A,10B100660,BS,負債,流動負債,未払消費税等,4947100,4947100,13556343,13556343,21
10B100670,1,A,10B100670,BS,負債,流動負債,未払事業税等,1862000,1862000,0,0,22
10B100690,1,A,10B100690,BS,負債,流動負債,預り金,2309575,20863291,24910282,6356566,23
10B100790,1,A,10B100790,BS,負債,流動負債,短期借入金,7842000,7842000,0,0,24
10B100890,1,A,10B100890,BS,負債,流動負債,仮受消費税等,6540636,0,0,6540636,25
10B200080,1,A,10B200080,BS,負債,固定負債,長期借入金,37343150,7000000,0,30343150,26
10B200120,1,A,10B200120,BS,負債,固定負債,退職給付引当金,18560000,0,0,18560000,27
10B200130,1,A,10B200130,BS,負債,固定負債,役員退職慰労引当金,22000000,0,0,22000000,28
10C110010,1,A,10C110010,BS,純資産,資本金,資本金,10000000,0,0,10000000,29
10C120020,1,A,10C120020,BS,純資産,資本剰余金,資本準備金,0,0,0,0,30
10C130020,1,A,10C130020,BS,純資産,利益剰余金,利益準備金,7200000,0,0,7200000,31
10C130360,1,A,10C130360,BS,純資産,利益剰余金,別途積立金,4830000,0,0,4830000,32
10C130370,1,A,10C130370,BS,純資産,利益剰余金,繰越利益剰余金,82709171,0,0,82709171,33
