JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02
4002,1,2021-03,2021-03-28,904002,売上請求書,10A100090,売掛金,4442938,00,対象外,0,1,五越株式会社,,,10D100102,電子取引以外売上高,4442938,00,対象外,0,,,,
4003,1,2021-03,2021-03-28,904003,売上請求書,10A100090,売掛金,1985,00,対象外,0,1,五越株式会社,,,10D100102,電子取引以外売上高,1985,00,対象外,0,,,,
4004,1,2021-03,2021-03-28,904004,売上請求書,10A100090,売掛金,58972,00,対象外,0,1,五越株式会社,,,10D100102,電子取引以外売上高,58972,00,対象外,0,,,,
4006,1,2021-03,2021-03-28,904006,売上請求書,10A100090,売掛金,9248822,00,対象外,0,2,今井百貨店,,,10D100102,電子取引以外売上高,9248822,00,対象外,0,,,,
4007,1,2021-03,2021-03-28,904007,売上請求書,10A100090,売掛金,17519,00,対象外,0,2,今井百貨店,,,10D100102,電子取引以外売上高,17519,00,対象外,0,,,,
4009,1,2021-03,2021-03-28,904009,売上請求書,10A100090,売掛金,1585978,00,対象外,0,3,株式会社チェック,,,10D100102,電子取引以外売上高,1585978,00,対象外,0,,,,
4012,1,2021-03,2021-03-28,904012,売上請求書,10A100090,売掛金,975963,00,対象外,0,4,マークマーケット,,,10D100102,電子取引以外売上高,975963,00,対象外,0,,,,
4013,1,2021-03,2021-03-28,904013,売上請求書,10A100090,売掛金,651,00,対象外,0,4,マークマーケット,,,10D100102,電子取引以外売上高,651,00,対象外,0,,,,
4016,1,2021-03,2021-03-28,904016,売上請求書,10A100090,売掛金,30487,00,対象外,0,5,株式会社ＡＢＣ,,,10D100102,電子取引以外売上高,30487,00,対象外,0,,,,
4017,1,2021-03,2021-03-28,904017,売上請求書,10A100090,売掛金,1204807,00,対象外,0,5,株式会社ＡＢＣ,,,10D100102,電子取引以外売上高,1204807,00,対象外,0,,,,
4018,1,2021-03,2021-03-28,904018,売上請求書,10A100090,売掛金,628,00,対象外,0,5,株式会社ＡＢＣ,,,10D100102,電子取引以外売上高,628,00,対象外,0,,,,
4022,1,2021-03,2021-03-28,904022,売上請求書,10A100090,売掛金,1803863,00,対象外,0,6,株式会社エントリー,,,10D100102,電子取引以外売上高,1803863,00,対象外,0,,,,
4023,1,2021-03,2021-03-28,904023,売上請求書,10A100090,売掛金,675,00,対象外,0,6,株式会社エントリー,,,10D100102,電子取引以外売上高,675,00,対象外,0,,,,
4026,1,2021-03,2021-03-28,904026,売上請求書,10A100090,売掛金,917979,00,対象外,0,7,株式会社総合経営,,,10D100102,電子取引以外売上高,917979,00,対象外,0,,,,
4027,1,2021-03,2021-03-28,904027,売上請求書,10A100090,売掛金,516,00,対象外,0,7,株式会社総合経営,,,10D100102,電子取引以外売上高,516,00,対象外,0,,,,
4028,1,2021-03,2021-03-28,904028,売上請求書,10A100090,売掛金,52097,00,対象外,0,7,株式会社総合経営,,,10D100102,電子取引以外売上高,52097,00,対象外,0,,,,
4031,1,2021-03,2021-03-28,904031,売上請求書,10A100090,売掛金,964992,00,対象外,0,9,高橋物産株式会社,,,10D100102,電子取引以外売上高,964992,00,対象外,0,,,,
4032,1,2021-03,2021-03-28,904032,売上請求書,10A100090,売掛金,642,00,対象外,0,9,高橋物産株式会社,,,10D100102,電子取引以外売上高,642,00,対象外,0,,,,
4033,1,2021-03,2021-03-28,904033,売上請求書,10A100090,売掛金,79746,00,対象外,0,10,合同会社エイム商事,,,10D100102,電子取引以外売上高,79746,00,対象外,0,,,,
4034,1,2021-03,2021-03-28,904034,売上請求書,10A100090,売掛金,7692848,00,対象外,0,11,株式会社斉藤,,,10D100102,電子取引以外売上高,7692848,00,対象外,0,,,,
4035,1,2021-03,2021-03-28,904035,売上請求書,10A100090,売掛金,457392,00,対象外,0,11,株式会社斉藤,,,10D100102,電子取引以外売上高,457392,00,対象外,0,,,,
4038,1,2021-03,2021-03-28,904038,売上請求書,10A100090,売掛金,46053,00,対象外,0,12,もみじデパート,,,10D100102,電子取引以外売上高,46053,00,対象外,0,,,,
4039,1,2021-03,2021-03-28,904039,売上請求書,10A100090,売掛金,9013134,00,対象外,0,12,もみじデパート,,,10D100102,電子取引以外売上高,9013134,00,対象外,0,,,,
4042,1,2021-03,2021-03-28,904042,売上請求書,10A100090,売掛金,1416402,00,対象外,0,13,阿部商事株式会社,,,10D100102,電子取引以外売上高,1416402,00,対象外,0,,,,
4045,1,2021-03,2021-03-28,904045,売上請求書,10A100090,売掛金,10891695,00,対象外,0,14,株式会社藤田,,,10D100102,電子取引以外売上高,10891695,00,対象外,0,,,,
4046,1,2021-03,2021-03-28,904046,売上請求書,10A100090,売掛金,633,00,対象外,0,14,株式会社藤田,,,10D100102,電子取引以外売上高,633,00,対象外,0,,,,
4047,1,2021-03,2021-03-28,904047,売上請求書,10A100090,売掛金,23708,00,対象外,0,14,株式会社藤田,,,10D100102,電子取引以外売上高,23708,00,対象外,0,,,,
4048,1,2021-03,2021-03-28,904048,売上請求書,10A100090,売掛金,26544,00,対象外,0,14,株式会社藤田,,,10D100102,電子取引以外売上高,26544,00,対象外,0,,,,
4051,1,2021-03,2021-03-28,904051,売上請求書,10A100090,売掛金,1420826,00,対象外,0,19,株式会社ミナミ,,,10D100102,電子取引以外売上高,1420826,00,対象外,0,,,,
4052,1,2021-03,2021-03-28,904052,売上請求書,10A100090,売掛金,556,00,対象外,0,19,株式会社ミナミ,,,10D100102,電子取引以外売上高,556,00,対象外,0,,,,
4055,1,2021-03,2021-03-28,904055,売上請求書,10A100090,売掛金,1237604,00,対象外,0,20,株式会社久城商事,,,10D100102,電子取引以外売上高,1237604,00,対象外,0,,,,
4056,1,2021-03,2021-03-28,904056,売上請求書,10A100090,売掛金,246,00,対象外,0,20,株式会社久城商事,,,10D100102,電子取引以外売上高,246,00,対象外,0,,,,
4057,1,2021-03,2021-03-28,904057,売上請求書,10A100090,売掛金,16860,00,対象外,0,20,株式会社久城商事,,,10D100102,電子取引以外売上高,16860,00,対象外,0,,,,
4058,1,2021-03,2021-03-28,904058,売上請求書,10A100090,売掛金,3431500,00,対象外,0,21,合同会社たかだ,,,10D100102,電子取引以外売上高,3431500,00,対象外,0,,,,
4059,1,2021-03,2021-03-28,904059,売上請求書,10A100090,売掛金,3910,00,対象外,0,21,合同会社たかだ,,,10D100102,電子取引以外売上高,3910,00,対象外,0,,,,
4062,1,2021-03,2021-03-28,904062,売上請求書,10A100090,売掛金,879279,00,対象外,0,22,株式会社渡辺産業,,,10D100102,電子取引以外売上高,879279,00,対象外,0,,,,
4063,1,2021-03,2021-03-28,904063,売上請求書,10A100090,売掛金,380,00,対象外,0,22,株式会社渡辺産業,,,10D100102,電子取引以外売上高,380,00,対象外,0,,,,
4064,1,2021-03,2021-03-28,904064,売上請求書,10A100090,売掛金,45710,00,対象外,0,24,株式会社畠山商事,,,10D100102,電子取引以外売上高,45710,00,対象外,0,,,,
4065,1,2021-03,2021-03-28,904065,売上請求書,10A100090,売掛金,64,00,対象外,0,24,株式会社畠山商事,,,10D100102,電子取引以外売上高,64,00,対象外,0,,,,
4068,1,2021-03,2021-03-28,904068,売上請求書,10A100090,売掛金,2701441,00,対象外,0,25,株式会社小林マーケット,,,10D100102,電子取引以外売上高,2701441,00,対象外,0,,,,
4069,1,2021-03,2021-03-28,904069,売上請求書,10A100090,売掛金,590,00,対象外,0,25,株式会社小林マーケット,,,10D100102,電子取引以外売上高,590,00,対象外,0,,,,
4070,1,2021-03,2021-03-28,904070,売上請求書,10A100090,売掛金,71597,00,対象外,0,25,株式会社小林マーケット,,,10D100102,電子取引以外売上高,71597,00,対象外,0,,,,
4073,1,2021-03,2021-03-28,904073,売上請求書,10A100090,売掛金,2111325,00,対象外,0,26,佐々木販売株式会社,,,10D100102,電子取引以外売上高,2111325,00,対象外,0,,,,
4074,1,2021-03,2021-03-28,904074,売上請求書,10A100090,売掛金,504,00,対象外,0,26,佐々木販売株式会社,,,10D100102,電子取引以外売上高,504,00,対象外,0,,,,
4075,1,2021-03,2021-03-28,904075,売上請求書,10A100090,売掛金,26104,00,対象外,0,26,佐々木販売株式会社,,,10D100102,電子取引以外売上高,26104,00,対象外,0,,,,
4078,1,2021-03,2021-03-28,904078,売上請求書,10A100090,売掛金,888509,00,対象外,0,27,岩下物産株式会社,,,10D100102,電子取引以外売上高,888509,00,対象外,0,,,,
4081,1,2021-03,2021-03-28,904081,売上請求書,10A100090,売掛金,6856797,00,対象外,0,28,かめだデパート,,,10D100102,電子取引以外売上高,6856797,00,対象外,0,,,,
4082,1,2021-03,2021-03-28,904082,売上請求書,10A100090,売掛金,14749,00,対象外,0,28,かめだデパート,,,10D100102,電子取引以外売上高,14749,00,対象外,0,,,,
4085,1,2021-03,2021-03-28,904085,売上請求書,10A100090,売掛金,2012328,00,対象外,0,30,株式会社ＹＡＧ,,,10D100102,電子取引以外売上高,2012328,00,対象外,0,,,,
4086,1,2021-03,2021-03-28,904086,売上請求書,10A100090,売掛金,575,00,対象外,0,30,株式会社ＹＡＧ,,,10D100102,電子取引以外売上高,575,00,対象外,0,,,,
4089,1,2021-03,2021-03-28,904089,仕入請求書,10E100132,電子取引以外当期商品仕入高,4297106,00,対象外,0,,,,,10B100040,買掛金,4297106,00,対象外,0,1,株式会社Ｙ２,,
4091,1,2021-03,2021-03-28,904091,仕入請求書,10E100132,電子取引以外当期商品仕入高,1115850,00,対象外,0,,,,,10B100040,買掛金,1115850,00,対象外,0,2,株式会社Ｐｏｌｅ,,
4094,1,2021-03,2021-03-28,904094,仕入請求書,10E100132,電子取引以外当期商品仕入高,1928189,00,対象外,0,,,,,10B100040,買掛金,1928189,00,対象外,0,3,株式会社チェック,,
4095,1,2021-03,2021-03-28,904095,仕入請求書,10E100132,電子取引以外当期商品仕入高,113407,00,対象外,0,,,,,10B100040,買掛金,113407,00,対象外,0,3,株式会社チェック,,
4097,1,2021-03,2021-03-28,904097,仕入請求書,10E100132,電子取引以外当期商品仕入高,905555,00,対象外,0,,,,,10B100040,買掛金,905555,00,対象外,0,4,株式会社アタッチ,,
4100,1,2021-03,2021-03-28,904100,仕入請求書,10E100132,電子取引以外当期商品仕入高,22176,00,対象外,0,,,,,10B100040,買掛金,22176,00,対象外,0,5,小藤丸株式会社,,
4101,1,2021-03,2021-03-28,904101,仕入請求書,10E100132,電子取引以外当期商品仕入高,3467360,00,対象外,0,,,,,10B100040,買掛金,3467360,00,対象外,0,5,小藤丸株式会社,,
4104,1,2021-03,2021-03-28,904104,仕入請求書,10E100132,電子取引以外当期商品仕入高,5204428,00,対象外,0,,,,,10B100040,買掛金,5204428,00,対象外,0,6,株式会社ハナダ,,
4106,1,2021-03,2021-03-28,904106,仕入請求書,10E100132,電子取引以外当期商品仕入高,17337,00,対象外,0,,,,,10B100040,買掛金,17337,00,対象外,0,7,株式会社サンセット,,
4107,1,2021-03,2021-03-28,904107,仕入請求書,10E100132,電子取引以外当期商品仕入高,3387545,00,対象外,0,,,,,10B100040,買掛金,3387545,00,対象外,0,7,株式会社サンセット,,
4109,1,2021-03,2021-03-28,904109,仕入請求書,10E100132,電子取引以外当期商品仕入高,634838,00,対象外,0,,,,,10B100040,買掛金,634838,00,対象外,0,8,株式会社山下,,
4112,1,2021-03,2021-03-28,904112,仕入請求書,10E100132,電子取引以外当期商品仕入高,12903,00,対象外,0,,,,,10B100040,買掛金,12903,00,対象外,0,9,斉藤産業株式会社,,
4113,1,2021-03,2021-03-28,904113,仕入請求書,10E100132,電子取引以外当期商品仕入高,1744898,00,対象外,0,,,,,10B100040,買掛金,1744898,00,対象外,0,9,斉藤産業株式会社,,
4116,1,2021-03,2021-03-28,904116,仕入請求書,10E100132,電子取引以外当期商品仕入高,56044,00,対象外,0,,,,,10B100040,買掛金,56044,00,対象外,0,10,鈴木販売株式会社,,
4117,1,2021-03,2021-03-28,904117,仕入請求書,10E100132,電子取引以外当期商品仕入高,2926580,00,対象外,0,,,,,10B100040,買掛金,2926580,00,対象外,0,10,鈴木販売株式会社,,
4119,1,2021-03,2021-03-28,904119,仕入請求書,10E100132,電子取引以外当期商品仕入高,4109548,00,対象外,0,,,,,10B100040,買掛金,4109548,00,対象外,0,11,株式会社まつむら,,
4120,1,2021-03,2021-03-28,904120,仕入請求書,10E100132,電子取引以外当期商品仕入高,42386,00,対象外,0,,,,,10B100040,買掛金,42386,00,対象外,0,11,株式会社まつむら,,
4122,1,2021-03,2021-03-28,904122,仕入請求書,10E100132,電子取引以外当期商品仕入高,322812,00,対象外,0,,,,,10B100040,買掛金,322812,00,対象外,0,12,株式会社有江,,
4124,1,2021-03,2021-03-28,904124,仕入請求書,10E100132,電子取引以外当期商品仕入高,1985810,00,対象外,0,,,,,10B100040,買掛金,1985810,00,対象外,0,13,ナカムラ産業株式会社,,
4126,1,2021-03,2021-03-28,904126,仕入請求書,10E100132,電子取引以外当期商品仕入高,2584863,00,対象外,0,,,,,10B100040,買掛金,2584863,00,対象外,0,14,合同会社ウェスト,,
4129,1,2021-03,2021-03-28,904129,仕入請求書,10E100132,電子取引以外当期商品仕入高,1130334,00,対象外,0,,,,,10B100040,買掛金,1130334,00,対象外,0,15,株式会社はなまる商事,,
