JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02,Source_Row,Entry_Key,Debit_Occurrence,Credit_Occurrence,Semantic_Path,Binding_Path
1,1,2022-01,2022-01-01,900588,Synthetic demo operating expense 900588,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,161750,00,00,0,B001,Demo Central Bank,D02,Demo Administration,955,"[""20220101"",""900588""]",,955-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""955-C"",""d_cor_entryHeader"":""[\""20220101\"",\""900588\""]""}"
1,2,2022-01,2022-01-01,900588,Synthetic demo operating expense 900588,6140,Demo Vehicle Expense,161750,Q5,Q5,14705,V001,Demo Vendor Keystone,D02,Demo Administration,,,0,,,0,,,,,955,"[""20220101"",""900588""]",955-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""955-D"",""d_cor_entryHeader"":""[\""20220101\"",\""900588\""]""}"
2,1,2022-01,2022-01-02,900584,Synthetic demo financing settlement 900584,,,0,,,0,,,,,1120,Demo Harbor Ordinary Deposit,746400,00,00,0,B003,Harbor Demo Bank,D06,Demo Management,956,"[""20220102"",""900584""]",,956-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""956-C"",""d_cor_entryHeader"":""[\""20220102\"",\""900584\""]""}"
2,2,2022-01,2022-01-02,900584,Synthetic demo financing settlement 900584,2200,Demo Short-term Loans,328410,00,00,0,,,D06,Demo Management,,,0,,,0,,,,,956,"[""20220102"",""900584""]",956-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""956-D"",""d_cor_entryHeader"":""[\""20220102\"",\""900584\""]""}"
2,3,2022-01,2022-01-02,900584,Synthetic demo financing settlement 900584,6070,Demo Bank Fees,186600,00,00,0,B003,Harbor Demo Bank,D06,Demo Management,,,0,,,0,,,,,957,"[""20220102"",""900584""]",957-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""957-D"",""d_cor_entryHeader"":""[\""20220102\"",\""900584\""]""}"
2,4,2022-01,2022-01-02,900584,Synthetic demo financing settlement 900584,7000,Demo Taxes and Dues,231390,P0,P0,0,,,D06,Demo Management,,,0,,,0,,,,,958,"[""20220102"",""900584""]",958-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""958-D"",""d_cor_entryHeader"":""[\""20220102\"",\""900584\""]""}"
3,1,2022-01,2022-01-03,900535,Synthetic demo purchase on account 900535,,,0,,,0,,,,,2000,Demo Accounts Payable,376950,00,00,0,V006,Demo Vendor Prairie,D04,Demo Logistics,959,"[""20220103"",""900535""]",,959-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""959-C"",""d_cor_entryHeader"":""[\""20220103\"",\""900535\""]""}"
3,2,2022-01,2022-01-03,900535,Synthetic demo purchase on account 900535,5010,Demo Freight-in,376950,Q5,Q5,34268,V006,Demo Vendor Prairie,D04,Demo Logistics,,,0,,,0,,,,,959,"[""20220103"",""900535""]",959-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""959-D"",""d_cor_entryHeader"":""[\""20220103\"",\""900535\""]""}"
4,1,2022-01,2022-01-04,900534,Synthetic demo customer receipt 900534,,,0,,,0,,,,,1200,Demo Accounts Receivable,252020,00,00,0,C003,Demo Customer Cobalt,D01,Demo Sales,960,"[""20220104"",""900534""]",,960-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""960-C"",""d_cor_entryHeader"":""[\""20220104\"",\""900534\""]""}"
4,2,2022-01,2022-01-04,900534,Synthetic demo customer receipt 900534,1100,Demo Central Ordinary Deposit,252020,00,00,0,B001,Demo Central Bank,D01,Demo Sales,,,0,,,0,,,,,960,"[""20220104"",""900534""]",960-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""960-D"",""d_cor_entryHeader"":""[\""20220104\"",\""900534\""]""}"
5,1,2022-01,2022-01-04,900583,Synthetic demo customer receipt 900583,,,0,,,0,,,,,1200,Demo Accounts Receivable,181110,00,00,0,C010,Demo Customer Juniper,D01,Demo Sales,961,"[""20220104"",""900583""]",,961-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""961-C"",""d_cor_entryHeader"":""[\""20220104\"",\""900583\""]""}"
5,2,2022-01,2022-01-04,900583,Synthetic demo customer receipt 900583,1110,Demo North Current Deposit,181110,00,00,0,B002,North Demo Bank,D01,Demo Sales,,,0,,,0,,,,,961,"[""20220104"",""900583""]",961-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""961-D"",""d_cor_entryHeader"":""[\""20220104\"",\""900583\""]""}"
6,1,2022-01,2022-01-05,900573,Synthetic demo customer receipt 900573,,,0,,,0,,,,,1200,Demo Accounts Receivable,335470,00,00,0,C010,Demo Customer Juniper,D01,Demo Sales,962,"[""20220105"",""900573""]",,962-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""962-C"",""d_cor_entryHeader"":""[\""20220105\"",\""900573\""]""}"
