Transaction_Date,Description,Ledger_Account_Number,Ledger_Account_Name,Subaccount_Code,Subaccount_Name,Department_Code,Department_Name,Debit_Amount,Credit_Amount,Counterpart_Account_Number,Counterpart_Account_Name,Counterpart_Subaccount_Code,Counterpart_Subaccount_Name,Counterpart_Department_Code,Counterpart_Department_Name,Balance,Month
2021-09-01,* 月初残高,10A100020,現金及び預金,,,,,0,0,,,,,,,-13210939,2021-09
2021-09-01,* 月初残高,10E201230,旅費及び交通費,,,,,0,0,,,,,,,5101351,2021-09
2021-09-01,* 月初残高,10E200180,通信費,,,,,0,0,,,,,,,5774811,2021-09
2021-09-01,* 月初残高,10E201120,車両費,,,,,0,0,,,,,,,2903817,2021-09
2021-09-01,* 月初残高,10E201270,雑費,,,,,0,0,,,,,,,2403231,2021-09
2021-09-01,* 月初残高,10E201110,事務用消耗品費,,,,,0,0,,,,,,,676203,2021-09
2021-09-01,* 月初残高,10E200150,交際費,,,,,0,0,,,,,,,1712244,2021-09
2021-09-01,* 月初残高,10E200600,支払報酬,,,,,0,0,,,,,,,698550,2021-09
2021-09-01,* 月初残高,10B100630,未払金,,,,,0,0,,,,,,,35268913,2021-09
2021-09-01,* 月初残高,10E200140,福利厚生費,,,,,0,0,,,,,,,2272082,2021-09
2021-09-01,* 月初残高,10A100090,売掛金,,,,,0,0,,,,,,,-48559314,2021-09
2021-09-01,* 月初残高,10E200690,支払手数料,,,,,0,0,,,,,,,59478,2021-09
2021-09-01,* 月初残高,10E200210,租税公課,,,,,0,0,,,,,,,175000,2021-09
2021-09-01,* 月初残高,10E200720,地代家賃,,,,,0,0,,,,,,,17215000,2021-09
2021-09-01,* 月初残高,10E201130,会議費,,,,,0,0,,,,,,,155454,2021-09
2021-09-01,* 月初残高,10B100690,預り金,,,,,0,0,,,,,,,603714,2021-09
2021-09-01,* 月初残高,10A100060,受取手形,,,,,0,0,,,,,,,48206664,2021-09
2021-09-01,* 月初残高,10B100040,買掛金,,,,,0,0,,,,,,,-15034432,2021-09
2021-09-01,* 月初残高,10B100030,支払手形,,,,,0,0,,,,,,,-22115140,2021-09
2021-09-01,* 月初残高,10E201140,諸会費,,,,,0,0,,,,,,,580000,2021-09
2021-09-01,* 月初残高,10E200520,雑給,,,,,0,0,,,,,,,1801897,2021-09
2021-09-01,* 月初残高,10E200050,広告宣伝費,,,,,0,0,,,,,,,838200,2021-09
2021-09-01,* 月初残高,10E201040,水道光熱費,,,,,0,0,,,,,,,2921631,2021-09
2021-09-01,* 月初残高,10E300020,支払利息,,,,,0,0,,,,,,,690434,2021-09
2021-09-01,* 月初残高,10E200200,消耗品費,,,,,0,0,,,,,,,1277927,2021-09
2021-09-01,* 月初残高,10E201160,図書費,,,,,0,0,,,,,,,124910,2021-09
2021-09-01,* 月初残高,10E200020,販売手数料,,,,,0,0,,,,,,,10858708,2021-09
2021-09-01,* 月初残高,10E200090,役員報酬,,,,,0,0,,,,,,,30092356,2021-09
2021-09-01,* 月初残高,10E201000,修繕維持費,,,,,0,0,,,,,,,230100,2021-09
2021-09-01,* 月初残高,10E200870,運賃,,,,,0,0,,,,,,,18145617,2021-09
2021-09-01,* 月初残高,10E200240,保険料,,,,,0,0,,,,,,,1594100,2021-09
2021-09-01,* 月初残高,10E200730,借地借家料,,,,,0,0,,,,,,,1469250,2021-09
2021-09-01,* 月初残高,10E200540,法定福利費,,,,,0,0,,,,,,,4153198,2021-09
2021-09-01,* 月初残高,10D100102,電子取引以外売上高,,,,,0,0,,,,,,,237006643,2021-09
2021-09-01,* 月初残高,10D100112,電子取引以外売上値引及び戻り高,,,,,0,0,,,,,,,981876,2021-09
2021-09-01,* 月初残高,10D100111,電子取引売上値引及び戻り高,,,,,0,0,,,,,,,285568,2021-09
2021-09-01,* 月初残高,10E100132,電子取引以外当期商品仕入高,,,,,0,0,,,,,,,121435980,2021-09
2021-09-01,* 月初残高,10E100131,電子取引当期商品仕入高,,,,,0,0,,,,,,,64651519,2021-09
2021-09-01,* 月初残高,10A100610,短期貸付金,,,,,0,0,,,,,,,-200000,2021-09
2021-09-01,* 月初残高,10A230570,保険積立金,,,,,0,0,,,,,,,625000,2021-09
2021-09-01,* 月初残高,10B100790,短期借入金,,,,,0,0,,,,,,,-3267500,2021-09
2021-09-01,* 月初残高,10E200370,給料及び手当,,,,,0,0,,,,,,,5515630,2021-09
2021-09-01,* 月初残高,10D100101,電子取引売上高,,,,,0,0,,,,,,,74910813,2021-09
2021-09-01,* 月初残高,10B100640,未払法人税等,,,,,0,0,,,,,,,-2864378,2021-09
2021-09-01,* 月初残高,10B100650,未払事業所税,,,,,0,0,,,,,,,-1862000,2021-09
2021-09-01,* 月初残高,10B100660,未払消費税等,,,,,0,0,,,,,,,-4947100,2021-09
2021-09-01,* 月初残高,10E200130,賞与,,,,,0,0,,,,,,,4042000,2021-09
2021-09-01,* 月初残高,10A100200,電子記録債権,,,,,0,0,,,,,,,0,2021-09
2021-09-01,* 月初残高,10A100280,商品,,,,,0,0,,,,,,,0,2021-09
2021-09-01,* 月初残高,10E100140,商品期末たな卸高,,,,,0,0,,,,,,,0,2021-09
2021-09-01,* 月初残高,10A210130,構築物,,,,,0,0,,,,,,,0,2021-09
2021-09-01,* 月初残高,10E200220,減価償却費,,,,,0,0,,,,,,,0,2021-09
2021-09-01,* 月初残高,10B200080,長期借入金,,,,,0,0,,,,,,,0,2021-09
2021-09-01,* 月初残高,10E100100,商品期首たな卸高,,,,,0,0,,,,,,,0,2021-09
2021-09-01,旅費,10A100020,現金及び預金,,,,,0,30980,10E201230,旅費及び交通費,,,,,-13241919,2021-09
2021-09-01,旅費,10E201230,旅費及び交通費,,,,,30980,0,10A100020,現金及び預金,,,,,5132331,2021-09
2021-09-01,ＪＲ代,10A100020,現金及び預金,,,,,0,5200,10E201230,旅費及び交通費,,,,,-13247119,2021-09
2021-09-01,ＪＲ代,10E201230,旅費及び交通費,,,,,5200,0,10A100020,現金及び預金,,,,,5137531,2021-09
2021-09-02,食事代 長崎港屋2名,10A100020,現金及び預金,,,,,0,4350,10E200150,交際費,,,,,-13251469,2021-09
2021-09-02,食事代 長崎港屋2名,10E200150,交際費,,,,,4350,0,10A100020,現金及び預金,,,,,1716594,2021-09
2021-09-02,食事代 トルテーヤ2名,10A100020,現金及び預金,,,,,0,7315,10E200150,交際費,,,,,-13258784,2021-09
2021-09-02,食事代 和風ダイニング法善寺3名,10A100020,現金及び預金,,,,,0,13624,10E200150,交際費,,,,,-13272408,2021-09
2021-09-02,食事代 トルテーヤ2名,10E200150,交際費,,,,,7315,0,10A100020,現金及び預金,,,,,1723909,2021-09
2021-09-02,食事代 和風ダイニング法善寺3名,10E200150,交際費,,,,,13624,0,10A100020,現金及び預金,,,,,1737533,2021-09
2021-09-02,タクシー代,10A100020,現金及び預金,,,,,0,4650,10E201230,旅費及び交通費,,,,,-13277058,2021-09
2021-09-02,タクシー代,10E201230,旅費及び交通費,,,,,4650,0,10A100020,現金及び預金,,,,,5142181,2021-09
2021-09-02,事務用品,10A100020,現金及び預金,,,,,0,3105,10E201110,事務用消耗品費,,,,,-13280163,2021-09
2021-09-02,事務用品,10E201110,事務用消耗品費,,,,,3105,0,10A100020,現金及び預金,,,,,679308,2021-09
2021-09-02,旅費,10A100020,現金及び預金,,,,,0,16870,10E201230,旅費及び交通費,,,,,-13297033,2021-09
2021-09-02,旅費,10E201230,旅費及び交通費,,,,,16870,0,10A100020,現金及び預金,,,,,5159051,2021-09
2021-09-02,JR代,10A100020,現金及び預金,,,,,0,88880,10E201230,旅費及び交通費,,,,,-13385913,2021-09
2021-09-02,JR代,10E201230,旅費及び交通費,,,,,88880,0,10A100020,現金及び預金,,,,,5247931,2021-09
2021-09-02,お茶代,10A100020,現金及び預金,,,,,0,1129,10E201270,雑費,,,,,-13387042,2021-09
2021-09-02,お茶代,10E201270,雑費,,,,,1129,0,10A100020,現金及び預金,,,,,2404360,2021-09
2021-09-02,制服代,10B100630,未払金,,,,,0,56000,10E200140,福利厚生費,,,,,35324913,2021-09
2021-09-02,制服代,10E200140,福利厚生費,,,,,56000,0,10B100630,未払金,,,,,2328082,2021-09
2021-09-02,洗剤他,10A100020,現金及び預金,,,,,0,795,10E201270,雑費,,,,,-13387837,2021-09
2021-09-02,洗剤他,10E201270,雑費,,,,,795,0,10A100020,現金及び預金,,,,,2405155,2021-09
2021-09-03,用紙,10A100020,現金及び預金,,,,,0,13700,10E201110,事務用消耗品費,,,,,-13401537,2021-09
2021-09-03,用紙,10E201110,事務用消耗品費,,,,,13700,0,10A100020,現金及び預金,,,,,693008,2021-09
2021-09-03,旅費,10A100020,現金及び預金,,,,,0,16780,10E201230,旅費及び交通費,,,,,-13418317,2021-09
2021-09-03,旅費,10E201230,旅費及び交通費,,,,,16780,0,10A100020,現金及び預金,,,,,5264711,2021-09
2021-09-03,駐車代,10A100020,現金及び預金,,,,,0,600,10E201120,車両費,,,,,-13418917,2021-09
2021-09-03,駐車代,10E201120,車両費,,,,,600,0,10A100020,現金及び預金,,,,,2904417,2021-09
2021-09-03,ティッシュ代,10A100020,現金及び預金,,,,,0,1203,10E201270,雑費,,,,,-13420120,2021-09
2021-09-03,ティッシュ代,10E201270,雑費,,,,,1203,0,10A100020,現金及び預金,,,,,2406358,2021-09
2021-09-04,ガソリン代,10B100630,未払金,,,,,0,68420,10E201120,車両費,,,,,35393333,2021-09
2021-09-04,ガソリン代,10E201120,車両費,,,,,68420,0,10B100630,未払金,,,,,2972837,2021-09
2021-09-04,駐車代,10A100020,現金及び預金,,,,,0,530,10E201120,車両費,,,,,-13420650,2021-09
2021-09-04,ガソリン代,10A100020,現金及び預金,,,,,0,5951,10E201120,車両費,,,,,-13426601,2021-09
2021-09-04,駐車代,10E201120,車両費,,,,,530,0,10A100020,現金及び預金,,,,,2973367,2021-09
2021-09-04,ガソリン代,10E201120,車両費,,,,,5951,0,10A100020,現金及び預金,,,,,2979318,2021-09
2021-09-05,ガソリン代,10A100020,現金及び預金,,,,,0,7290,10E201120,車両費,,,,,-13433891,2021-09
2021-09-05,洗車代,10A100020,現金及び預金,,,,,0,1905,10E201120,車両費,,,,,-13435796,2021-09
2021-09-05,駐車代,10A100020,現金及び預金,,,,,0,3048,10E201120,車両費,,,,,-13438844,2021-09
2021-09-05,ガソリン代,10E201120,車両費,,,,,7290,0,10A100020,現金及び預金,,,,,2986608,2021-09
2021-09-05,洗車代,10E201120,車両費,,,,,1905,0,10A100020,現金及び預金,,,,,2988513,2021-09
2021-09-05,駐車代,10E201120,車両費,,,,,3048,0,10A100020,現金及び預金,,,,,2991561,2021-09
2021-09-05,9月5日伝票No299株式会社 渡辺産業,10A100020,現金及び預金,50,福岡 北九州,,,783819,0,10A100090,売掛金,22,㈱渡辺産業,,,-12655025,2021-09
2021-09-05,9月5日伝票No299株式会社 渡辺産業,10A100090,売掛金,22,㈱渡辺産業,,,0,783819,10A100020,現金及び預金,50,福岡 北九州,,,-49343133,2021-09
2021-09-05,9月5日伝票No299株式会社 渡辺産業,10A100090,売掛金,22,㈱渡辺産業,,,0,472,10E200690,支払手数料,,,,,-49343605,2021-09
2021-09-05,9月5日伝票No299株式会社 渡辺産業,10E200690,支払手数料,,,,,472,0,10A100090,売掛金,22,㈱渡辺産業,,,59950,2021-09
2021-09-05,9月5日伝票No300佐々木販売株式会社,10A100020,現金及び預金,20,みずほ 本店,,,902654,0,10A100090,売掛金,26,佐々木販売㈱,,,-11752371,2021-09
2021-09-05,9月5日伝票No300佐々木販売株式会社,10A100090,売掛金,26,佐々木販売㈱,,,0,902654,10A100020,現金及び預金,20,みずほ 本店,,,-50246259,2021-09
2021-09-05,9月5日伝票No300佐々木販売株式会社,10A100090,売掛金,26,佐々木販売㈱,,,0,472,10E200690,支払手数料,,,,,-50246731,2021-09
2021-09-05,9月5日伝票No300佐々木販売株式会社,10E200690,支払手数料,,,,,472,0,10A100090,売掛金,26,佐々木販売㈱,,,60422,2021-09
2021-09-05,9月5日伝票No301岩下物産株式会社,10A100020,現金及び預金,30,三井 名古屋,,,883338,0,10A100090,売掛金,27,岩下物産㈱,,,-10869033,2021-09
2021-09-05,9月5日伝票No301岩下物産株式会社,10A100090,売掛金,27,岩下物産㈱,,,0,883338,10A100020,現金及び預金,30,三井 名古屋,,,-51130069,2021-09
2021-09-06,ガソリン代,10A100020,現金及び預金,,,,,0,4224,10E201120,車両費,,,,,-10873257,2021-09
2021-09-06,ガソリン代,10E201120,車両費,,,,,4224,0,10A100020,現金及び預金,,,,,2995785,2021-09
2021-09-06,タクシー代,10A100020,現金及び預金,,,,,0,2290,10E201230,旅費及び交通費,,,,,-10875547,2021-09
2021-09-06,タクシー代,10E201230,旅費及び交通費,,,,,2290,0,10A100020,現金及び預金,,,,,5267001,2021-09
2021-09-06,税理士報酬,10A100020,現金及び預金,20,みずほ 本店,,,0,139710,10E200600,支払報酬,,,,,-11015257,2021-09
