Transaction_ID,Line_ID,Entry_ID,Ledger_Side,Transaction_Date,Description,Ledger_Account_Number,Ledger_Account_Name,Subaccount_Code,Subaccount_Name,Department_Code,Department_Name,Debit_Amount,Credit_Amount,Counterpart_Account_Number,Counterpart_Account_Name,Counterpart_Subaccount_Code,Counterpart_Subaccount_Name,Counterpart_Department_Code,Counterpart_Department_Name,Balance,Source_Row,Entry_Key,Occurrence,Semantic_Path,Month
,,,Opening,2022-02-01,* Opening balance,1000,Demo Cash,,,,,0,0,,,,,,,600000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1010,Demo Petty Cash,,,,,0,0,,,,,,,120000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1100,Demo Central Ordinary Deposit,,,,,0,0,,,,,,,1998560,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1110,Demo North Current Deposit,,,,,0,0,,,,,,,3048950,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1120,Demo Harbor Ordinary Deposit,,,,,0,0,,,,,,,1928510,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1200,Demo Accounts Receivable,,,,,0,0,,,,,,,27941470,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1210,Demo Notes Receivable,,,,,0,0,,,,,,,800000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1300,Demo Inventory,,,,,0,0,,,,,,,1200000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1400,Demo Prepaid Expenses,,,,,0,0,,,,,,,6353710,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1410,Demo Advances Paid,,,,,0,0,,,,,,,250000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1420,Demo Temporary Payments,,,,,0,0,,,,,,,150000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1430,Demo Input Tax Receivable,,,,,0,0,,,,,,,400000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1500,Demo Equipment,,,,,0,0,,,,,,,2000000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1510,Demo Vehicles,,,,,0,0,,,,,,,1200000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1520,Demo Software,,,,,0,0,,,,,,,700000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,1590,Demo Accumulated Depreciation,,,,,0,0,,,,,,,900000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,2000,Demo Accounts Payable,,,,,0,0,,,,,,,1411570,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,2010,Demo Notes Payable,,,,,0,0,,,,,,,600000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,2100,Demo Accrued Payables,,,,,0,0,,,,,,,915580,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,2110,Demo Payroll Withholding,,,,,0,0,,,,,,,781080,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,2120,Demo Output Tax Payable,,,,,0,0,,,,,,,450000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,2130,Demo Temporary Receipts,,,,,0,0,,,,,,,120000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,2200,Demo Short-term Loans,,,,,0,0,,,,,,,1576980,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,2300,Demo Long-term Loans,,,,,0,0,,,,,,,2500000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,2400,Demo Unearned Revenue,,,,,0,0,,,,,,,350000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,3000,Demo Capital,,,,,0,0,,,,,,,5000000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,3100,Demo Retained Earnings,,,,,0,0,,,,,,,26159010,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,4000,Demo Product Sales,,,,,0,0,,,,,,,22971410,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,4010,Demo Service Revenue,,,,,0,0,,,,,,,23928640,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,4020,Demo Other Operating Revenue,,,,,0,0,,,,,,,12154420,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,4030,Demo Interest Income,,,,,0,0,,,,,,,0,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,4040,Demo Miscellaneous Income,,,,,0,0,,,,,,,0,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,5000,Demo Purchases,,,,,0,0,,,,,,,4244360,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,5010,Demo Freight-in,,,,,0,0,,,,,,,6525130,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,5020,Demo Inventory Adjustment,,,,,0,0,,,,,,,5840210,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6000,Demo Salaries,,,,,0,0,,,,,,,5012950,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6010,Demo Statutory Welfare,,,,,0,0,,,,,,,3021860,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6020,Demo Office Rent,,,,,0,0,,,,,,,553220,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6030,Demo Utilities,,,,,0,0,,,,,,,4865040,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6040,Demo Communication,,,,,0,0,,,,,,,3775330,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6050,Demo Business Travel,,,,,0,0,,,,,,,0,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6060,Demo Office Supplies,,,,,0,0,,,,,,,5524890,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6070,Demo Bank Fees,,,,,0,0,,,,,,,2787940,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6080,Demo Advertising,,,,,0,0,,,,,,,382480,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6090,Demo Insurance,,,,,0,0,,,,,,,0,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6100,Demo Repairs,,,,,0,0,,,,,,,601530,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6110,Demo Depreciation Expense,,,,,0,0,,,,,,,0,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6120,Demo Professional Fees,,,,,0,0,,,,,,,339230,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6130,Demo Training,,,,,0,0,,,,,,,0,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6140,Demo Vehicle Expense,,,,,0,0,,,,,,,841500,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6150,Demo Software Subscription,,,,,0,0,,,,,,,0,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6160,Demo Shipping,,,,,0,0,,,,,,,177720,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,6170,Demo Miscellaneous Expense,,,,,0,0,,,,,,,0,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,7000,Demo Taxes and Dues,,,,,0,0,,,,,,,6634100,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,7010,Demo Corporate Tax,,,,,0,0,,,,,,,0,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,7020,Demo Consumption Tax Expense,,,,,0,0,,,,,,,0,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,8000,Demo Suspense,,,,,0,0,,,,,,,50000,,,,,2022-02
,,,Opening,2022-02-01,* Opening balance,8010,Demo Clearing,,,,,0,0,,,,,,,50000,,,,,2022-02
1,1,900605,Credit,2022-02-01,Synthetic demo purchase on account 900605,2000,Demo Accounts Payable,V006,Demo Vendor Prairie,D04,Demo Logistics,0,137870,5020,Demo Inventory Adjustment,,,,,1549440,1059,"[""20220201"",""900605""]",1059-C,cor:monetaryAmount,2022-02
1,2,900605,Debit,2022-02-01,Synthetic demo purchase on account 900605,5020,Demo Inventory Adjustment,V006,Demo Vendor Prairie,D04,Demo Logistics,137870,0,2000,Demo Accounts Payable,,,,,5978080,1059,"[""20220201"",""900605""]",1059-D,cor:monetaryAmount,2022-02
2,1,900592,Credit,2022-02-02,Synthetic demo credit sale 900592,4010,Demo Service Revenue,C007,Demo Customer Grove,D01,Demo Sales,0,439160,1200,Demo Accounts Receivable,,,,,24367800,1060,"[""20220202"",""900592""]",1060-C,cor:monetaryAmount,2022-02
2,2,900592,Debit,2022-02-02,Synthetic demo credit sale 900592,1200,Demo Accounts Receivable,C007,Demo Customer Grove,D01,Demo Sales,439160,0,4010,Demo Service Revenue,,,,,28380630,1060,"[""20220202"",""900592""]",1060-D,cor:monetaryAmount,2022-02
