Transaction_ID,Line_ID,Entry_ID,Ledger_Side,Transaction_Date,Description,Ledger_Account_Number,Ledger_Account_Name,Subaccount_Code,Subaccount_Name,Department_Code,Department_Name,Debit_Amount,Credit_Amount,Counterpart_Account_Number,Counterpart_Account_Name,Counterpart_Subaccount_Code,Counterpart_Subaccount_Name,Counterpart_Department_Code,Counterpart_Department_Name,Balance,Month
5000,1,905000,Debit,2022-04-28,五越株式会社からの入金,10A100020,現金及び預金,20,みずほ本店,,,1608844,0,10A100090,売掛金,1,五越株式会社,,,1608844,2022-04
5000,1,905000,Credit,2022-04-28,五越株式会社からの入金,10A100090,売掛金,1,五越株式会社,,,0,1608844,10A100020,現金及び預金,20,みずほ本店,,,-1608844,2022-04
5001,1,905001,Debit,2022-04-28,合同会社エイム商事からの入金,10A100020,現金及び預金,20,みずほ本店,,,140000,0,10A100090,売掛金,10,合同会社エイム商事,,,1748844,2022-04
5001,1,905001,Credit,2022-04-28,合同会社エイム商事からの入金,10A100090,売掛金,10,合同会社エイム商事,,,0,140000,10A100020,現金及び預金,20,みずほ本店,,,-140000,2022-04
5002,1,905002,Debit,2022-04-28,株式会社斉藤からの入金,10A100020,現金及び預金,20,みずほ本店,,,806985,0,10A100090,売掛金,11,株式会社斉藤,,,2555829,2022-04
5002,1,905002,Credit,2022-04-28,株式会社斉藤からの入金,10A100090,売掛金,11,株式会社斉藤,,,0,806985,10A100020,現金及び預金,20,みずほ本店,,,-806985,2022-04
5003,1,905003,Debit,2022-04-28,もみじデパートからの入金,10A100020,現金及び預金,20,みずほ本店,,,7423367,0,10A100090,売掛金,12,もみじデパート,,,9979196,2022-04
5003,1,905003,Credit,2022-04-28,もみじデパートからの入金,10A100090,売掛金,12,もみじデパート,,,0,7423367,10A100020,現金及び預金,20,みずほ本店,,,-7423367,2022-04
5004,1,905004,Debit,2022-04-28,阿部商事株式会社からの入金,10A100020,現金及び預金,20,みずほ本店,,,1024020,0,10A100090,売掛金,13,阿部商事株式会社,,,11003216,2022-04
5004,1,905004,Credit,2022-04-28,阿部商事株式会社からの入金,10A100090,売掛金,13,阿部商事株式会社,,,0,1024020,10A100020,現金及び預金,20,みずほ本店,,,-1024020,2022-04
