Ledger_Account_Number,Level,Type,Ledger_Account_Number,Parent,Category,eTax_Category,eTax_Account_Name,Beginning_Balance,Total_Debit,Total_Credit,Ending_Balance,seq
10D100100,1,A,10D100100,PL,収益,売上高,総売上高,0,0,852595939,852595939,34
10D100110,1,A,10D100110,PL,費用,売上高,売上値引及び戻り高,0,1267444,0,1267444,35
10E100100,1,A,10E100100,PL,費用,売上原価,商品期首たな卸高,0,63013226,0,63013226,36
10E100120,1,A,10E100120,PL,収益,売上原価,仕入値引及び戻し高,0,0,776423,776423,37
10E100130,1,A,10E100130,PL,費用,売上原価,当期商品仕入高,0,513384447,0,513384447,38
10E100140,1,A,10E100140,PL,費用,売上原価,商品期末たな卸高,0,0,63025546,-63025546,39
10E200020,1,A,10E200020,PL,費用,販売費及び一般管理費,販売手数料,0,27081267,0,27081267,40
10E200050,1,A,10E200050,PL,費用,販売費及び一般管理費,広告宣伝費,0,2178700,0,2178700,41
10E200090,1,A,10E200090,PL,費用,販売費及び一般管理費,役員報酬,0,20640000,0,20640000,42
10E200130,1,A,10E200130,PL,費用,販売費及び一般管理費,賞与,0,11082000,0,11082000,43
10E200140,1,A,10E200140,PL,費用,販売費及び一般管理費,福利厚生費,0,5585786,0,5585786,44
10E200150,1,A,10E200150,PL,費用,販売費及び一般管理費,交際費,0,4258344,0,4258344,45
10E200180,1,A,10E200180,PL,費用,販売費及び一般管理費,通信費,0,13260677,0,13260677,46
10E200200,1,A,10E200200,PL,費用,販売費及び一般管理費,消耗品費,0,6735986,3367993,3367993,47
10E200210,1,A,10E200210,PL,費用,販売費及び一般管理費,租税公課,0,13823343,0,13823343,48
10E200220,1,A,10E200220,PL,費用,販売費及び一般管理費,減価償却費,0,1119962,0,1119962,49
10E200240,1,A,10E200240,PL,費用,販売費及び一般管理費,保険料,0,3825840,0,3825840,50
10E200370,1,A,10E200370,PL,費用,販売費及び一般管理費,給料及び手当,0,62235612,0,62235612,51
10E200520,1,A,10E200520,PL,費用,販売費及び一般管理費,雑給,0,4582962,0,4582962,52
10E200540,1,A,10E200540,PL,費用,販売費及び一般管理費,法定福利費,0,11174629,0,11174629,53
10E200600,1,A,10E200600,PL,費用,販売費及び一般管理費,支払報酬,0,1676520,0,1676520,54
10E200690,1,A,10E200690,PL,費用,販売費及び一般管理費,支払手数料,0,143993,0,143993,55
10E200720,1,A,10E200720,PL,費用,販売費及び一般管理費,地代家賃,0,41358000,0,41358000,56
10E200730,1,A,10E200730,PL,費用,販売費及び一般管理費,借地借家料,0,3526200,0,3526200,57
10E200870,1,A,10E200870,PL,費用,販売費及び一般管理費,運賃,0,51396860,0,51396860,58
10E201000,1,A,10E201000,PL,費用,販売費及び一般管理費,修繕維持費,0,337350,0,337350,59
10E201040,1,A,10E201040,PL,費用,販売費及び一般管理費,水道光熱費,0,7070997,0,7070997,60
10E201110,1,A,10E201110,PL,費用,販売費及び一般管理費,事務用消耗品費,0,1528632,0,1528632,61
10E201120,1,A,10E201120,PL,費用,販売費及び一般管理費,車両費,0,7546928,0,7546928,62
10E201130,1,A,10E201130,PL,費用,販売費及び一般管理費,会議費,0,330419,0,330419,63
10E201140,1,A,10E201140,PL,費用,販売費及び一般管理費,諸会費,0,1392000,0,1392000,64
10E201160,1,A,10E201160,PL,費用,販売費及び一般管理費,図書費,0,299784,0,299784,65
10E201230,1,A,10E201230,PL,費用,販売費及び一般管理費,旅費及び交通費,0,12971976,0,12971976,66
10E201270,1,A,10E201270,PL,費用,販売費及び一般管理費,雑費,0,5746663,0,5746663,67
10E300020,1,A,10E300020,PL,費用,営業外費用,支払利息,0,2508778,0,2508778,68
10F100070,1,A,10F100070,PL,費用,その他,法人税、住民税及び事業税,0,5004173,0,5004173,69
