Account_Code,Account_Name,Beginning_Balance
10A100020,普通預金,97003047
10A100040,貸倒引当金,1758018
10A100060,受取手形,59534189
10A100090,売掛金,98170353
10A100200,電子記録債権,0
10A100230,有価証券,1271350
10A100280,商品,63013226
10A100610,短期貸付金,480000
10A100800,差入保証金,1200000
10A100850,仮払消費税等,2762581
10A210130,構築物,3280000
10A210410,工具、器具及び備品,4779810
10A220190,電話加入権,512000
10A230570,保険積立金,1528000
10A230650,敷金,3140000
10B100030,支払手形,52251735
10B100040,買掛金,64051101
10B100320,賞与引当金,2021000
10B100630,未払金,7584692
10B100640,未払法人税等,2864378
10B100660,未払消費税等,4947100
10B100670,未払事業税等,1862000
10B100690,預り金,2309575
10B100790,短期借入金,7842000
10B100890,仮受消費税等,6540636
10B200080,長期借入金,37343150
10B200120,退職給付引当金,18560000
10B200130,役員退職慰労引当金,22000000
10C110010,資本金,10000000
10C120020,資本準備金,0
10C130020,利益準備金,7200000
10C130360,別途積立金,4830000
10C130370,繰越利益剰余金,82709171
10D100100,総売上高,0
10D100110,売上値引及び戻り高,0
10E100100,商品期首たな卸高,0
10E100120,仕入値引及び戻し高,0
10E100130,当期商品仕入高,0
10E100140,商品期末たな卸高,0
10E200020,販売手数料,0
10E200050,広告宣伝費,0
10E200090,役員報酬,0
10E200130,賞与,0
10E200140,福利厚生費,0
10E200150,交際費,0
10E200180,通信費,0
10E200200,消耗品費,0
10E200210,租税公課,0
10E200220,減価償却費,0
10E200240,保険料,0
10E200370,給料及び手当,0
10E200520,雑給,0
10E200540,法定福利費,0
10E200600,支払報酬,0
10E200690,支払手数料,0
10E200720,地代家賃,0
10E200730,借地借家料,0
10E200870,運賃,0
10E201000,修繕維持費,0
10E201040,水道光熱費,0
10E201110,事務用消耗品費,0
10E201120,車両費,0
10E201130,会議費,0
10E201140,諸会費,0
10E201160,図書費,0
10E201230,旅費及び交通費,0
10E201270,雑費,0
10E300020,支払利息,0
10F100070,法人税、住民税及び事業税,0
