Journal_Document_Link_ID,Transaction_ID,Line_ID,Document_ID,Relationship_Type,Link_Amount,Recognition_Basis
JDL-000001,4000,1,DOC-20210228-0001,PRIMARY_EVIDENCE,3267499,INVOICE_BASIS
JDL-000002,80,1,DOC-20210415-0001,SETTLEMENT_EVIDENCE,3267499,
JDL-000003,4001,1,DOC-20210228-0002,PRIMARY_EVIDENCE,1985,INVOICE_BASIS
JDL-000004,80,2,DOC-20210415-0002,SETTLEMENT_EVIDENCE,1985,
JDL-000005,4002,1,DOC-20210328-0001,PRIMARY_EVIDENCE,4442938,INVOICE_BASIS
JDL-000006,322,1,DOC-20210515-0003,SETTLEMENT_EVIDENCE,4442938,
JDL-000007,4003,1,DOC-20210328-0002,PRIMARY_EVIDENCE,1985,INVOICE_BASIS
JDL-000008,322,2,DOC-20210515-0004,SETTLEMENT_EVIDENCE,1985,
JDL-000009,4004,1,DOC-20210328-0003,PRIMARY_EVIDENCE,58972,INVOICE_BASIS
JDL-000010,456,6,DOC-20210531-0064,SETTLEMENT_EVIDENCE,58972,
JDL-000011,4005,1,DOC-20210228-0003,PRIMARY_EVIDENCE,13483517,INVOICE_BASIS
JDL-000012,168,1,DOC-20210425-0001,SETTLEMENT_EVIDENCE,13483517,
JDL-000013,4006,1,DOC-20210328-0004,PRIMARY_EVIDENCE,9248822,INVOICE_BASIS
JDL-000014,399,1,DOC-20210525-0001,SETTLEMENT_EVIDENCE,9248822,
JDL-000015,4007,1,DOC-20210328-0005,PRIMARY_EVIDENCE,17519,INVOICE_BASIS
JDL-000016,453,11,DOC-20210531-0056,SETTLEMENT_EVIDENCE,17519,
JDL-000017,4008,1,DOC-20210228-0004,PRIMARY_EVIDENCE,1585979,INVOICE_BASIS
JDL-000018,3000,1,DOC-20210430-0079,SETTLEMENT_EVIDENCE,1585979,
JDL-000019,4009,1,DOC-20210328-0006,PRIMARY_EVIDENCE,1585978,INVOICE_BASIS
JDL-000020,3001,1,DOC-20210531-0088,SETTLEMENT_EVIDENCE,1585978,
JDL-000021,4010,1,DOC-20210228-0005,PRIMARY_EVIDENCE,2226774,INVOICE_BASIS
JDL-000022,224,1,DOC-20210430-0058,SETTLEMENT_EVIDENCE,2226774,
JDL-000023,4011,1,DOC-20210228-0006,PRIMARY_EVIDENCE,651,INVOICE_BASIS
JDL-000024,224,2,DOC-20210430-0059,SETTLEMENT_EVIDENCE,651,
JDL-000025,4012,1,DOC-20210328-0007,PRIMARY_EVIDENCE,975963,INVOICE_BASIS
JDL-000026,457,1,DOC-20210531-0065,SETTLEMENT_EVIDENCE,975963,
JDL-000027,4013,1,DOC-20210328-0008,PRIMARY_EVIDENCE,651,INVOICE_BASIS
JDL-000028,457,2,DOC-20210531-0066,SETTLEMENT_EVIDENCE,651,
JDL-000029,4014,1,DOC-20210228-0007,PRIMARY_EVIDENCE,2999742,INVOICE_BASIS
JDL-000030,225,1,DOC-20210430-0060,SETTLEMENT_EVIDENCE,2999742,
JDL-000031,4015,1,DOC-20210228-0008,PRIMARY_EVIDENCE,628,INVOICE_BASIS
JDL-000032,225,2,DOC-20210430-0061,SETTLEMENT_EVIDENCE,628,
JDL-000033,4016,1,DOC-20210328-0009,PRIMARY_EVIDENCE,30487,INVOICE_BASIS
JDL-000034,452,5,DOC-20210531-0054,SETTLEMENT_EVIDENCE,30487,
JDL-000035,4017,1,DOC-20210328-0010,PRIMARY_EVIDENCE,1204807,INVOICE_BASIS
