JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03,Data_Scope,Document_ID,Document_Type,Document_Number,Related_Document_ID,Related_Document_Type,Related_Document_Number,Settlement_Scheduled_Month
248,,,,,,18,2021-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,444,1,,1,1,,,,,,旅費,10E201230,旅費及び交通費,,,,24800,2254,S,S,10A100020,現金,1,現金,補助科目,24800,0,O,O,010,札幌営業所,部門,000,共通部門,部門,,,,,,,,
249,,,,,,148,2021-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,445,1,,1,,,,,,,制服代,10E200140,福利厚生費,,,,53500,4863,S,S,10B100630,未払金,,,,53500,0,O,O,010,札幌営業所,部門,000,共通部門,部門,,,,,,,,
250,,,,,,122,2021-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,446,1,,1,1,,,,,,証明書発行手数料,10E200180,通信費,,,,1050,95,S,S,10A100020,現金,1,現金,補助科目,1050,0,O,O,020,東京支店,部門,000,共通部門,部門,,,,,,,,
251,,,,,,124,2021-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,447,1,,1,1,,,,,,収入印紙,10E200210,租税公課,,,,6000,0,O,O,10A100020,現金,1,現金,補助科目,6000,0,O,O,010,札幌営業所,部門,000,共通部門,部門,,,,,,,,
252,,,,,,149,2021-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,448,1,,1,,,,,,,制服代,10E200140,福利厚生費,,,,70325,6393,S,S,10B100630,未払金,,,,70325,0,O,O,030,名古屋支店,部門,000,共通部門,部門,,,,,,,,
253,,,,,,10,2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,449,1,,1,1,,,,,,ガソリン代,10E201120,車両費,,,,3642,331,S,S,10A100020,現金,1,現金,補助科目,3642,0,O,O,010,札幌営業所,部門,000,共通部門,部門,,,,,,,,
