Month,Ledger_Account_Number,Ledger_Account_Name,Beginning_Balance,Debit_Amount,Credit_Amount,Ending_Balance,eTax_Category
2021-11,10A100020,普通預金,87928056,85770287,98162563,75535780,流動資産
2021-11,10A100040,貸倒引当金,1758018,0,0,1758018,流動資産
2021-11,10A100060,受取手形,61862152,32111802,22359822,71614132,流動資産
2021-11,10A100090,売掛金,61564282,70833354,61564282,70833354,流動資産
2021-11,10A100200,電子記録債権,40000,0,0,40000,流動資産
2021-11,10A100230,有価証券,1271350,0,0,1271350,流動資産
2021-11,10A100280,商品,63013226,0,0,63013226,流動資産
2021-11,10A100610,短期貸付金,200000,600000,40000,760000,流動資産
2021-11,10A100800,差入保証金,1200000,0,0,1200000,流動資産
2021-11,10A100850,仮払消費税等,2762581,0,0,2762581,流動資産
2021-11,10A210130,構築物,3280000,0,0,3280000,有形固定資産
2021-11,10A210410,工具、器具及び備品,4779810,0,0,4779810,有形固定資産
2021-11,10A220190,電話加入権,512000,0,0,512000,無形固定資産
2021-11,10A230570,保険積立金,2403000,125000,0,2528000,投資その他の資産
2021-11,10A230650,敷金,3140000,0,0,3140000,投資その他の資産
2021-11,10B100030,支払手形,34857550,11730438,11811963,34939075,流動負債
2021-11,10B100040,買掛金,50147919,38562088,46735138,58320969,流動負債
2021-11,10B100320,賞与引当金,4693334,0,1173332,5866666,流動負債
2021-11,10B100630,未払金,7681594,7681594,7644630,7644630,流動負債
2021-11,10B100640,未払法人税等,0,0,0,0,流動負債
2021-11,10B100660,未払消費税等,0,0,0,0,流動負債
2021-11,10B100670,未払事業税等,0,0,0,0,流動負債
2021-11,10B100690,預り金,5860241,2214708,1954908,5600441,流動負債
2021-11,10B100790,短期借入金,3267500,653500,0,2614000,流動負債
2021-11,10B100890,仮受消費税等,6540636,0,0,6540636,流動負債
2021-11,10B200080,長期借入金,37343150,0,0,37343150,固定負債
2021-11,10B200120,退職給付引当金,18560000,0,0,18560000,固定負債
2021-11,10B200130,役員退職慰労引当金,22000000,0,0,22000000,固定負債
2021-11,10C110010,資本金,10000000,0,0,10000000,資本金
2021-11,10C120020,資本準備金,0,0,0,0,資本剰余金
2021-11,10C130020,利益準備金,7200000,0,0,7200000,利益剰余金
2021-11,10C130360,別途積立金,4830000,0,0,4830000,利益剰余金
2021-11,10C130370,繰越利益剰余金,82709171,0,0,82709171,利益剰余金
2021-11,10D100100,総売上高,431982077,0,70833354,502815431,売上高
2021-11,10D100110,売上値引及び戻り高,1267444,0,0,1267444,売上高
2021-11,10E100100,商品期首たな卸高,0,0,0,0,売上原価
2021-11,10E100120,仕入値引及び戻し高,733583,0,0,733583,売上原価
2021-11,10E100130,当期商品仕入高,262270688,46735138,0,309005826,売上原価
2021-11,10E100140,商品期末たな卸高,0,0,0,0,売上原価
2021-11,10E200020,販売手数料,15003067,1841200,0,16844267,販売費及び一般管理費
2021-11,10E200050,広告宣伝費,1221200,191500,0,1412700,販売費及び一般管理費
2021-11,10E200090,役員報酬,12040000,1720000,0,13760000,販売費及び一般管理費
2021-11,10E200130,賞与,6714334,1173332,0,7887666,販売費及び一般管理費
2021-11,10E200140,福利厚生費,3201531,251143,0,3452674,販売費及び一般管理費
2021-11,10E200150,交際費,2175907,339667,0,2515574,販売費及び一般管理費
2021-11,10E200180,通信費,7784696,993706,0,8778402,販売費及び一般管理費
2021-11,10E200200,消耗品費,1976892,467964,233982,2210874,販売費及び一般管理費
2021-11,10E200210,租税公課,187000,0,0,187000,販売費及び一般管理費
2021-11,10E200220,減価償却費,0,0,0,0,販売費及び一般管理費
2021-11,10E200240,保険料,2231740,318820,0,2550560,販売費及び一般管理費
2021-11,10E200370,給料及び手当,37054004,5195344,0,42249348,販売費及び一般管理費
2021-11,10E200520,雑給,2669307,697190,0,3366497,販売費及び一般管理費
2021-11,10E200540,法定福利費,5591695,653956,0,6245651,販売費及び一般管理費
2021-11,10E200600,支払報酬,977970,139710,0,1117680,販売費及び一般管理費
2021-11,10E200690,支払手数料,83783,12126,0,95909,販売費及び一般管理費
2021-11,10E200720,地代家賃,24113000,3449000,0,27562000,販売費及び一般管理費
2021-11,10E200730,借地借家料,2056950,293850,0,2350800,販売費及び一般管理費
2021-11,10E200870,運賃,25484533,4570408,0,30054941,販売費及び一般管理費
2021-11,10E201000,修繕維持費,283800,17850,0,301650,販売費及び一般管理費
2021-11,10E201040,水道光熱費,4066009,609480,0,4675489,販売費及び一般管理費
2021-11,10E201110,事務用消耗品費,899186,111684,0,1010870,販売費及び一般管理費
2021-11,10E201120,車両費,4265118,701800,0,4966918,販売費及び一般管理費
2021-11,10E201130,会議費,205444,24995,0,230439,販売費及び一般管理費
2021-11,10E201140,諸会費,812000,116000,0,928000,販売費及び一般管理費
2021-11,10E201160,図書費,174874,24982,0,199856,販売費及び一般管理費
2021-11,10E201230,旅費及び交通費,7162542,1004428,0,8166970,販売費及び一般管理費
2021-11,10E201270,雑費,3355588,482901,0,3838489,販売費及び一般管理費
2021-11,10E300020,支払利息,878014,93029,0,971043,営業外費用
2021-11,10F100070,法人税、住民税及び事業税,0,0,0,0,その他
