Month,Ledger_Account_Number,Debit_Amount,Credit_Amount,Ledger_Account_Name,Beginning_Balance,Ending_Balance,eTax_Category
2022-01,10A100020,120382489,96773855,現金及び預金,314348080,337956714,流動資産
2022-01,10A100060,48543883,35387312,受取手形,99483765,112640336,流動資産
2022-01,10A100090,91476616,91795313,売掛金,100587762,100269065,流動資産
2022-01,10A100610,0,259580,短期貸付金,470000,210420,流動資産
2022-01,10A230570,125000,0,保険積立金,1152813,1277813,投資その他の資産
2022-01,10B100030,11210865,39368588,支払手形,22696150,50853873,流動負債
2022-01,10B100040,59337763,54296895,買掛金,283818433,278777565,流動負債
2022-01,10B100630,12442678,16367143,未払金,44233294,48157759,流動負債
2022-01,10B100690,2466437,1901781,預り金,3004745,2440089,流動負債
2022-01,10B100790,653500,0,短期借入金,1960500,1307000,流動負債
2022-01,10D100101,0,39877319,電子取引売上高,128134183,168011502,売上高
2022-01,10D100102,0,51599297,電子取引以外売上高,488573833,540173130,売上高
2022-01,10E100131,19274050,0,電子取引当期商品仕入高,131337416,150611466,売上原価
2022-01,10E100132,35022845,0,電子取引以外当期商品仕入高,243815339,278838184,売上原価
2022-01,10E200020,2509900,0,販売手数料,20000267,22510167,販売費及び一般管理費
2022-01,10E200050,191500,0,広告宣伝費,1604200,1795700,販売費及び一般管理費
2022-01,10E200090,6533853,0,役員報酬,57023342,63557195,販売費及び一般管理費
2022-01,10E200140,220092,0,福利厚生費,4300467,4520559,販売費及び一般管理費
2022-01,10E200150,391213,0,交際費,3250843,3642056,販売費及び一般管理費
2022-01,10E200180,1114572,0,通信費,9929652,11044224,販売費及び一般管理費
2022-01,10E200200,551936,495638,消耗品費,2287250,2343548,販売費及び一般管理費
2022-01,10E200210,4000,0,租税公課,239000,243000,販売費及び一般管理費
2022-01,10E200240,318820,0,保険料,2869380,3188200,販売費及び一般管理費
2022-01,10E200370,0,0,給料及び手当,5515630,5515630,販売費及び一般管理費
2022-01,10E200520,313425,0,雑給,3790337,4103762,販売費及び一般管理費
2022-01,10E200540,1591504,0,法定福利費,7008962,8600466,販売費及び一般管理費
2022-01,10E200600,139710,0,支払報酬,1257390,1397100,販売費及び一般管理費
2022-01,10E200690,12021,0,支払手数料,108770,120791,販売費及び一般管理費
2022-01,10E200720,3449000,0,地代家賃,31011000,34460000,販売費及び一般管理費
2022-01,10E200730,587700,0,借地借家料,2350800,2938500,販売費及び一般管理費
2022-01,10E200870,6260649,0,運賃,37366207,43626856,販売費及び一般管理費
2022-01,10E201040,560492,0,水道光熱費,5413937,5974429,販売費及び一般管理費
2022-01,10E201110,119083,0,事務用消耗品費,1147431,1266514,販売費及び一般管理費
2022-01,10E201120,631347,0,車両費,5617052,6248399,販売費及び一般管理費
2022-01,10E201130,24995,0,会議費,255434,280429,販売費及び一般管理費
2022-01,10E201140,116000,0,諸会費,1044000,1160000,販売費及び一般管理費
2022-01,10E201160,24982,0,図書費,224838,249820,販売費及び一般管理費
2022-01,10E201230,959678,0,旅費及び交通費,9896123,10855801,販売費及び一般管理費
2022-01,10E201270,473790,0,雑費,4342686,4816476,販売費及び一般管理費
2022-01,10E300020,86333,0,支払利息,1050085,1136418,営業外費用
2022-01,10A100020,120382489,96773855,現金及び預金,314348080,337956714,流動資産
2022-01,10A100040,0,0,貸倒引当金,14974729,14974729,流動資産
2022-01,10A100060,48543883,35387312,受取手形,99483765,112640336,流動資産
2022-01,10A100090,91476616,91795313,売掛金,100587762,100269065,流動資産
2022-01,10A100230,0,0,有価証券,23142,23142,流動資産
2022-01,10A100280,0,0,商品,1146999,1146999,流動資産
2022-01,10A100610,0,259580,短期貸付金,470000,210420,流動資産
2022-01,10A100800,0,0,差入保証金,21843,21843,流動資産
