C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
1,"[""20211101"",""900414""]",,,,,2021-11-01,900414,Synthetic demo customer receipt 900414,,,,,,,,,
1,"[""20211101"",""900414""]",740-C,,,,,,,C,70310,,,,,,,
1,"[""20211101"",""900414""]",740-C,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211101"",""900414""]",740-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211101"",""900414""]",740-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211101"",""900414""]",740-C,,,1,,,,,,,,,,,00,0
1,"[""20211101"",""900414""]",740-D,,,,,,,D,70310,,,,,,,
1,"[""20211101"",""900414""]",740-D,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20211101"",""900414""]",740-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211101"",""900414""]",740-D,1,2-auxiliary-account,,,,,,,,,B001,Demo Central Bank,auxiliary-account,,
1,"[""20211101"",""900414""]",740-D,,,1,,,,,,,,,,,00,0
1,"[""20211101"",""900425""]",,,,,2021-11-01,900425,Synthetic demo purchase on account 900425,,,,,,,,,
1,"[""20211101"",""900425""]",741-C,,,,,,,C,309160,,,,,,,
1,"[""20211101"",""900425""]",741-C,1,,,,,,,,2000,Demo Accounts Payable,,,,,
1,"[""20211101"",""900425""]",741-C,1,1-department,,,,,,,,,D04,Demo Logistics,department,,
1,"[""20211101"",""900425""]",741-C,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20211101"",""900425""]",741-C,,,1,,,,,,,,,,,00,0
1,"[""20211101"",""900425""]",741-D,,,,,,,D,309160,,,,,,,
1,"[""20211101"",""900425""]",741-D,1,,,,,,,,5020,Demo Inventory Adjustment,,,,,
1,"[""20211101"",""900425""]",741-D,1,1-department,,,,,,,,,D04,Demo Logistics,department,,
1,"[""20211101"",""900425""]",741-D,1,2-auxiliary-account,,,,,,,,,V006,Demo Vendor Prairie,auxiliary-account,,
1,"[""20211101"",""900425""]",741-D,,,1,,,,,,,,,,,Q5,28105
1,"[""20211102"",""900418""]",,,,,2021-11-02,900418,Synthetic demo operating expense 900418,,,,,,,,,
1,"[""20211102"",""900418""]",742-C,,,,,,,C,172140,,,,,,,
1,"[""20211102"",""900418""]",742-C,1,,,,,,,,1110,Demo North Current Deposit,,,,,
1,"[""20211102"",""900418""]",742-C,1,1-department,,,,,,,,,D03,Demo Operations,department,,
1,"[""20211102"",""900418""]",742-C,1,2-auxiliary-account,,,,,,,,,B002,North Demo Bank,auxiliary-account,,
1,"[""20211102"",""900418""]",742-C,,,1,,,,,,,,,,,00,0
1,"[""20211102"",""900418""]",742-D,,,,,,,D,172140,,,,,,,
1,"[""20211102"",""900418""]",742-D,1,,,,,,,,6060,Demo Office Supplies,,,,,
1,"[""20211102"",""900418""]",742-D,1,1-department,,,,,,,,,D03,Demo Operations,department,,
1,"[""20211102"",""900418""]",742-D,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20211102"",""900418""]",742-D,,,1,,,,,,,,,,,Q5,15649
1,"[""20211102"",""900435""]",,,,,2021-11-02,900435,Synthetic demo purchase on account 900435,,,,,,,,,
1,"[""20211102"",""900435""]",743-C,,,,,,,C,72000,,,,,,,
1,"[""20211102"",""900435""]",743-C,1,,,,,,,,2000,Demo Accounts Payable,,,,,
1,"[""20211102"",""900435""]",743-C,1,1-department,,,,,,,,,D04,Demo Logistics,department,,
1,"[""20211102"",""900435""]",743-C,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20211102"",""900435""]",743-C,,,1,,,,,,,,,,,00,0
1,"[""20211102"",""900435""]",743-D,,,,,,,D,72000,,,,,,,
1,"[""20211102"",""900435""]",743-D,1,,,,,,,,5000,Demo Purchases,,,,,
1,"[""20211102"",""900435""]",743-D,1,1-department,,,,,,,,,D04,Demo Logistics,department,,
1,"[""20211102"",""900435""]",743-D,1,2-auxiliary-account,,,,,,,,,V006,Demo Vendor Prairie,auxiliary-account,,
1,"[""20211102"",""900435""]",743-D,,,1,,,,,,,,,,,Q5,6545
1,"[""20211102"",""900454""]",,,,,2021-11-02,900454,Synthetic demo customer receipt 900454,,,,,,,,,
1,"[""20211102"",""900454""]",744-C,,,,,,,C,454500,,,,,,,
1,"[""20211102"",""900454""]",744-C,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211102"",""900454""]",744-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
