C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
2022-03-01,900671,1163-C,C,4020,Demo Other Operating Revenue,D01,Demo Sales,C004,Demo Customer Dawn,B5,43472,478190,Synthetic demo credit sale 900671
2022-03-01,900671,1163-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,478190,Synthetic demo credit sale 900671
2022-03-01,900683,1164-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,450630,Synthetic demo customer receipt 900683
2022-03-01,900683,1164-D,D,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,450630,Synthetic demo customer receipt 900683
2022-03-02,900664,1165-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,357170,Synthetic demo customer receipt 900664
2022-03-02,900664,1165-D,D,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,357170,Synthetic demo customer receipt 900664
2022-03-02,900692,1166-C,C,4020,Demo Other Operating Revenue,D01,Demo Sales,C007,Demo Customer Grove,B5,30307,333380,Synthetic demo credit sale 900692
2022-03-02,900692,1166-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,333380,Synthetic demo credit sale 900692
2022-03-02,900697,1167-C,C,1110,Demo North Current Deposit,D04,Demo Logistics,B002,North Demo Bank,00,0,300670,Synthetic demo vendor settlement 900697
2022-03-02,900697,1167-D,D,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,300670,Synthetic demo vendor settlement 900697
2022-03-03,900669,1168-D,D,2000,Demo Accounts Payable,D01,Demo Sales,V001,Demo Vendor Keystone,00,0,201600,Synthetic demo multi-vendor settlement 900669
2022-03-03,900669,1169-D,D,2100,Demo Accrued Payables,D01,Demo Sales,V003,Demo Vendor Mosaic,00,0,193710,Synthetic demo multi-vendor settlement 900669
2022-03-03,900669,1170-C,C,1100,Demo Central Ordinary Deposit,D01,Demo Sales,B001,Demo Central Bank,00,0,102780,Synthetic demo multi-vendor settlement 900669
2022-03-03,900669,1171-C,C,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,292530,Synthetic demo multi-vendor settlement 900669
2022-03-03,900686,1172-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,54120,Synthetic demo purchase on account 900686
2022-03-03,900686,1172-D,D,5020,Demo Inventory Adjustment,D04,Demo Logistics,V001,Demo Vendor Keystone,Q5,4920,54120,Synthetic demo purchase on account 900686
2022-03-03,900687,1173-C,C,1100,Demo Central Ordinary Deposit,D04,Demo Logistics,B001,Demo Central Bank,00,0,98750,Synthetic demo vendor settlement 900687
2022-03-03,900687,1173-D,D,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,98750,Synthetic demo vendor settlement 900687
2022-03-04,900651,1174-C,C,4000,Demo Product Sales,D01,Demo Sales,C004,Demo Customer Dawn,B5,49348,542830,Synthetic demo credit sale 900651
2022-03-04,900651,1174-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,542830,Synthetic demo credit sale 900651
2022-03-04,900659,1175-C,C,1120,Demo Harbor Ordinary Deposit,D06,Demo Management,B003,Harbor Demo Bank,00,0,772050,Synthetic demo financing settlement 900659
2022-03-04,900659,1175-D,D,2200,Demo Short-term Loans,D06,Demo Management,,,00,0,532710,Synthetic demo financing settlement 900659
2022-03-04,900659,1176-D,D,6070,Demo Bank Fees,D06,Demo Management,B003,Harbor Demo Bank,00,0,38600,Synthetic demo financing settlement 900659
2022-03-04,900659,1177-D,D,7000,Demo Taxes and Dues,D06,Demo Management,,,P0,0,200740,Synthetic demo financing settlement 900659
2022-03-05,900670,1178-C,C,4010,Demo Service Revenue,D01,Demo Sales,C001,Demo Customer Aurora,B5,50392,554310,Synthetic demo credit sale 900670
2022-03-05,900670,1178-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,554310,Synthetic demo credit sale 900670
2022-03-05,900706,1179-D,D,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,132580,Synthetic demo mixed sales and receipt 900706
2022-03-05,900706,1180-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,604030,Synthetic demo mixed sales and receipt 900706
2022-03-05,900706,1181-C,C,4000,Demo Product Sales,D01,Demo Sales,C008,Demo Customer Halo,B5,32812,360930,Synthetic demo mixed sales and receipt 900706
2022-03-05,900706,1182-C,C,4010,Demo Service Revenue,D01,Demo Sales,C009,Demo Customer Indigo,B5,34153,375680,Synthetic demo mixed sales and receipt 900706
2022-03-06,900656,1183-D,D,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,304930,Synthetic demo mixed sales and receipt 900656
2022-03-06,900656,1184-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,281490,Synthetic demo mixed sales and receipt 900656
2022-03-06,900656,1185-C,C,4000,Demo Product Sales,D01,Demo Sales,C008,Demo Customer Halo,B5,36784,404620,Synthetic demo mixed sales and receipt 900656
2022-03-06,900656,1186-C,C,4010,Demo Service Revenue,D01,Demo Sales,C009,Demo Customer Indigo,B5,16527,181800,Synthetic demo mixed sales and receipt 900656
2022-03-06,900661,1187-C,C,4010,Demo Service Revenue,D01,Demo Sales,C004,Demo Customer Dawn,B5,29849,328340,Synthetic demo credit sale 900661
2022-03-06,900661,1187-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,328340,Synthetic demo credit sale 900661
2022-03-06,900695,1188-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,39690,Synthetic demo purchase on account 900695
2022-03-06,900695,1188-D,D,5020,Demo Inventory Adjustment,D04,Demo Logistics,V006,Demo Vendor Prairie,Q5,3608,39690,Synthetic demo purchase on account 900695
2022-03-07,900654,1189-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,510450,Synthetic demo customer receipt 900654
2022-03-07,900654,1189-D,D,1100,Demo Central Ordinary Deposit,D01,Demo Sales,B001,Demo Central Bank,00,0,510450,Synthetic demo customer receipt 900654
2022-03-07,900693,1190-C,C,8010,Demo Clearing,D06,Demo Management,,,00,0,89150,Synthetic demo low-frequency account event 900693
2022-03-07,900693,1190-D,D,1000,Demo Cash,D06,Demo Management,,,00,0,89150,Synthetic demo low-frequency account event 900693
2022-03-09,900676,1191-C,C,8010,Demo Clearing,D06,Demo Management,,,00,0,153050,Synthetic demo low-frequency account event 900676
2022-03-09,900676,1191-D,D,1010,Demo Petty Cash,D06,Demo Management,,,00,0,153050,Synthetic demo low-frequency account event 900676
2022-03-09,900680,1192-C,C,8010,Demo Clearing,D06,Demo Management,,,00,0,34600,Synthetic demo low-frequency account event 900680
2022-03-09,900680,1192-D,D,1210,Demo Notes Receivable,D06,Demo Management,,,00,0,34600,Synthetic demo low-frequency account event 900680
2022-03-10,900672,1193-C,C,1100,Demo Central Ordinary Deposit,D02,Demo Administration,B001,Demo Central Bank,00,0,540920,Synthetic demo monthly payroll bundle 900672
2022-03-10,900672,1193-D,D,6000,Demo Salaries,D02,Demo Administration,,,00,0,297500,Synthetic demo monthly payroll bundle 900672
2022-03-10,900672,1194-D,D,6010,Demo Statutory Welfare,D02,Demo Administration,,,00,0,54090,Synthetic demo monthly payroll bundle 900672
2022-03-10,900672,1195-D,D,2110,Demo Payroll Withholding,D02,Demo Administration,,,00,0,189330,Synthetic demo monthly payroll bundle 900672
2022-03-10,900674,1196-C,C,8010,Demo Clearing,D06,Demo Management,,,00,0,57510,Synthetic demo low-frequency account event 900674
2022-03-10,900674,1196-D,D,1300,Demo Inventory,D06,Demo Management,,,00,0,57510,Synthetic demo low-frequency account event 900674
2022-03-10,900696,1197-C,C,8010,Demo Clearing,D06,Demo Management,,,00,0,70740,Synthetic demo low-frequency account event 900696
2022-03-10,900696,1197-D,D,1410,Demo Advances Paid,D06,Demo Management,,,00,0,70740,Synthetic demo low-frequency account event 900696
2022-03-12,900652,1198-C,C,8010,Demo Clearing,D06,Demo Management,,,00,0,166960,Synthetic demo low-frequency account event 900652
2022-03-12,900652,1198-D,D,1420,Demo Temporary Payments,D06,Demo Management,,,00,0,166960,Synthetic demo low-frequency account event 900652
2022-03-12,900655,1199-C,C,8010,Demo Clearing,D06,Demo Management,,,00,0,21070,Synthetic demo low-frequency account event 900655
2022-03-12,900655,1199-D,D,1430,Demo Input Tax Receivable,D06,Demo Management,,,00,0,21070,Synthetic demo low-frequency account event 900655
2022-03-12,900667,1200-C,C,8010,Demo Clearing,D06,Demo Management,,,00,0,114040,Synthetic demo low-frequency account event 900667
2022-03-12,900667,1200-D,D,1500,Demo Equipment,D06,Demo Management,,,00,0,114040,Synthetic demo low-frequency account event 900667
2022-03-12,900685,1201-C,C,1110,Demo North Current Deposit,D03,Demo Operations,B002,North Demo Bank,00,0,252290,Synthetic demo operating cost bundle 900685
